Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
01/22/2024,73.41,75.79,72.85,75.19,1.78,+2.42%,734497,1642696
01/19/2024,74.08,74.91,73.19,73.41,-0.67,-0.90%,769566,1624974
01/18/2024,72.78,74.38,72.18,74.08,1.52,+2.09%,841425,1619206
01/17/2024,72,72.95,70.5,72.56,0.16,+0.22%,1049382,1631935
01/16/2024,72.63,73.56,71.23,72.4,-0.28,-0.39%,1084460,1610493
01/12/2024,73.01,75.25,72.36,72.68,0.66,+0.92%,999860,1621567
01/11/2024,71.33,73.81,71.17,72.02,0.65,+0.91%,945505,1614241
01/10/2024,72.17,73.59,71.01,71.37,-0.87,-1.20%,904063,1614656
01/09/2024,70.91,72.93,70.47,72.24,1.47,+2.08%,825581,1598167
01/08/2024,73.51,73.95,70.13,70.77,-3.04,-4.12%,891215,1591022
01/05/2024,72.4,74.24,72.21,73.81,1.62,+2.24%,788873,1575346
01/04/2024,73.04,74,71.06,72.19,-0.51,-0.70%,817881,1562038
01/03/2024,70.5,73.23,69.28,72.7,2.32,+3.30%,806453,1570625
01/02/2024,71.71,73.64,70.06,70.38,-1.27,-1.77%,678084,1586914
12/29/2023,71.99,72.62,71.25,71.65,-0.12,-0.17%,401260,1581998
12/28/2023,73.8,74.4,71.72,71.77,-2.34,-3.16%,545277,1579447
12/27/2023,75.32,75.66,73.77,74.11,-1.46,-1.93%,519511,1558982
12/26/2023,73.56,76.18,73.13,75.57,2.01,+2.73%,454412,1554682
12/22/2023,73.91,74.98,73.39,73.56,-0.33,-0.45%,513366,1561234
12/21/2023,73.81,74.58,72.44,73.89,-0.33,-0.44%,527707,1572142
12/20/2023,74.06,75.37,73.6,74.22,0.28,+0.38%,580361,1570471
12/19/2023,72.93,74.45,72.14,73.94,1.12,+1.54%,489640,1574070
12/18/2023,72.05,74.61,70.99,72.82,1.04,+1.45%,696111,1575517
12/15/2023,71.91,72.56,70.64,71.78,-0.13,-0.18%,655144,1595998
12/14/2023,70.08,72.73,69.82,71.91,2.19,+3.14%,855935,1604072
12/13/2023,68.99,70.15,67.98,69.72,0.87,+1.26%,798123,1651949
12/12/2023,71.67,72.2,68.49,68.85,-2.71,-3.79%,883323,1650245
12/11/2023,71.36,72.03,70.61,71.56,0.12,+0.17%,615596,1642844
12/08/2023,70,71.81,69.75,71.44,1.85,+2.66%,672911,1644575
12/07/2023,69.57,70.7,69.08,69.59,-0.06,-0.09%,762671,1659213
12/06/2023,72.33,72.84,69.39,69.65,-2.88,-3.97%,1064089,1672966
12/05/2023,73.59,74.34,72.24,72.53,-0.79,-1.08%,862033,1650437
12/04/2023,74.76,75.2,72.87,73.32,-0.93,-1.25%,949261,1641322
12/01/2023,75.71,76.81,74.13,74.25,-1.8,-2.37%,814632,1640920
11/30/2023,77.79,79.67,75.16,76.05,-1.94,-2.49%,1371341,1649235
11/29/2023,76.67,78.18,75.86,77.99,1.4,+1.83%,707111,1584635
11/28/2023,75.32,77.13,74.88,76.59,1.5,+2.00%,739929,1563737
11/27/2023,75.57,76.42,74.35,75.09,-0.68,-0.90%,559611,1569542
11/24/2023,76.94,77.25,75.32,75.77,-1.48,-1.92%,518146,1565233
11/22/2023,77.92,78.11,73.98,77.25,-0.67,-0.86%,774983,1558716
11/21/2023,77.69,78.04,77.04,77.92,0.02,+0.03%,483113,1549244
11/20/2023,75.81,78.48,75.47,77.9,1.79,+2.35%,562867,1541757
11/17/2023,73.25,76.24,73.02,76.11,2.92,+3.99%,800649,1559701
11/16/2023,76.74,76.83,72.53,73.19,-3.61,-4.70%,1050643,1602287
11/15/2023,77.88,78.48,76.49,76.8,-1.18,-1.51%,864712,1620876
11/14/2023,78.26,79.39,77.52,77.98,-0.01,-0.01%,678496,1639133
11/13/2023,76.89,78.3,75.98,77.99,1.06,+1.38%,621102,1645459
11/10/2023,75.47,77.51,75.2,76.93,1.36,+1.80%,668859,1655570
11/09/2023,75.4,76.91,74.99,75.57,0.45,+0.60%,800403,1658816
11/08/2023,76.96,77.24,74.79,75.12,-1.86,-2.42%,1052345,1674065
11/07/2023,80.43,80.49,76.8,76.98,-3.34,-4.16%,942721,1688562
11/06/2023,80.35,81.49,79.94,80.32,0.46,+0.58%,650379,1689918
11/03/2023,81.8,82.64,79.49,79.86,-1.84,-2.25%,963284,1691456
11/02/2023,79.97,81.93,79.6,81.7,2.07,+2.60%,776595,1675544
11/01/2023,80.47,82.16,79.49,79.63,-0.33,-0.41%,738399,1680549
10/31/2023,81.29,82.11,79.74,79.96,-1.03,-1.27%,732326,1671255
10/30/2023,83.58,83.58,80.48,80.99,-2.85,-3.40%,720900,1670588
10/27/2023,82.06,84.11,81.74,83.84,2,+2.44%,629905,1646258
10/26/2023,83.62,83.98,81.28,81.84,-2.02,-2.41%,697715,1632941
10/25/2023,82.24,84.02,80.77,83.86,1.72,+2.09%,881539,1622665
10/24/2023,84.01,84.18,81.35,82.14,-1.26,-1.51%,818434,1628044
10/23/2023,85.25,85.76,83.3,83.4,-2.17,-2.54%,590445,1631088
10/20/2023,86.21,86.93,85.09,85.57,-0.22,-0.26%,626724,1641488
10/19/2023,84.85,86.72,83.36,85.79,0.82,+0.97%,836293,1648103
10/18/2023,84.07,86.01,83.95,84.97,1.71,+2.05%,785239,1648577
10/17/2023,83.23,84.13,82.27,83.26,0.34,+0.41%,670181,1654168
10/16/2023,83.76,84.38,82.68,82.92,-0.97,-1.16%,656712,1678852
10/13/2023,80.07,84.05,80.06,83.89,4.1,+5.14%,1054137,1688923
10/12/2023,80.04,81.42,79.45,79.79,-0.17,-0.21%,1060997,1717923
10/11/2023,81.34,81.89,79.37,79.96,-1.33,-1.64%,1160588,1760570
10/10/2023,81.68,81.85,80.68,81.29,-0.33,-0.40%,951073,1753314
10/09/2023,80.39,82.63,80.07,81.62,2.98,+3.79%,1045860,1726790
10/06/2023,78.57,79.06,77.86,78.64,0.4,+0.51%,1106528,1747129
10/05/2023,79.87,80.33,77.89,78.24,-1.38,-1.73%,1107099,1796383
10/04/2023,84.33,84.56,79.56,79.62,-4.65,-5.52%,1025901,1784065
10/03/2023,84.07,84.9,83.4,84.27,0.07,+0.08%,920197,1787495
10/02/2023,85.52,86.33,83.95,84.2,-1.07,-1.25%,772400,1770012
09/29/2023,86.12,87.3,85.09,85.27,-0.71,-0.83%,828230,1774359
09/28/2023,87.38,88.21,85.78,85.98,-1.44,-1.65%,1036849,1776331
09/27/2023,85.72,87.76,85.69,87.42,1.71,+2.00%,1312062,1785182
09/26/2023,85.36,86.01,84.06,85.71,0.42,+0.49%,696980,1750559
09/25/2023,85.58,85.85,84.65,85.29,-0.04,-0.05%,758140,1743019
09/22/2023,85.84,86.71,85.09,85.33,-0.5,-0.58%,1041400,1747611
09/21/2023,85.65,86.8,84.78,85.83,0,0.00%,766917,1702357
09/20/2023,86.76,86.91,85.42,85.83,-0.82,-0.95%,973274,1677883
09/19/2023,86.86,87.86,86.59,86.65,-0.14,-0.16%,1391367,1692990
09/18/2023,87.05,87.56,86.34,86.79,-0.06,-0.07%,1124422,1702592
09/15/2023,87.2,87.67,86.04,86.85,-0.1,-0.12%,1147274,1708836
09/14/2023,85.59,87.33,85.59,86.95,1.55,+1.81%,997610,1743824
09/13/2023,85.75,86.13,85.15,85.4,-0.23,-0.27%,965690,1751172
09/12/2023,84.29,85.93,84.29,85.63,1.28,+1.52%,1043233,1791696
09/11/2023,83.98,85.04,83.81,84.35,0.04,+0.05%,827970,1750837
09/08/2023,83.4,84.52,83.11,84.31,0.62,+0.74%,779973,1770817
09/07/2023,84.31,84.34,83.32,83.69,-0.53,-0.63%,668781,1754329
09/06/2023,83.72,84.63,83,84.22,0.63,+0.75%,856899,1742046
