Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
02/20/2024,78.98,79.9,77.67,78.18,-1.01,-1.28%,845163,1657788
02/16/2024,78.11,79.35,77.22,79.19,1.16,+1.49%,1014340,1665402
02/15/2024,76.6,78.44,75.78,78.03,1.39,+1.81%,870640,1684822
02/14/2024,77.81,78.77,76.38,76.64,-1.23,-1.58%,976394,1674004
02/13/2024,77.03,78.47,76.87,77.87,0.95,+1.24%,974269,1715857
02/12/2024,76.6,77.09,75.54,76.92,0.08,+0.10%,669916,1753960
02/09/2024,76.42,77.29,75.93,76.84,0.62,+0.81%,761314,1777106
02/08/2024,74.08,76.59,73.56,76.22,2.36,+3.20%,1050406,1797128
02/07/2024,73.5,74.22,73.23,73.86,0.55,+0.75%,642168,1795633
02/06/2024,72.76,73.82,72.38,73.31,0.53,+0.73%,678316,1808220
02/05/2024,72.75,73.28,71.41,72.78,0.5,+0.69%,831339,1806577
02/02/2024,73.91,74.52,71.79,72.28,-1.54,-2.09%,1044067,1791151
02/01/2024,75.96,76.95,73.7,73.82,-2.03,-2.68%,1289790,1776101
01/31/2024,77.84,78.11,75.52,75.85,-1.97,-2.53%,693858,1766979
01/30/2024,77.02,78.14,75.85,77.82,1.04,+1.35%,723027,1747660
01/29/2024,78.9,79.29,76.41,76.78,-1.23,-1.58%,668675,1720315
01/26/2024,77.15,78.26,76.06,78.01,0.65,+0.84%,807044,1705264
01/25/2024,75.3,77.51,75.16,77.36,2.27,+3.02%,673687,1677209
01/24/2024,74.57,75.83,73.94,75.09,0.72,+0.97%,629203,1665824
01/23/2024,74.68,75.25,73.41,74.37,-0.39,-0.52%,615253,1648476
01/22/2024,73.6,75.46,72.56,74.76,1.51,+2.06%,734497,1642696
01/19/2024,73.92,74.63,72.99,73.25,-0.7,-0.95%,769566,1624974
01/18/2024,72.73,74.19,72.1,73.95,1.47,+2.03%,841425,1619206
01/17/2024,72.11,72.86,70.62,72.48,-0.04,-0.06%,1049382,1631935
01/16/2024,72.73,73.68,71.39,72.52,-0.27,-0.37%,1084460,1610493
01/12/2024,73.16,75.28,72.48,72.79,0.7,+0.97%,999860,1621567
01/11/2024,71.35,73.81,71.24,72.09,0.65,+0.91%,945505,1614241
01/10/2024,72.2,73.55,71.09,71.44,-0.85,-1.18%,904063,1614656
01/09/2024,70.92,72.99,70.63,72.29,1.37,+1.93%,825581,1598167
01/08/2024,73.6,73.98,70.25,70.92,-2.94,-3.98%,891215,1591022
01/05/2024,72.51,74.3,72.34,73.86,1.5,+2.07%,788873,1575346
01/04/2024,73.2,74.12,71.24,72.36,-0.53,-0.73%,817881,1562038
01/03/2024,70.77,73.36,69.56,72.89,2.27,+3.21%,806453,1570625
01/02/2024,71.9,73.8,70.32,70.62,-1.22,-1.70%,678084,1586914
12/29/2023,72.15,72.8,71.47,71.84,-0.13,-0.18%,401260,1581998
12/28/2023,74.04,74.62,71.92,71.97,-2.37,-3.19%,545277,1579447
12/27/2023,75.57,75.81,74.01,74.34,-1.37,-1.81%,519511,1558982
12/26/2023,73.74,76.31,73.32,75.71,1.98,+2.69%,454412,1554682
12/22/2023,74.07,75.11,73.55,73.73,-0.33,-0.45%,513366,1561234
12/21/2023,73.99,74.78,72.65,74.06,-0.39,-0.52%,527707,1572142
12/20/2023,74.31,75.56,73.87,74.45,0.24,+0.32%,580361,1570471
12/19/2023,73.1,74.7,72.44,74.21,1.11,+1.52%,489640,1574070
12/18/2023,72.37,74.83,71.29,73.1,1.05,+1.46%,696111,1575517
12/15/2023,72.26,72.81,70.91,72.05,-0.16,-0.22%,655144,1595998
12/14/2023,70.4,72.95,70.1,72.21,2.23,+3.19%,855935,1604072
12/13/2023,69.24,70.41,68.28,69.98,0.89,+1.29%,798123,1651949
12/12/2023,71.9,72.41,68.77,69.09,-2.67,-3.72%,883323,1650245
12/11/2023,71.53,72.17,70.82,71.76,0.18,+0.25%,615596,1642844
12/08/2023,70.05,71.97,69.97,71.58,1.77,+2.54%,672911,1644575
12/07/2023,69.9,70.93,69.35,69.81,-0.1,-0.14%,762671,1659213
12/06/2023,72.52,73.01,69.66,69.91,-2.79,-3.84%,1064089,1672966
12/05/2023,73.71,74.5,72.41,72.7,-0.83,-1.13%,862033,1650437
12/04/2023,74.81,75.21,73.04,73.53,-0.78,-1.05%,949261,1641322
12/01/2023,75.67,76.71,74.2,74.31,-1.68,-2.21%,814632,1640920
11/30/2023,77.75,79.57,75.15,75.99,-1.99,-2.55%,1371341,1649235
11/29/2023,76.68,78.13,75.94,77.98,1.32,+1.72%,707111,1584635
11/28/2023,75.53,77.19,75.01,76.66,1.44,+1.91%,739929,1563737
11/27/2023,75.72,76.47,74.46,75.22,-0.61,-0.80%,559611,1569542
11/24/2023,76.83,77.26,75.4,75.83,-1.4,-1.81%,518146,1565233
11/22/2023,77.87,78.05,74,77.23,-0.65,-0.83%,774983,1558716
11/21/2023,77.59,77.98,77.02,77.88,0.05,+0.06%,483113,1549244
11/20/2023,75.64,78.35,75.47,77.83,1.75,+2.30%,562867,1541757
11/17/2023,73.3,76.2,73.09,76.08,2.8,+3.82%,800649,1559701
11/16/2023,76.59,76.77,72.62,73.28,-3.44,-4.48%,1050643,1602287
11/15/2023,77.66,78.25,76.44,76.72,-1.03,-1.32%,864712,1620876
11/14/2023,78.04,79.09,77.27,77.75,0,0.00%,678496,1639133
11/13/2023,76.51,78.02,75.74,77.75,1.07,+1.40%,621102,1645459
11/10/2023,75.18,77.24,75.03,76.68,1.3,+1.72%,668859,1655570
11/09/2023,75.15,76.68,74.79,75.38,0.45,+0.60%,800403,1658816
