Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
02/20/2024,78.98,79.9,77.67,78.18,-1.01,-1.28%,34867,2187
02/16/2024,78.11,79.35,77.22,79.19,1.16,+1.49%,113713,25195
02/15/2024,76.6,78.44,75.78,78.03,1.39,+1.81%,122432,54215
02/14/2024,77.81,78.77,76.38,76.64,-1.23,-1.58%,296131,73999
02/13/2024,77.03,78.47,76.87,77.87,0.95,+1.24%,338174,115236
02/12/2024,76.6,77.09,75.54,76.92,0.08,+0.10%,248476,160677
02/09/2024,76.42,77.29,75.93,76.84,0.62,+0.81%,302612,199432
02/08/2024,74.08,76.59,73.56,76.22,2.36,+3.20%,377906,238999
02/07/2024,73.5,74.22,73.23,73.86,0.55,+0.75%,294955,283050
02/06/2024,72.76,73.82,72.38,73.31,0.53,+0.73%,310955,312531
02/05/2024,72.75,73.28,71.41,72.78,0.5,+0.69%,350843,331359
02/02/2024,73.91,74.52,71.79,72.28,-1.54,-2.09%,467768,350720
02/01/2024,75.96,76.95,73.7,73.82,-2.03,-2.68%,577936,360655
01/31/2024,77.84,78.11,75.52,75.85,-1.97,-2.53%,344493,384252
01/30/2024,77.02,78.14,75.85,77.82,1.04,+1.35%,347242,387266
01/29/2024,78.9,79.29,76.41,76.78,-1.23,-1.58%,331925,389098
01/26/2024,77.15,78.26,76.06,78.01,0.65,+0.84%,365456,387799
01/25/2024,75.3,77.51,75.16,77.36,2.27,+3.02%,320177,390971
01/24/2024,74.57,75.83,73.94,75.09,0.72,+0.97%,323726,394223
01/23/2024,74.68,75.25,73.41,74.37,-0.39,-0.52%,306060,381504
01/22/2024,73.6,75.46,72.56,74.76,1.51,+2.06%,372284,378890
01/19/2024,73.92,74.63,72.99,73.25,-0.7,-0.95%,360028,363992
01/18/2024,72.73,74.19,72.1,73.95,1.47,+2.03%,396277,338365
01/17/2024,72.11,72.86,70.62,72.48,-0.04,-0.06%,348484,338393
01/16/2024,72.73,73.68,71.39,72.52,-0.27,-0.37%,312941,316754
01/12/2024,73.16,75.28,72.48,72.79,0.7,+0.97%,244203,300904
01/11/2024,71.35,73.81,71.24,72.09,0.65,+0.91%,240344,286575
01/10/2024,72.2,73.55,71.09,71.44,-0.85,-1.18%,198043,275735
01/09/2024,70.92,72.99,70.63,72.29,1.37,+1.93%,204370,257525
01/08/2024,73.6,73.98,70.25,70.92,-2.94,-3.98%,193271,244583
01/05/2024,72.51,74.3,72.34,73.86,1.5,+2.07%,164947,218723
01/04/2024,73.2,74.12,71.24,72.36,-0.53,-0.73%,144596,209103
01/03/2024,70.77,73.36,69.56,72.89,2.27,+3.21%,129061,202771
01/02/2024,71.9,73.8,70.32,70.62,-1.22,-1.70%,108516,199930
12/29/2023,72.15,72.8,71.47,71.84,-0.13,-0.18%,63480,194280
12/28/2023,74.04,74.62,71.92,71.97,-2.37,-3.19%,94286,188820
12/27/2023,75.57,75.81,74.01,74.34,-1.37,-1.81%,80382,183019
12/26/2023,73.74,76.31,73.32,75.71,1.98,+2.69%,56763,180100
12/22/2023,74.07,75.11,73.55,73.73,-0.33,-0.45%,76791,177921
12/21/2023,73.99,74.78,72.65,74.06,-0.39,-0.52%,81110,176151
12/20/2023,74.31,75.56,73.87,74.45,0.24,+0.32%,98971,176684
12/19/2023,73.1,74.7,72.44,74.21,1.11,+1.52%,77915,176021
12/18/2023,72.37,74.83,71.29,73.1,1.05,+1.46%,86192,172108
12/15/2023,72.26,72.81,70.91,72.05,-0.16,-0.22%,85804,172182
12/14/2023,70.4,72.95,70.1,72.21,2.23,+3.19%,120801,170122
12/13/2023,69.24,70.41,68.28,69.98,0.89,+1.29%,86807,166175
12/12/2023,71.9,72.41,68.77,69.09,-2.67,-3.72%,109414,156642
12/11/2023,71.53,72.17,70.82,71.76,0.18,+0.25%,66052,150449
12/08/2023,70.05,71.97,69.97,71.58,1.77,+2.54%,81285,146284
12/07/2023,69.9,70.93,69.35,69.81,-0.1,-0.14%,88704,143536
12/06/2023,72.52,73.01,69.66,69.91,-2.79,-3.84%,128009,142208
12/05/2023,73.71,74.5,72.41,72.7,-0.83,-1.13%,93903,147898
12/04/2023,74.81,75.21,73.04,73.53,-0.78,-1.05%,117401,148127
12/01/2023,75.67,76.71,74.2,74.31,-1.68,-2.21%,96431,146409
11/30/2023,77.75,79.57,75.15,75.99,-1.99,-2.55%,181857,144247
11/29/2023,76.68,78.13,75.94,77.98,1.32,+1.72%,86670,135895
11/28/2023,75.53,77.19,75.01,76.66,1.44,+1.91%,101870,128003
11/27/2023,75.72,76.47,74.46,75.22,-0.61,-0.80%,63587,132518
11/24/2023,76.83,77.26,75.4,75.83,-1.4,-1.81%,55073,129304
11/22/2023,77.87,78.05,74,77.23,-0.65,-0.83%,87188,123673
11/21/2023,77.59,77.98,77.02,77.88,0.05,+0.06%,53099,119416
11/20/2023,75.64,78.35,75.47,77.83,1.75,+2.30%,53351,115359
11/17/2023,73.3,76.2,73.09,76.08,2.8,+3.82%,63656,117142
11/16/2023,76.59,76.77,72.62,73.28,-3.44,-4.48%,93086,118990
11/15/2023,77.66,78.25,76.44,76.72,-1.03,-1.32%,62137,112444
11/14/2023,78.04,79.09,77.27,77.75,0,0.00%,42993,110302
11/13/2023,76.51,78.02,75.74,77.75,1.07,+1.40%,37852,106148
11/10/2023,75.18,77.24,75.03,76.68,1.3,+1.72%,39794,107465
11/09/2023,75.15,76.68,74.79,75.38,0.45,+0.60%,64821,106953
11/08/2023,76.59,77.01,74.63,74.93,-1.8,-2.35%,77129,110253
11/07/2023,80.04,80.08,76.54,76.73,-3.26,-4.08%,62741,108072
11/06/2023,79.85,81.07,79.58,79.99,0.53,+0.67%,42125,109970
11/03/2023,81.26,82.04,79.12,79.46,-1.74,-2.14%,51077,112917
11/02/2023,79.5,81.38,79.15,81.2,2.07,+2.62%,57813,115271
11/01/2023,79.95,81.49,78.98,79.13,-0.29,-0.37%,60902,117107
10/31/2023,80.65,81.47,79.21,79.42,-0.92,-1.15%,47030,112916
10/30/2023,82.78,82.78,79.83,80.34,-2.71,-3.26%,36106,108008
10/27/2023,81.38,83.3,81.1,83.05,1.86,+2.29%,31347,103816
10/26/2023,82.86,83.17,80.64,81.19,-1.89,-2.27%,39087,105210
10/25/2023,81.6,83.25,80.15,83.08,1.69,+2.08%,61651,104511
10/24/2023,83.09,83.28,80.62,81.39,-1.12,-1.36%,60742,107780
10/23/2023,84.36,84.68,82.43,82.51,-1.96,-2.32%,32317,113322
10/20/2023,85.05,85.71,84.03,84.47,-0.22,-0.26%,37279,114269
10/19/2023,83.84,85.53,82.5,84.69,0.66,+0.79%,69308,113607
10/18/2023,83.18,84.97,83.05,84.03,1.61,+1.95%,39821,108083
10/17/2023,82.34,83.23,81.48,82.42,0.38,+0.46%,35355,106809
10/16/2023,82.84,83.35,81.79,82.04,-0.88,-1.06%,24713,105004
10/13/2023,79.33,83.08,79.3,82.92,3.88,+4.91%,50687,102749
10/12/2023,79.31,80.63,78.71,79.04,-0.17,-0.21%,55614,99594
10/11/2023,80.44,80.9,78.59,79.21,-1.1,-1.37%,56238,93984
10/10/2023,80.6,80.71,79.67,80.31,-0.2,-0.25%,44068,99113
10/09/2023,79.15,81.57,78.99,80.51,2.8,+3.60%,45345,96924
10/06/2023,77.75,78.13,77.01,77.71,0.38,+0.49%,49383,96110
10/05/2023,78.82,79.28,76.93,77.33,-1.25,-1.59%,48746,96621
10/04/2023,83.23,83.4,78.5,78.58,-4.51,-5.43%,44350,97166
10/03/2023,82.98,83.61,82.35,83.09,0.02,+0.02%,48605,95015
10/02/2023,84.61,84.95,82.84,83.07,-0.81,-0.97%,39726,93153
09/29/2023,84.84,85.82,83.72,83.88,-0.67,-0.79%,48393,92081
09/28/2023,85.78,86.47,84.35,84.55,-1.31,-1.53%,54074,90015
09/27/2023,84.5,86.21,84.5,85.86,1.42,+1.68%,75506,92161
09/26/2023,84.01,84.75,82.91,84.44,0.36,+0.43%,31254,82366
09/25/2023,84.4,84.61,83.47,84.08,-0.05,-0.06%,41222,82154
09/22/2023,84.73,85.54,83.97,84.13,-0.61,-0.72%,59934,82044
09/21/2023,84.63,85.66,83.75,84.74,0,0.00%,36540,77732
09/20/2023,85.62,85.81,84.35,84.74,-0.79,-0.92%,38863,78040
09/19/2023,85.71,86.68,85.47,85.53,-0.17,-0.20%,65587,75064
09/18/2023,85.8,86.49,85.3,85.7,-0.15,-0.17%,54274,77555
09/15/2023,86.28,86.67,85.12,85.85,-0.19,-0.22%,49273,79744
09/14/2023,84.8,86.4,84.75,86.04,1.46,+1.73%,34786,82146
09/13/2023,84.75,85.32,84.33,84.58,-0.22,-0.26%,28403,80552
09/12/2023,83.59,85.08,83.59,84.8,1.2,+1.44%,40450,80491
09/11/2023,83.15,84.27,83.1,83.6,0.07,+0.08%,32430,76654
09/08/2023,82.49,83.73,82.39,83.53,0.57,+0.69%,38584,77367
09/07/2023,83.4,83.54,82.54,82.96,-0.48,-0.58%,21314,73212
09/06/2023,82.84,83.83,82.33,83.44,0.57,+0.69%,34768,72650
09/05/2023,81.97,83.85,81.46,82.87,1.15,+1.41%,50683,69417
09/01/2023,80.21,82.02,80.21,81.72,1.37,+1.71%,45162,67937
08/31/2023,79.05,80.39,78.9,80.35,1.35,+1.71%,36205,68101
08/30/2023,78.82,79.45,78.51,79,0.26,+0.33%,19250,66398
08/29/2023,77.77,78.81,77.26,78.74,0.83,+1.07%,16165,67577
08/28/2023,77.96,78.68,77.6,77.91,0.01,+0.01%,11298,68010
08/25/2023,77,78.21,76.37,77.9,0.79,+1.02%,25407,67674
08/24/2023,77,77.57,76.13,77.11,-0.18,-0.23%,29650,67046
08/23/2023,77.94,78.14,76.1,77.29,-0.7,-0.90%,26153,67986
08/22/2023,78.28,78.68,77.85,77.99,-0.29,-0.37%,20215,66433
08/21/2023,78.45,79.46,78.18,78.28,-0.24,-0.31%,18471,67523
08/18/2023,77.59,78.69,77.1,78.52,0.58,+0.74%,27488,68258
08/17/2023,76.96,78.5,76.96,77.94,0.56,+0.72%,20434,66810
08/16/2023,78.08,78.85,77.05,77.38,-0.91,-1.16%,16671,65557
08/15/2023,79.35,79.78,77.81,78.29,-1.1,-1.39%,14802,65557
08/14/2023,79.81,79.84,78.86,79.39,-0.59,-0.74%,14316,64823
08/11/2023,79.87,80.46,79.57,79.98,0.09,+0.11%,18593,64628
08/10/2023,80.65,81.06,79.7,79.89,-0.94,-1.16%,17009,63260
08/09/2023,79.7,80.94,79.65,80.83,0.96,+1.20%,26213,63134
08/08/2023,79.33,79.99,77.49,79.87,0.74,+0.94%,15445,59725
08/07/2023,79.81,79.99,78.76,79.13,-0.53,-0.67%,15748,60550
08/04/2023,78.8,79.92,78.65,79.66,0.97,+1.23%,18768,60672
08/03/2023,77.09,78.98,76.39,78.69,1.67,+2.17%,20394,63022
08/02/2023,79.03,79.31,76.61,77.02,-1.49,-1.90%,16825,61110
08/01/2023,78.8,79.08,77.94,78.51,-0.35,-0.44%,17145,62691
07/31/2023,77.8,78.98,77.51,78.86,0.93,+1.19%,11812,62574
07/28/2023,77.01,78.01,76.69,77.93,0.6,+0.78%,16189,62670
07/27/2023,76.96,77.64,76.44,77.33,1.01,+1.32%,18097,62927
07/26/2023,76.43,76.92,75.96,76.32,-0.53,-0.69%,17320,64481
07/25/2023,76.34,77.07,75.8,76.85,0.58,+0.76%,16548,65980
07/24/2023,74.6,76.6,74.34,76.27,1.37,+1.83%,19035,66674
07/21/2023,74.22,75.05,73.96,74.9,1.04,+1.41%,15162,65906
07/20/2023,73.58,74.39,73.05,73.86,0.22,+0.30%,12986,65389
07/19/2023,73.65,74.68,73.38,73.64,-0.13,-0.18%,15980,66611
07/18/2023,72.58,73.91,72.31,73.77,1.32,+1.82%,13143,67818
07/17/2023,72.75,73.95,72.18,72.45,-0.85,-1.16%,12167,67187
07/14/2023,74.66,74.68,73.02,73.3,-1.21,-1.62%,13946,67943
07/13/2023,73.34,74.69,73.34,74.51,1.11,+1.51%,23561,66054
07/12/2023,72.58,73.56,72.58,73.4,0.7,+0.96%,17364,63602
07/11/2023,71.5,72.75,71.22,72.7,1.55,+2.18%,18760,61154
07/10/2023,71.31,71.84,70.84,71.15,-0.35,-0.49%,15649,59076
07/07/2023,70.18,71.53,69.72,71.5,1.4,+2.00%,19791,60962
07/06/2023,70.17,70.69,68.87,70.1,-0.34,-0.48%,15734,61678
07/05/2023,69.74,70.71,69.35,70.44,1.75,+2.55%,20530,62650
07/03/2023,69.57,70.53,68.61,68.69,-1.07,-1.53%,11760,61745
06/30/2023,69.3,69.98,68.9,69.76,0.47,+0.68%,19042,61014
06/29/2023,68.96,69.86,68.53,69.29,0.13,+0.19%,11407,59504
06/28/2023,67.84,69.28,67.32,69.16,1.51,+2.23%,16371,60554
06/27/2023,69.37,69.37,67.53,67.65,-1.1,-1.60%,23566,58677
06/26/2023,69.17,69.21,68.12,68.75,0.3,+0.44%,13067,58517
06/23/2023,68.21,68.76,66.88,68.45,-0.15,-0.22%,15300,56497
06/22/2023,70.56,70.87,68.23,68.6,-2.23,-3.15%,25725,55271
06/21/2023,69.54,70.86,69.26,70.83,1.24,+1.78%,11118,52825
06/20/2023,69.87,70.46,68.39,69.59,-0.73,-1.04%,10635,51724
06/16/2023,69.23,70.36,68.87,70.32,0.91,+1.31%,10493,50835
06/15/2023,67.43,69.61,66.96,69.41,2.21,+3.29%,13427,49232
06/14/2023,68.11,69.02,67.07,67.2,-0.94,-1.38%,14388,48692
06/13/2023,66.25,68.4,66.25,68.14,2.17,+3.29%,21254,48663
06/12/2023,67.6,67.89,65.63,65.97,-2.43,-3.55%,24512,48727
06/09/2023,68.73,69.66,68.34,68.4,-0.77,-1.11%,14001,46702
06/08/2023,69.89,70.69,67.43,69.17,-1.01,-1.44%,25920,44577
06/07/2023,69.26,70.63,68.89,70.18,0.78,+1.12%,13194,42959
06/06/2023,69.54,69.8,68.21,69.4,-0.34,-0.49%,13996,43669
06/05/2023,71.1,71.54,69.42,69.74,0.17,+0.24%,14155,42212
06/02/2023,68.47,69.91,68.4,69.57,1.39,+2.04%,12241,42628
06/01/2023,66,68.86,66,68.18,1.7,+2.56%,11681,43977
05/31/2023,67.65,67.65,65.75,66.48,-1.23,-1.82%,12755,42804
05/30/2023,70.59,70.94,67.44,67.71,-2.59,-3.68%,14815,43068
05/26/2023,69.43,70.49,69.36,70.3,0.79,+1.14%,5490,42687
05/25/2023,71.36,71.42,68.69,69.51,-1.96,-2.74%,17279,42554
05/24/2023,71,71.52,70.51,71.47,1.3,+1.85%,18940,42823
05/23/2023,69.54,70.61,69.42,70.17,0.81,+1.17%,14008,39028
05/22/2023,68.61,69.73,68.26,69.36,0.24,+0.35%,5514,38023
05/19/2023,70.16,70.83,68.84,69.12,-0.53,-0.76%,6114,38020
05/18/2023,70.31,70.32,69.29,69.65,-0.64,-0.91%,6286,37762
05/17/2023,68.27,70.57,67.85,70.29,2.02,+2.96%,11002,38428
05/16/2023,68.29,68.94,67.96,68.27,-0.21,-0.31%,4719,39371
05/15/2023,67.24,68.88,67.24,68.48,1.03,+1.53%,5147,38225
05/12/2023,67.91,68.83,67.42,67.45,-0.84,-1.23%,5983,39104
05/11/2023,70.12,70.41,68.18,68.29,-1.53,-2.19%,9524,39684
05/10/2023,69.86,70.62,69.16,69.82,-0.79,-1.12%,7954,38244
05/09/2023,69.55,70.62,68.67,70.61,0.66,+0.94%,9399,38212
05/08/2023,68.48,70.02,68.48,69.95,1.56,+2.28%,6798,37576
05/05/2023,66.6,68.59,66.6,68.39,2.34,+3.54%,9837,36868
05/04/2023,65.75,67.15,63,66.05,-0.36,-0.54%,15503,36299
05/03/2023,68.48,68.61,66.05,66.41,-2.19,-3.19%,14647,34751
05/02/2023,70.89,70.96,68.43,68.6,-3.23,-4.50%,9417,35290
05/01/2023,72.4,72.4,71.44,71.83,-1.01,-1.39%,4375,37094
04/28/2023,71.1,72.86,70.48,72.84,1.78,+2.50%,6353,37466
04/27/2023,71.07,71.48,70.7,71.06,0.16,+0.23%,5044,37502
04/26/2023,73.18,73.18,70.64,70.9,-1.95,-2.68%,10735,37630
04/25/2023,74.7,74.86,72.66,72.85,-1.93,-2.58%,5124,38764
04/24/2023,73.25,75.09,72.98,74.78,0.88,+1.19%,4250,39647
04/21/2023,72.49,74,72.49,73.9,0.89,+1.22%,3886,40071
04/20/2023,74.29,74.29,72.88,73.01,-1.51,-2.03%,6082,40094
04/19/2023,75.9,76.11,74.15,74.52,-1.44,-1.90%,6278,40736
04/18/2023,75.89,76.42,75.6,75.96,0.14,+0.18%,5414,41118
04/17/2023,76.73,76.93,75.57,75.82,-1.03,-1.34%,3498,40081
04/14/2023,76.94,77.16,76.48,76.85,0.33,+0.43%,9950,40587
04/13/2023,76.89,77.3,76.5,76.52,-0.5,-0.65%,4855,38067
04/12/2023,75.92,77.14,75.6,77.02,1.2,+1.58%,5836,37960
04/11/2023,74.59,75.84,74.45,75.82,1.34,+1.80%,7690,37324
04/10/2023,74.78,75.4,74.45,74.48,-0.51,-0.68%,4790,35391
04/06/2023,74.96,75.51,74.47,74.99,-0.16,-0.21%,9939,36066
04/05/2023,75.44,75.51,74.51,75.15,-0.03,-0.04%,9939,34201
04/04/2023,75.14,76.07,74.42,75.18,0.08,+0.11%,11642,33431
04/03/2023,73.25,76.31,73.25,75.1,2.84,+3.93%,21418,30996
03/31/2023,71.26,72.29,70.96,72.26,1.01,+1.42%,5535,30573
03/30/2023,70.23,71.42,70.23,71.25,0.97,+1.38%,6334,30253
03/29/2023,70.73,71.34,70.11,70.28,-0.36,-0.51%,7061,29533
03/28/2023,70.19,71.1,69.82,70.64,0.31,+0.44%,5596,29513
03/27/2023,67.83,70.39,67.52,70.33,2.98,+4.42%,5722,29242
03/24/2023,68.11,68.11,65.62,67.35,-0.51,-0.75%,5257,29008
03/23/2023,68.03,69.13,67.28,67.86,-0.51,-0.75%,3204,28386
03/22/2023,67.12,68.79,67.04,68.37,0.87,+1.29%,6827,28040
03/21/2023,66.11,67.58,66.11,67.5,1.1,+1.66%,7086,26928
03/20/2023,65.89,66.47,63.91,66.4,0.69,+1.05%,6530,26794
03/17/2023,66.76,67.92,64.8,65.71,-1.05,-1.57%,8676,26873
03/16/2023,66.12,67.31,64.61,66.76,0.82,+1.24%,7817,27394
03/15/2023,69.79,69.85,64.54,65.94,-3.13,-4.53%,11002,27332
03/14/2023,70.38,71.28,68.86,69.07,-2.64,-3.68%,4908,27051
03/13/2023,72.97,73.39,69.83,71.71,-1.49,-2.04%,5454,26593
03/10/2023,72.12,73.42,71.81,73.2,0.77,+1.06%,3071,26320
03/09/2023,73.25,74.25,72.43,72.43,-0.86,-1.17%,3545,26166
03/08/2023,74.11,74.11,72.83,73.29,-0.78,-1.05%,3325,26310
03/07/2023,76.45,76.54,73.8,74.07,-2.31,-3.02%,3698,26433
03/06/2023,75.38,76.38,74.9,76.38,0.53,+0.70%,3101,26657
03/03/2023,74.41,75.86,72.87,75.85,1.34,+1.80%,5192,26260
03/02/2023,73.85,74.55,73.69,74.51,0.66,+0.89%,3675,26471
03/01/2023,73,73.94,72.8,73.85,0.63,+0.86%,5058,26203
02/28/2023,72.58,73.98,72.33,73.22,0.77,+1.06%,4512,26013
02/27/2023,73.2,73.47,72.25,72.45,-0.85,-1.16%,3162,25500
02/24/2023,72.01,73.3,71.86,73.3,0.44,+0.60%,4668,25283
02/23/2023,72.75,73.23,72.35,72.86,1.08,+1.50%,5523,24453
02/22/2023,72.75,72.75,71.3,71.78,-1.56,-2.13%,5636,23840
02/21/2023,73.79,73.97,73.26,73.34,-0.03,-0.04%,3617,24888
02/17/2023,73.24,73.85,72.57,73.37,-1.78,-2.37%,2620,25197
02/16/2023,75.35,75.61,74.77,75.15,-0.14,-0.19%,3345,25253
02/15/2023,75.29,75.29,74.39,75.29,-0.27,-0.36%,3120,25754
02/14/2023,75.21,75.56,74.49,75.56,-0.49,-0.64%,3469,25926
02/13/2023,75.96,76.05,74.99,76.05,0.54,+0.72%,3737,26161
02/10/2023,74.84,75.61,73.99,75.51,1.23,+1.66%,5209,26558
02/09/2023,74.03,74.81,73.57,74.28,-0.47,-0.63%,5601,27705
02/08/2023,73.75,74.75,73.75,74.75,0.99,+1.34%,4456,28362
02/07/2023,72.52,73.99,72.52,73.76,1.91,+2.66%,7582,28717
02/06/2023,71.3,71.91,70.44,71.85,0.89,+1.25%,3575,28460
02/03/2023,73.1,74.59,70.89,70.96,-2.13,-2.91%,4784,27849
02/02/2023,73.68,73.69,72.59,73.09,-0.15,-0.20%,4724,27028
02/01/2023,74.88,75.51,73.01,73.24,-1.95,-2.59%,3763,26506
01/31/2023,75.19,75.19,73.49,75.19,1.09,+1.47%,2663,26251
01/30/2023,75.43,75.71,73.89,74.1,-1.32,-1.75%,2942,25965
01/27/2023,75.42,77.31,75.29,75.42,-1.24,-1.62%,4324,25585
01/26/2023,76.18,77.31,76.18,76.66,0.35,+0.46%,2659,25146
01/25/2023,76.31,76.91,76.09,76.31,-0.27,-0.35%,2215,25042
01/24/2023,77.99,77.99,76.48,76.58,-1.34,-1.72%,3721,25071
01/23/2023,77.93,78.02,77.09,77.92,0.65,+0.84%,6271,23906
01/20/2023,77.27,77.37,76.49,77.27,0.73,+0.95%,3340,23414
01/19/2023,76.01,77,75.09,76.54,0.8,+1.06%,2132,22964
01/18/2023,76.91,77.23,75.41,75.74,-0.17,-0.22%,5352,22380
01/17/2023,77.16,77.18,75.51,75.91,-0.44,-0.58%,9589,22092
01/13/2023,75.47,76.35,75.19,76.35,0.9,+1.19%,5068,20890
01/12/2023,75.6,75.61,74.59,75.45,0.55,+0.73%,5277,20159
01/11/2023,74.49,75,72.79,74.9,1.69,+2.31%,3072,20282
01/10/2023,73.01,73.61,72.66,73.21,0.02,+0.03%,1896,19571
01/09/2023,73.88,74.11,72.81,73.19,1.02,+1.41%,2136,19875
01/06/2023,72.39,73.11,71.79,72.17,0.22,+0.31%,1243,19756
01/05/2023,71.55,72.51,71.3,71.95,0.59,+0.83%,2037,19961
01/04/2023,71.32,73.91,71.32,71.36,-2.31,-3.14%,2061,20802
01/03/2023,76.05,76.3,73.59,73.67,-2.17,-2.86%,1336,20906
12/30/2022,75.84,75.9,74.09,75.84,1.59,+2.14%,2145,20471
12/29/2022,74.25,74.25,73.79,74.25,-0.8,-1.07%,851,20507
12/28/2022,74.81,75.51,74.29,75.05,-0.17,-0.23%,1762,20391
12/27/2022,75.22,75.91,75.22,75.22,0.23,+0.31%,921,20967
12/23/2022,74.53,74.99,74.52,74.99,2.24,+3.08%,738,20904
12/22/2022,73.31,74.31,72.59,72.75,-0.75,-1.02%,1472,20898
12/21/2022,73.7,73.7,73.48,73.5,0.95,+1.31%,2600,21115
12/20/2022,72.58,72.89,71.49,72.55,0.66,+0.92%,2107,21963
12/19/2022,72.19,72.21,71.29,71.89,0.52,+0.73%,1126,22170
12/16/2022,71.45,72.51,70.99,71.37,-0.97,-1.34%,3222,22164
12/15/2022,72.34,72.34,72.34,72.34,-1.52,-2.06%,4974,20955
