Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/20/2024,83.2,83.21,81.44,81.68,-1.79,-2.14%,833155,1722535
03/19/2024,82.85,83.85,82.39,83.47,0.75,+0.91%,864098,1713716
03/18/2024,81.03,83.09,81.01,82.72,1.68,+2.07%,832952,1714969
03/15/2024,81.14,81.45,80.49,81.04,-0.22,-0.27%,710242,1713219
03/14/2024,79.63,81.62,79.57,81.26,1.54,+1.93%,996892,1715257
03/13/2024,78.06,79.9,77.57,79.72,2.16,+2.78%,897033,1711885
03/12/2024,78.09,78.73,77.34,77.56,-0.37,-0.47%,850634,1718985
03/11/2024,77.8,78.47,76.79,77.93,-0.08,-0.10%,864853,1714062
03/08/2024,79.51,79.99,77.56,78.01,-0.92,-1.17%,852285,1700141
03/07/2024,79.13,79.53,78.02,78.93,-0.2,-0.25%,1060619,1693412
03/06/2024,78.15,80.67,77.99,79.13,0.98,+1.25%,1002221,1667506
03/05/2024,78.74,79.49,77.52,78.15,-0.59,-0.75%,1075303,1642519
03/04/2024,80.14,80.41,78.56,78.74,-1.23,-1.54%,865587,1622921
03/01/2024,78.28,80.85,78.05,79.97,1.71,+2.19%,892967,1634686
02/29/2024,78.2,79.28,77.94,78.26,-0.28,-0.36%,732687,1614907
02/28/2024,78.48,79.62,77.78,78.54,-0.33,-0.42%,778716,1631474
02/27/2024,77.62,79,77.17,78.87,1.29,+1.66%,615595,1658921
02/26/2024,76.4,78.03,75.84,77.58,1.09,+1.43%,639781,1657740
02/23/2024,78.37,78.39,76.35,76.49,-2.12,-2.70%,761602,1650842
02/22/2024,78.09,78.92,77.23,78.61,0.7,+0.90%,808132,1643709
02/21/2024,77.15,78.08,76.32,77.91,0.87,+1.13%,751578,1662369
02/20/2024,78.34,78.56,76.8,77.04,-1.42,-1.81%,845163,1657788
02/16/2024,77.63,78.52,76.69,78.46,0.87,+1.12%,1014340,1665402
02/15/2024,76.33,78.07,75.52,77.59,1.23,+1.61%,870640,1684822
02/14/2024,77.48,78.43,76.12,76.36,-1.2,-1.55%,976394,1674004
02/13/2024,76.9,78.1,76.77,77.56,0.74,+0.96%,974269,1715857
02/12/2024,76.54,77,75.49,76.82,0.05,+0.07%,669916,1753960
02/09/2024,76.32,77.17,75.88,76.77,0.58,+0.76%,761314,1777106
02/08/2024,74.12,76.49,73.65,76.19,2.28,+3.08%,1050406,1797128
02/07/2024,73.53,74.25,73.29,73.91,0.54,+0.74%,642168,1795633
02/06/2024,72.81,73.88,72.48,73.37,0.52,+0.71%,678316,1808220
02/05/2024,72.7,73.3,71.49,72.85,0.55,+0.76%,831339,1806577
02/02/2024,73.9,74.46,71.84,72.3,-1.49,-2.02%,1044067,1791151
02/01/2024,75.54,76.75,73.68,73.79,-1.92,-2.54%,1289790,1776101
01/31/2024,77.66,77.91,75.38,75.71,-1.94,-2.50%,693858,1766979
01/30/2024,76.75,77.95,75.73,77.65,0.98,+1.28%,723027,1747660
01/29/2024,78.72,79.09,76.3,76.67,-1.19,-1.53%,668675,1720315
01/26/2024,77.1,78.09,75.92,77.86,0.67,+0.87%,807044,1705264
