Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/20/2023,91.55,91.98,89.87,90.28,-0.92,-1.01%,973274,1677883
09/19/2023,92.22,93.74,91.07,91.2,-0.28,-0.31%,1391367,1692990
09/18/2023,91.2,92.43,90.75,91.48,0.71,+0.78%,1124422,1702592
09/15/2023,90.67,91.23,89.22,90.77,0.61,+0.68%,1147274,1708836
09/14/2023,88.81,90.79,88.68,90.16,1.64,+1.85%,997610,1743824
09/13/2023,88.75,89.64,88.29,88.52,-0.32,-0.36%,965690,1751172
09/12/2023,87.27,89.37,87.22,88.84,1.55,+1.78%,1043233,1791696
09/11/2023,87.4,88.15,86.71,87.29,-0.22,-0.25%,827970,1750837
09/08/2023,86.78,87.95,86.15,87.51,0.64,+0.74%,779973,1770817
09/07/2023,87.54,87.74,86.39,86.87,-0.67,-0.77%,668781,1754329
09/06/2023,86.72,88.08,85.93,87.54,0.85,+0.98%,856899,1742046
09/05/2023,86.06,88.07,85.02,86.69,1.14,+1.33%,1165132,1703130
09/01/2023,83.63,86.06,83.46,85.55,1.92,+2.30%,1117620,1688850
08/31/2023,81.7,83.69,81.48,83.63,2,+2.45%,987596,1674270
08/30/2023,81.29,82.05,80.88,81.63,0.47,+0.58%,620312,1644401
08/29/2023,79.98,81.41,79.34,81.16,1.06,+1.32%,599161,1658521
08/28/2023,80.15,80.87,79.61,80.1,0.27,+0.34%,470724,1650173
08/25/2023,78.88,80.45,78.14,79.83,0.78,+0.99%,902008,1649014
08/24/2023,78.57,79.28,77.59,79.05,0.16,+0.20%,831866,1625106
08/23/2023,79.64,79.91,77.62,78.89,-0.75,-0.94%,766247,1616749
08/22/2023,80.25,80.37,79.46,79.64,-0.48,-0.60%,653453,1620368
08/21/2023,80.76,81.75,79.97,80.12,-0.54,-0.67%,778292,1621099
08/18/2023,79.58,80.97,79.02,80.66,0.76,+0.95%,903958,1652502
08/17/2023,78.91,80.61,78.6,79.9,0.88,+1.11%,894071,1677973
08/16/2023,80.74,80.97,78.68,79.02,-1.48,-1.84%,1005223,1691603
08/15/2023,81.98,82.33,79.95,80.5,-1.42,-1.73%,816787,1702766
08/14/2023,82.46,82.51,81.19,81.92,-0.65,-0.79%,669078,1705895
08/11/2023,82.33,83.16,81.75,82.57,0.28,+0.34%,847977,1704647
08/10/2023,83.51,84.16,82.04,82.29,-1.4,-1.67%,892447,1705255
08/09/2023,82.34,83.91,82.11,83.69,1.33,+1.61%,1289103,1698665
08/08/2023,82.04,82.52,79.52,82.36,0.87,+1.07%,1008699,1703711
08/07/2023,82.27,82.73,81.08,81.49,-0.78,-0.95%,687521,1726215
08/04/2023,81.22,82.66,81.04,82.27,1.19,+1.47%,677780,1737184
08/03/2023,79.4,81.4,78.33,81.08,1.95,+2.46%,909031,1743845
08/02/2023,81.54,81.95,78.68,79.13,-1.79,-2.21%,875724,1736099
