Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
10/20/2023,90.28,90.78,88.33,88.75,-0.62,-0.69%,626724,1641488
10/19/2023,88.24,90.68,86.6,89.37,1.05,+1.19%,836293,1648103
10/18/2023,87.81,89.88,87.2,88.32,1.66,+1.92%,785239,1648577
10/17/2023,87.06,87.75,85.6,86.66,0,0.00%,670181,1654168
10/16/2023,87.72,88.33,86.32,86.66,-1.03,-1.17%,656712,1678852
10/13/2023,83.51,87.83,83.35,87.69,4.78,+5.77%,1054137,1688923
10/12/2023,83.2,85.2,82.31,82.91,-0.58,-0.69%,1060997,1717923
10/11/2023,85.96,86.51,83.11,83.49,-2.48,-2.88%,1160588,1760570
10/10/2023,86.43,86.74,85.12,85.97,-0.41,-0.47%,951073,1753314
10/09/2023,85.25,87.24,84.67,86.38,3.59,+4.34%,1045860,1726790
10/06/2023,82.28,83.28,81.5,82.79,0.48,+0.58%,1106528,1747129
10/05/2023,84.45,84.92,82.15,82.31,-1.91,-2.27%,1107099,1796383
10/04/2023,89.42,89.59,84.16,84.22,-5.01,-5.61%,1025901,1784065
10/03/2023,88.67,90.27,87.76,89.23,0.41,+0.46%,920197,1787495
10/02/2023,90.82,91.88,88.46,88.82,-1.97,-2.17%,772400,1770012
09/29/2023,91.76,93.1,90.35,90.79,-0.92,-1.00%,828230,1774359
09/28/2023,93.78,95.03,91.39,91.71,-1.97,-2.10%,1036849,1776331
09/27/2023,90.53,94.17,90.4,93.68,3.29,+3.64%,1312062,1785182
09/26/2023,89.88,90.74,88.19,90.39,0.71,+0.79%,696980,1750559
09/25/2023,90.55,90.83,89.03,89.68,-0.35,-0.39%,758140,1743019
09/22/2023,89.62,91.33,89.31,90.03,0.4,+0.45%,1041400,1747611
09/21/2023,89.3,90.98,88.37,89.63,-0.03,-0.03%,766917,1702357
09/20/2023,90.63,91.07,88.97,89.66,-0.82,-0.91%,973274,1677883
09/19/2023,90.97,92.43,90.31,90.48,-0.1,-0.11%,1391367,1692990
09/18/2023,90.41,91.36,89.91,90.58,0.56,+0.62%,1124422,1702592
09/15/2023,90.07,90.56,88.65,90.02,0.41,+0.46%,1147274,1708836
09/14/2023,88.19,90.2,88.04,89.61,1.73,+1.97%,997610,1743824
09/13/2023,88.07,88.92,87.66,87.88,-0.28,-0.32%,965690,1751172
09/12/2023,86.62,88.62,86.58,88.16,1.5,+1.73%,1043233,1791696
09/11/2023,86.74,87.49,86.12,86.66,-0.15,-0.17%,827970,1750837
09/08/2023,86.01,87.2,85.49,86.81,0.66,+0.77%,779973,1770817
09/07/2023,86.8,86.99,85.68,86.15,-0.64,-0.74%,668781,1754329
09/06/2023,86.02,87.27,85.31,86.79,0.78,+0.91%,856899,1742046
09/05/2023,85.19,87.25,84.29,86.01,1.26,+1.49%,1165132,1703130
09/01/2023,82.9,85.19,82.78,84.75,1.79,+2.16%,1117620,1688850
08/31/2023,81.14,83.02,81,82.96,1.84,+2.27%,987596,1674270
08/30/2023,80.78,81.54,80.43,81.12,0.44,+0.55%,620312,1644401
08/29/2023,79.55,80.91,78.94,80.68,1.01,+1.27%,599161,1658521
08/28/2023,79.69,80.44,79.24,79.67,0.18,+0.23%,470724,1650173
08/25/2023,78.49,79.98,77.82,79.49,0.83,+1.06%,902008,1649014
08/24/2023,78.3,78.95,77.32,78.66,0.07,+0.09%,831866,1625106
08/23/2023,79.35,79.6,77.34,78.59,-0.76,-0.96%,766247,1616749
08/22/2023,79.88,80.06,79.18,79.35,-0.41,-0.51%,653453,1620368
08/21/2023,80.27,81.24,79.62,79.76,-0.44,-0.55%,778292,1621099
08/18/2023,79.3,80.47,78.63,80.2,0.69,+0.87%,903958,1652502
08/17/2023,78.57,80.18,78.31,79.51,0.78,+0.99%,894071,1677973
08/16/2023,80.25,80.57,78.38,78.73,-1.32,-1.65%,1005223,1691603
08/15/2023,81.39,81.77,79.52,80.05,-1.32,-1.62%,816787,1702766
08/14/2023,81.87,81.91,80.69,81.37,-0.65,-0.79%,669078,1705895
08/11/2023,81.82,82.59,81.3,82.02,0.22,+0.27%,847977,1704647
08/10/2023,82.91,83.49,81.55,81.8,-1.27,-1.53%,892447,1705255
08/09/2023,81.8,83.26,81.62,83.07,1.22,+1.49%,1289103,1698665
08/08/2023,81.56,81.99,79.12,81.85,0.83,+1.02%,1008699,1703711
