Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/23/2024,83.37,83.37,83.37,83.37,1.43,+1.75%,818292,1762704
04/22/2024,81.94,81.94,81.94,81.94,-1.06,-1.28%,697717,1750157
04/19/2024,83,83,83,83,0.29,+0.35%,1253565,1771873
04/18/2024,82.71,82.71,82.71,82.71,-0.07,-0.08%,882262,1792505
04/17/2024,82.78,82.78,82.78,82.78,-2.57,-3.01%,1170293,1813172
04/16/2024,85.35,85.35,85.35,85.35,-0.07,-0.08%,769142,1799606
04/15/2024,85.42,85.42,85.42,85.42,-0.22,-0.26%,930490,1800696
04/12/2024,85.64,85.64,85.64,85.64,0.64,+0.75%,1025313,1802163
04/11/2024,85,85,85,85,-1.17,-1.36%,1017770,1798505
04/10/2024,86.17,86.17,86.17,86.17,0.92,+1.08%,1038433,1779526
04/09/2024,85.25,85.25,85.25,85.25,-1.19,-1.38%,871639,1762094
04/08/2024,86.44,86.44,86.44,86.44,-0.43,-0.49%,926555,1750497
04/05/2024,86.87,86.87,86.87,86.87,0.3,+0.35%,959609,1768900
04/04/2024,86.57,86.57,86.57,86.57,1.15,+1.35%,1006152,1783343
04/03/2024,85.42,85.42,85.42,85.42,0.27,+0.32%,900161,1763209
04/02/2024,85.15,85.15,85.15,85.15,1.42,+1.70%,981349,1757685
04/01/2024,83.73,83.73,83.73,83.73,0.58,+0.70%,879970,1763616
03/28/2024,83.15,83.15,83.15,83.15,1.8,+2.21%,721254,1775492
03/27/2024,81.35,81.35,81.35,81.35,-0.26,-0.32%,554365,1770367
03/26/2024,81.61,81.61,81.61,81.61,-0.35,-0.43%,566804,1775565
03/25/2024,81.96,81.96,81.96,81.96,1.31,+1.62%,667702,1762514
03/22/2024,80.65,80.65,80.65,80.65,-0.4,-0.49%,520563,1743003
03/21/2024,81.05,81.05,81.05,81.05,-0.25,-0.31%,628048,1735828
03/20/2024,81.3,81.3,81.3,81.3,-2.14,-2.56%,833155,1722535
03/19/2024,83.44,83.44,83.44,83.44,0.73,+0.88%,864098,1713716
