Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
11/20/2023,75.65,78.22,75.6,77.6,1.71,+2.25%,562867,1541757
11/17/2023,72.97,75.99,72.75,75.89,2.99,+4.10%,800649,1559701
11/16/2023,76.6,76.63,72.16,72.9,-3.76,-4.90%,1050643,1602287
11/15/2023,78.17,78.77,76.31,76.66,-1.6,-2.04%,864712,1620876
11/14/2023,78.53,79.77,77.79,78.26,0,0.00%,678496,1639133
11/13/2023,77.15,78.64,76.21,78.26,1.09,+1.41%,621102,1645459
11/10/2023,75.59,77.73,75.31,77.17,1.43,+1.89%,668859,1655570
11/09/2023,75.65,77.16,75.21,75.74,0.41,+0.54%,800403,1658816
11/08/2023,77.12,77.53,74.91,75.33,-2.04,-2.64%,1052345,1674065
11/07/2023,80.93,81.05,77.09,77.37,-3.45,-4.27%,942721,1688562
11/06/2023,81.13,82.24,80.66,80.82,0.31,+0.39%,650379,1689918
11/03/2023,82.58,83.6,80.1,80.51,-1.95,-2.36%,963284,1691456
11/02/2023,80.82,82.83,80.22,82.46,2.02,+2.51%,776595,1675544
11/01/2023,81.48,83.42,80.3,80.44,-0.58,-0.72%,738399,1680549
10/31/2023,82.59,83.37,80.74,81.02,-1.29,-1.57%,732326,1671255
10/30/2023,85,85.3,81.82,82.31,-3.23,-3.78%,720900,1670588
10/27/2023,83.53,85.9,83.1,85.54,2.33,+2.80%,629905,1646258
10/26/2023,85.37,85.59,82.56,83.21,-2.18,-2.55%,697715,1632941
10/25/2023,83.69,85.56,82.08,85.39,1.65,+1.97%,881539,1622665
10/24/2023,86.15,86.3,82.94,83.74,-1.75,-2.05%,818434,1628044
10/23/2023,88,88.29,85.35,85.49,-2.59,-2.94%,590445,1631088
10/20/2023,89.09,89.85,87.53,88.08,-0.29,-0.33%,626724,1641488
10/19/2023,87.22,89.54,85.44,88.37,1.1,+1.26%,836293,1648103
10/18/2023,86.41,88.57,86.25,87.27,1.83,+2.14%,785239,1648577
10/17/2023,85.69,86.44,84.39,85.44,0.18,+0.21%,670181,1654168
10/16/2023,86.37,86.94,85,85.26,-1.09,-1.26%,656712,1678852
10/13/2023,82.27,86.51,82.17,86.35,4.55,+5.56%,1054137,1688923
10/12/2023,81.84,83.75,81.31,81.8,-0.27,-0.33%,1060997,1717923
10/11/2023,84.16,84.72,81.63,82.07,-2.06,-2.45%,1160588,1760570
10/10/2023,84.7,84.94,83.39,84.13,-0.47,-0.56%,951073,1753314
10/09/2023,83.2,85.56,82.95,84.6,3.32,+4.08%,1045860,1726790
10/06/2023,81.05,81.69,80.2,81.28,0.47,+0.58%,1106528,1747129
10/05/2023,82.85,83.23,80.61,80.81,-1.74,-2.11%,1107099,1796383
10/04/2023,87.44,87.76,82.5,82.55,-4.89,-5.59%,1025901,1784065
10/03/2023,87.01,88.25,86.17,87.44,0.27,+0.31%,920197,1787495
10/02/2023,88.83,89.89,86.83,87.17,-1.63,-1.84%,772400,1770012
09/29/2023,89.7,90.96,88.45,88.8,-0.79,-0.88%,828230,1774359
09/28/2023,91.44,92.48,89.31,89.59,-1.71,-1.87%,1036849,1776331
09/27/2023,88.92,91.73,88.8,91.3,2.52,+2.84%,1312062,1785182
09/26/2023,88.3,89.09,86.74,88.78,0.61,+0.69%,696980,1750559
09/25/2023,88.83,89.07,87.52,88.17,-0.18,-0.20%,758140,1743019
09/22/2023,88.27,89.65,87.82,88.35,0.03,+0.03%,1041400,1747611
09/21/2023,88.07,89.51,87.15,88.32,-0.02,-0.02%,766917,1702357
09/20/2023,89.3,89.6,87.76,88.34,-0.83,-0.93%,973274,1677883
09/19/2023,89.54,90.75,89.08,89.17,-0.09,-0.10%,1391367,1692990
09/18/2023,89.31,89.99,88.66,89.26,0.29,+0.33%,1124422,1702592
09/15/2023,89.2,89.7,87.85,88.97,0.16,+0.18%,1147274,1708836
09/14/2023,87.42,89.33,87.27,88.81,1.7,+1.95%,997610,1743824
09/13/2023,87.32,88.06,86.87,87.11,-0.25,-0.29%,965690,1751172
09/12/2023,85.89,87.76,85.88,87.36,1.42,+1.65%,1043233,1791696
09/11/2023,85.96,86.73,85.4,85.94,-0.06,-0.07%,827970,1750837
09/08/2023,85.17,86.32,84.68,86,0.68,+0.80%,779973,1770817
09/07/2023,85.92,86.14,84.85,85.32,-0.61,-0.71%,668781,1754329
09/06/2023,85.21,86.39,84.54,85.93,0.72,+0.84%,856899,1742046
09/05/2023,84.19,86.34,83.51,85.21,1.31,+1.56%,1165132,1703130
09/01/2023,82.21,84.3,82.09,83.9,1.64,+1.99%,1117620,1688850
08/31/2023,80.6,82.31,80.45,82.26,1.69,+2.10%,987596,1674270
