Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,85.27,85.42,83.7,83.94,-0.75,-0.89%,8788800
04/23/2024,84.38,86.31,84.21,84.69,0.94,+1.12%,12939300
04/22/2024,83.5,84.78,82.475,83.75,0.92,+1.11%,10695300
04/19/2024,83.04,84.38,81.26,82.83,-0.65,-0.78%,13784200
04/18/2024,84.4,84.94,83.38,83.48,-1.17,-1.38%,11417200
04/17/2024,86.19,86.3,84.55,84.65,-0.96,-1.12%,11923500
04/16/2024,85.68,86.49,85.13,85.61,-0.74,-0.86%,11287900
04/15/2024,88.19,88.475,85.71,86.35,-1.8,-2.04%,12332100
04/12/2024,91.03,91.03,87.315,88.15,-3.13,-3.43%,14306200
04/11/2024,91.14,91.61,89.875,91.28,1.33,+1.48%,9971700
04/10/2024,88.98,90.05,88.61,89.95,-1.69,-1.84%,17369800
04/09/2024,90.67,91.765,90.355,91.64,1.24,+1.37%,8597900
04/08/2024,90.47,90.61,89.55,90.4,0.22,+0.24%,7237000
04/05/2024,88.96,91.13,87.93,90.18,0.69,+0.77%,10380300
04/04/2024,91.77,92.5,89.285,89.49,-1.55,-1.70%,10070200
04/03/2024,90.11,91.41,89.62,91.04,0.36,+0.40%,9102300
04/02/2024,92.1,92.18,90.37,90.68,-3.17,-3.38%,14841700
04/01/2024,94.34,94.54,92.405,93.85,-1.04,-1.10%,11690500
03/28/2024,95.2,95.885,94.06,94.89,-0.02,-0.02%,10295300
03/27/2024,93.55,94.92,92.45,94.91,2.22,+2.40%,12279300
03/26/2024,93.88,94.46,92.66,92.69,0.02,+0.02%,10801300
03/25/2024,93.37,94.47,92.495,92.67,-0.89,-0.95%,8751000
03/22/2024,95.22,95.38,93.5,93.56,-1.64,-1.72%,10423000
03/21/2024,96.5,97.49,95.16,95.2,0.04,+0.04%,9801900
03/20/2024,93.5,95.595,92.52,95.16,1.31,+1.40%,13234500
03/19/2024,92.64,94.62,92.15,93.85,0.9,+0.97%,10926800
03/18/2024,94.57,95.25,92.84,92.95,-1.76,-1.86%,11472100
03/15/2024,94,95.78,93.78,94.71,0.26,+0.28%,12508200
03/14/2024,96.55,97.01,92.95,94.45,-2.65,-2.73%,16208100
03/13/2024,96.26,97.49,95.88,97.1,0.9,+0.94%,6543800
03/12/2024,96.65,96.925,95.41,96.2,-0.63,-0.65%,10485500
03/11/2024,98.69,99.64,96.475,96.83,-2.12,-2.14%,9126400
03/08/2024,100.07,101.47,97.92,98.95,0.16,+0.16%,11124010
03/07/2024,100.3,100.555,98.75,98.79,-1.33,-1.33%,7479700
03/06/2024,100.62,100.94,99.3303,100.12,0.66,+0.66%,9390200
03/05/2024,100.2,101.5,98.72,99.46,-1.27,-1.26%,13539400
03/04/2024,103.45,103.46,100.01,100.73,-0.8,-0.79%,13935200
03/01/2024,99.44,102.82,99.11,101.53,3.11,+3.16%,16319200
02/29/2024,102.69,103.16,98.37,98.42,-3.11,-3.06%,20721700
02/28/2024,102.25,103.52,101.13,101.53,-1.36,-1.32%,16741300
02/27/2024,99.84,103.22,98.88,102.89,5.55,+5.70%,23103300
02/26/2024,94.65,97.525,94.46,97.34,2.59,+2.73%,12172200
02/23/2024,94.42,95.495,94,94.75,0.6,+0.64%,8854700
02/22/2024,92.77,94.98,92.21,94.15,1.68,+1.82%,10809500
02/21/2024,91.96,92.885,91.31,92.47,0.09,+0.10%,6707200
02/20/2024,92.75,93.84,91.64,92.38,-0.77,-0.83%,8947400
02/16/2024,92.54,94.19,92.08,93.15,-0.12,-0.13%,11007300
02/15/2024,92.08,93.68,91.66,93.27,2.13,+2.34%,10686000
02/14/2024,90.09,91.44,89.39,91.14,2.42,+2.73%,9983900
02/13/2024,90.15,90.41,87.89,88.72,-4.38,-4.70%,17368500
02/12/2024,91.18,93.22,90.71,93.1,2.06,+2.26%,9732400
02/09/2024,89.96,91.32,89.4,91.04,1.82,+2.04%,8491900
02/08/2024,88.33,89.75,88.01,89.22,1.15,+1.31%,8545600
02/07/2024,89.55,89.65,88,88.07,-1.69,-1.88%,10885700
02/06/2024,87.91,89.88,87.29,89.76,1.35,+1.53%,9819200
02/05/2024,87.18,88.77,86.385,88.41,0.44,+0.50%,11164600
02/02/2024,88.11,88.38,86.73,87.97,-1.,-1.12%,15486600
02/01/2024,88.08,89.64,87.24,88.97,1.54,+1.76%,11745700
01/31/2024,88.58,90.19,87.43,87.43,-1.34,-1.51%,15669500
01/30/2024,90.38,90.4,88.19,88.77,-2.03,-2.24%,10848500
01/29/2024,88.17,90.94,87.27,90.8,2.56,+2.90%,11008900
01/26/2024,88.94,89.73,87.955,88.24,-0.26,-0.29%,8264700
01/25/2024,88.64,89.53,88.06,88.5,0.78,+0.89%,10104600
01/24/2024,90.26,90.41,87.675,87.72,-1.51,-1.69%,11295900
01/23/2024,89.9,90.35,87.75,89.23,0.22,+0.25%,9311300
01/22/2024,87.69,89.21,87.3302,89.01,1.96,+2.25%,10794700
01/19/2024,87.31,87.57,86.0013,87.05,-0.01,-0.01%,13253000
01/18/2024,88.78,88.78,86.11,87.06,-1.28,-1.45%,11942100
01/17/2024,88.01,88.48,87.12,88.34,-0.72,-0.81%,9086900
01/16/2024,89.59,89.64,88.24,89.06,-1.36,-1.50%,10901000
01/12/2024,91.13,92.63,90.19,90.42,-0.05,-0.06%,10300800
01/11/2024,91.5,91.68,89.2886,90.47,-2.06,-2.23%,16280100
01/10/2024,93.74,94.28,91.535,92.53,-1.07,-1.14%,13334500
01/09/2024,92.48,94.32,92,93.6,0.18,+0.19%,12928400
01/08/2024,88.45,93.5,87.52,93.42,4.12,+4.61%,21270500
01/05/2024,88.48,89.53,86.96,89.3,-0.15,-0.17%,11413400
01/04/2024,88.57,90.1,88.12,89.45,1.25,+1.42%,9405400
01/03/2024,89.57,89.77,87.61,88.2,-2.03,-2.25%,11249800
01/02/2024,88.43,91.725,87.92,90.23,0.94,+1.05%,11785600
12/29/2023,90.72,90.74,89.26,89.29,-1.57,-1.73%,9038300
12/28/2023,91,92.02,90.025,90.86,0.03,+0.03%,10621200
12/27/2023,90.36,91,89.56,90.83,1.37,+1.53%,10041600
12/26/2023,88.8,89.88,88.14,89.46,1.84,+2.10%,10117500
12/22/2023,86.2,88.2257,86,87.62,2.95,+3.48%,13208500
12/21/2023,84.11,85.17,83.75,84.67,2.01,+2.43%,9554800
12/20/2023,86.1,86.3,82.58,82.66,-3.84,-4.44%,12235300
12/19/2023,85.17,86.71,85.01,86.5,2.14,+2.54%,9867400
12/18/2023,85.31,85.68,83.92,84.36,-1.346,-1.57%,8192600
12/15/2023,85.846,86.7758,84.6592,85.706,0.24,+0.28%,10973092
12/14/2023,85.2561,85.806,84.0563,85.466,1.5297,+1.82%,17652790
12/13/2023,80.0869,84.0163,79.9669,83.9363,3.8694,+4.83%,15703461
12/12/2023,78.8971,80.2269,77.7673,80.0669,1.2198,+1.55%,8506191
12/11/2023,79.1771,79.2371,77.4923,78.8471,-0.4599,-0.58%,9710589
12/08/2023,80.1969,81.1167,79.2071,79.307,-1.1998,-1.49%,9326328
12/07/2023,79.9569,80.7868,79.547,80.5068,0.9798,+1.23%,10166466
12/06/2023,79.3171,80.6398,78.5772,79.527,0.7399,+0.94%,11064708
12/05/2023,78.3972,79.427,77.8873,78.7871,-0.39,-0.49%,10917787
12/04/2023,77.6273,79.367,77.1974,79.1771,1.3598,+1.75%,12909003
12/01/2023,75.5277,77.8273,74.1879,77.8173,2.3096,+3.06%,12768984
11/30/2023,75.6077,77.1774,75.1874,75.5077,1.6698,+2.26%,13447789
11/29/2023,73.628,75.3677,73.438,73.8379,0.8198,+1.12%,10528425
11/28/2023,72.9381,73.1581,72.0882,73.0181,-0.1999,-0.27%,8703918
11/27/2023,73.408,73.488,71.9782,73.218,-0.43,-0.58%,7399913
11/24/2023,72.7681,74.5178,72.7681,73.648,0.8599,+1.18%,4723669
11/22/2023,72.8981,73.388,72.0482,72.7881,0.7999,+1.11%,7313695
11/21/2023,72.8281,73.418,71.9682,71.9882,-1.4898,-2.03%,9995538
11/20/2023,72.7881,74.4978,72.4282,73.478,0.8299,+1.14%,10979292
11/17/2023,70.7385,72.8631,70.4485,72.6481,2.5296,+3.61%,13859770
