Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,92.12,92.36,90.775,91.69,-0.72,-0.78%,57900
04/23/2024,90.24,92.46,89.84,92.41,1.82,+2.01%,86400
04/22/2024,90.22,91.51,88.8,90.59,0.06,+0.07%,96100
04/19/2024,88.91,90.87,88.71,90.53,0.98,+1.09%,98000
04/18/2024,90.19,91.09,89.38,89.55,0.06,+0.07%,23500
04/17/2024,90.78,91.78,89.41,89.49,-1.26,-1.39%,87300
04/16/2024,91.68,91.76,89.9311,90.75,-1.37,-1.49%,99000
04/15/2024,94.23,94.86,91.98,92.12,-1.78,-1.90%,89600
04/12/2024,96.81,97.1264,93.24,93.9,-1.93,-2.01%,183400
04/11/2024,97.01,97.01,94.945,95.83,-1.,-1.03%,141600
04/10/2024,95.17,96.91,94.89,96.83,0.64,+0.67%,55500
04/09/2024,97.12,97.25,95.75,96.19,-0.53,-0.55%,27900
04/08/2024,98.15,98.86,96.72,96.72,-1.03,-1.05%,36000
04/05/2024,96.54,98.25,96.2,97.75,1.42,+1.47%,44400
04/04/2024,97.47,97.88,96.1,96.33,-1.14,-1.17%,59300
04/03/2024,95.9,97.79,95.9,97.47,1.94,+2.03%,126300
04/02/2024,94.47,95.53,93.575,95.53,2.08,+2.23%,96400
04/01/2024,93.63,94.07,92.27,93.45,0.36,+0.39%,68100
03/28/2024,93.31,93.85,93.09,93.09,0.34,+0.37%,37800
03/27/2024,91.29,92.75,91.29,92.75,1.37,+1.50%,118100
03/26/2024,93.05,93.09,91.27,91.38,-1.17,-1.26%,62900
03/25/2024,91.86,93.23,91.86,92.55,0.95,+1.04%,47400
03/22/2024,92.4,93,91.43,91.6,-0.73,-0.79%,31100
03/21/2024,91.86,92.53,91.47,92.33,0.86,+0.94%,39900
03/20/2024,90.45,92.15,90.13,91.47,0.04,+0.04%,64600
03/19/2024,89.34,91.5,89.34,91.43,2.07,+2.32%,62400
03/18/2024,89.88,89.88,88.64,89.36,0.02,+0.02%,140500
03/15/2024,88.1625,89.9886,88.1625,89.34,0.7185,+0.81%,117449
03/14/2024,88.2224,89.0506,87.464,88.6215,0.7883,+0.90%,218163
03/13/2024,87.2445,88.6515,86.6657,87.8332,1.3471,+1.56%,191706
03/12/2024,86.5958,86.5958,85.3784,86.4861,-0.01,-0.01%,68846
03/11/2024,85.0092,86.6158,84.5791,86.4961,1.0977,+1.29%,106826
03/08/2024,85.8275,86.6158,84.5801,85.3984,-0.2694,-0.31%,77263
03/07/2024,84.0912,85.9472,84.0912,85.6678,1.896,+2.26%,125766
03/06/2024,84.8096,85.2786,83.5024,83.7718,0.0199,+0.02%,211248
03/05/2024,83.4226,84.7298,83.4226,83.7519,0,0.00%,51308
03/04/2024,85.109,85.109,83.6561,83.7519,-1.0977,-1.29%,102818
03/01/2024,83.0234,85.4183,83.0234,84.8496,3.0935,+3.78%,178478
02/29/2024,83.1432,84.2907,81.3732,81.7561,-0.4092,-0.50%,73255
02/28/2024,83.1432,83.7519,82.0298,82.1653,-1.0677,-1.28%,101114
02/27/2024,83.4924,83.7718,82.9236,83.233,0.1397,+0.17%,65238
02/26/2024,82.8837,83.712,82.5345,83.0933,-0.2395,-0.29%,46598
02/23/2024,83.0135,83.8118,81.836,83.3328,-0.8981,-1.07%,88688
02/22/2024,83.1831,84.4404,82.8239,84.2309,1.0278,+1.24%,131378
02/21/2024,82.2451,84.3107,82.2451,83.2031,0.978,+1.19%,145508
02/20/2024,82.6542,82.9536,81.5865,82.2251,-0.7684,-0.93%,141099
02/16/2024,82.8837,83.722,81.7961,82.9935,0.0299,+0.04%,139696
02/15/2024,80.2893,83.2929,80.2893,82.9636,3.2032,+4.02%,253036
02/14/2024,80.1595,80.8431,79.2914,79.7604,0.2196,+0.28%,124163
02/13/2024,80.2394,80.5387,78.518,79.5408,-1.6166,-1.99%,121457
02/12/2024,80.0697,81.6164,80.0697,81.1574,1.1575,+1.45%,187397
02/09/2024,80.2593,80.5287,79.3912,79.9999,-0.3891,-0.48%,190704
02/08/2024,79.2914,80.6984,79.1816,80.389,1.407,+1.78%,121958
02/07/2024,79.5907,79.9799,78.3933,78.982,-0.2395,-0.30%,177977
02/06/2024,78.0939,79.6506,78.0241,79.2215,1.7463,+2.25%,224877
02/05/2024,78.074,78.1337,76.4873,77.4752,-0.978,-1.25%,500863
02/02/2024,80.5188,80.5687,78.4532,78.4532,-2.5745,-3.18%,263659
02/01/2024,81.9457,82.7041,80.2094,81.0277,-0.3892,-0.48%,318776
01/31/2024,83.6321,83.9914,81.3072,81.4169,-2.2552,-2.70%,183589
01/30/2024,82.2651,84.2408,80.8281,83.6721,-0.9679,-1.14%,242213
01/29/2024,84.0513,84.64,82.8937,84.64,0.3293,+0.39%,62232
01/26/2024,83.4426,85.119,83.233,84.3107,0.6586,+0.79%,93097
01/25/2024,83.5124,84.0712,81.876,83.6521,1.1276,+1.37%,252636
01/24/2024,81.357,82.6842,80.5786,82.5245,2.0157,+2.50%,157534
01/23/2024,80.0797,81.6264,80.0797,80.5088,0.3892,+0.49%,82775
01/22/2024,78.8324,80.5587,78.5829,80.1196,1.4269,+1.81%,94199
01/19/2024,78.7525,79.0419,77.8215,78.6927,0.2296,+0.29%,173167
01/18/2024,77.5152,78.7226,77.0561,78.4631,1.2174,+1.58%,296629
01/17/2024,76.4674,77.7846,75.9186,77.2457,-0.1697,-0.22%,77163
01/16/2024,78.5929,78.8623,77.2457,77.4154,-1.7263,-2.18%,56419
01/12/2024,79.6905,80.1425,78.1438,79.1417,1.0877,+1.39%,211548
01/11/2024,78.3135,78.3135,76.8965,78.054,0.2994,+0.39%,93498
01/10/2024,79.0918,79.0918,77.3755,77.7546,-1.2274,-1.55%,63935
01/09/2024,80.9279,80.9279,78.6078,78.982,-2.0157,-2.49%,66741
01/08/2024,81.0776,81.0876,79.0419,80.9977,-1.9858,-2.39%,72854
01/05/2024,81.9557,83.0534,81.715,82.9835,1.5866,+1.95%,65438
01/04/2024,83.7519,84.3307,81.2971,81.3969,-2.0157,-2.42%,91895
01/03/2024,83.0035,84.7098,82.7041,83.4126,0.1397,+0.17%,81272
01/02/2024,84.64,85.8175,82.9735,83.2729,-1.0578,-1.25%,63033
12/29/2023,85.1589,85.1589,84.181,84.3307,-0.7883,-0.93%,102617
12/28/2023,86.1468,86.2665,85.0491,85.119,-1.5766,-1.82%,83176
12/27/2023,87.1946,87.5837,86.5759,86.6956,-0.6985,-0.80%,62632
12/26/2023,86.2566,87.6436,85.8774,87.3941,2.335,+2.75%,48903
12/22/2023,85.9273,86.3164,84.62,85.0591,-0.0898,-0.11%,81873
12/21/2023,84.4005,85.1888,84.1211,85.1489,0.8382,+0.99%,189903
12/20/2023,85.6578,86.6757,84.2408,84.3107,-1.1076,-1.30%,186595
12/19/2023,84.2408,85.4183,84.1311,85.4183,1.8161,+2.17%,117850
12/18/2023,84.4105,85.4583,83.5324,83.6022,0.7813,+0.94%,113641
12/15/2023,83.5974,83.687,81.9547,82.8209,-0.7466,-0.89%,113302
12/14/2023,81.7855,83.7567,81.7855,83.5675,3.3152,+4.13%,145646
12/13/2023,78.2911,80.3419,77.8032,80.2523,2.1803,+2.79%,137409
12/12/2023,78.2413,78.5798,77.2457,78.072,-1.2246,-1.54%,72722
12/11/2023,79.4758,80.4813,78.8436,79.2966,-0.2688,-0.34%,69608
12/08/2023,78.8983,80.3419,78.8983,79.5654,1.2743,+1.63%,66595
12/07/2023,78.8187,79.2368,77.7136,78.2911,-0.1095,-0.14%,90903
12/06/2023,81.1384,81.885,78.3209,78.4006,-3.1957,-3.92%,117923
12/05/2023,83.4282,83.4779,81.4987,81.5963,-1.9314,-2.31%,113604
12/04/2023,83.2888,83.906,82.3032,83.5277,-0.4679,-0.56%,152175
12/01/2023,82.8806,85.1703,82.2863,83.9956,0.8362,+1.01%,282352
11/30/2023,83.6074,85.6682,82.2235,83.1594,0.3883,+0.47%,492083
11/29/2023,83.6173,83.7766,82.3629,82.7711,-0.1394,-0.17%,73827
11/28/2023,83.6173,83.8961,82.6018,82.9105,-0.3584,-0.43%,39073
11/27/2023,83.687,83.7965,82.6715,83.2689,-0.8362,-0.99%,38772
11/24/2023,83.0498,84.7722,83.0498,84.1051,0.9358,+1.13%,33247
11/22/2023,81.6361,83.3585,80.6939,83.1693,-0.219,-0.26%,102856
11/21/2023,83.5476,84.1151,82.9602,83.3883,-0.7368,-0.88%,73928
11/20/2023,84.9115,85.3595,84.0653,84.1251,0.02,+0.02%,96930
11/17/2023,82.791,84.4038,82.791,84.1051,2.2101,+2.70%,132487
11/16/2023,84.135,84.802,80.7302,81.895,-3.375,-3.96%,185020
11/15/2023,86.4149,87.8086,85.1813,85.27,-1.5928,-1.83%,73727
11/14/2023,86.1361,86.9823,85.3695,86.8628,1.9214,+2.26%,120133
11/13/2023,84.1549,85.3695,83.7567,84.9414,0.677,+0.80%,49017
11/10/2023,84.2644,84.8319,83.6074,84.2644,1.0851,+1.30%,61171
11/09/2023,84.0653,84.8817,83.1793,83.1793,0,0.00%,87588
11/08/2023,82.7412,84.1698,82.562,83.1793,-0.1891,-0.23%,137409
11/07/2023,86.2556,86.2556,83.2091,83.3684,-4.4104,-5.02%,236951
11/06/2023,90.3672,90.5962,87.5,87.7788,-1.9513,-2.17%,163425
11/03/2023,90.417,91.2931,89.4015,89.7301,-0.3484,-0.39%,138715
11/02/2023,88.0874,90.188,88.0874,90.0785,2.5884,+2.96%,218670
11/01/2023,87.5,88.8739,86.7409,87.4901,0.4182,+0.48%,227107
10/31/2023,87.2213,87.7887,85.8972,87.0719,-0.3286,-0.38%,112800
10/30/2023,88.2069,89.2422,86.2157,87.4005,-0.4977,-0.57%,237553
10/27/2023,88.2666,88.5553,86.5642,87.8982,0.0697,+0.08%,81160
10/26/2023,88.9535,88.9834,86.5941,87.8285,-1.9513,-2.17%,129173
10/25/2023,90.7854,90.8252,88.9436,89.7798,-1.4635,-1.60%,65490
10/24/2023,91.8705,92.219,90.8152,91.2433,-0.3684,-0.40%,77443
10/23/2023,91.6913,92.4977,90.7953,91.6117,-0.9557,-1.03%,133391
10/20/2023,94.4391,94.5785,91.0695,92.5674,-1.9712,-2.09%,65691
10/19/2023,93.9811,95.675,92.7267,94.5386,-0.2788,-0.29%,50524
10/18/2023,95.6437,96.3077,94.4092,94.8174,-0.3484,-0.37%,74832
10/17/2023,92.8263,95.6437,92.8263,95.1658,1.8716,+2.01%,65490
10/16/2023,94.3794,94.3794,92.5873,93.2942,-0.5973,-0.64%,80657
10/13/2023,94.011,94.5785,92.886,93.8915,1.6626,+1.80%,75434
10/12/2023,94.4391,94.4953,91.323,92.2289,-1.0752,-1.15%,115813
10/11/2023,92.1592,93.344,91.1836,93.3041,0.6769,+0.73%,91506
10/10/2023,92.6172,93.115,91.99,92.6272,0.2489,+0.27%,139217
10/09/2023,90.9347,92.896,90.9247,92.3783,3.8628,+4.36%,131182
10/06/2023,87.4005,89.4256,86.5443,88.5155,1.2544,+1.44%,107577
10/05/2023,86.9325,88.7544,86.6546,87.2611,-0.667,-0.76%,261259
10/04/2023,91.3827,91.3827,87.4602,87.9281,-4.49,-4.86%,416749
10/03/2023,91.6117,92.5873,91.1736,92.4181,0.2589,+0.28%,191148
10/02/2023,95.4745,95.4745,91.4823,92.1592,-3.1958,-3.35%,395957
09/29/2023,98.1724,98.1724,94.8672,95.355,-2.4789,-2.53%,344629
09/28/2023,98.5806,98.8992,97.1281,97.8339,-0.9359,-0.95%,190947
09/27/2023,96.6194,99.2676,96.3605,98.7698,3.604,+3.79%,137711
09/26/2023,94.9667,96.0618,94.7776,95.1658,-0.8164,-0.85%,185322
09/25/2023,94.2201,96.3207,93.9114,95.9822,1.4734,+1.56%,149965
09/22/2023,94.6183,95.3948,94.2499,94.5088,0.7865,+0.84%,139016
09/21/2023,95.7234,95.7234,93.6924,93.7223,-1.8318,-1.92%,86985
09/20/2023,95.574,97.5154,95.4844,95.5541,-0.3285,-0.34%,109586
09/19/2023,99.168,99.5563,95.6537,95.8826,-2.3297,-2.37%,200288
09/18/2023,98.3118,99.1083,97.7145,98.2123,0.3067,+0.31%,106472
09/15/2023,98.4821,98.999,97.2993,97.9056,-0.7654,-0.78%,207250
09/14/2023,98.5418,99.1879,98.2982,98.671,1.5904,+1.64%,188437
09/13/2023,99.3966,99.665,96.7526,97.0806,-2.147,-2.16%,229082
09/12/2023,97.7267,100.2017,97.7267,99.2276,2.2662,+2.34%,126563
09/11/2023,97.5379,97.8858,96.6234,96.9614,0.2883,+0.30%,160669
09/08/2023,96.0966,97.5279,95.9575,96.6731,0.6858,+0.71%,67507
09/07/2023,96.0767,96.7725,95.202,95.9873,-0.4174,-0.43%,70525
09/06/2023,95.9078,97.3481,95.2716,96.4047,0.2882,+0.30%,201214
09/05/2023,96.5936,98.2436,96.1165,96.1165,0.656,+0.69%,172742
09/01/2023,93.9397,96.1761,93.9,95.4605,3.0217,+3.27%,132499
08/31/2023,92.8066,92.8066,91.4051,92.4388,0.159,+0.17%,101411
08/30/2023,91.8623,93.075,91.6735,92.2798,0.6858,+0.75%,56239
08/29/2023,90.7888,92.1903,90.2322,91.594,0.7654,+0.84%,61470
08/28/2023,89.9241,91.7331,89.9042,90.8286,1.1331,+1.26%,74952
08/25/2023,90.431,90.4608,88.8904,89.6955,0.1193,+0.13%,45977
08/24/2023,89.9638,91.1566,89.5762,89.5762,-1.2623,-1.39%,116100
08/23/2023,88.9798,91.2913,88.1896,90.8385,0.6957,+0.77%,141353
08/22/2023,91.1467,91.2659,89.9638,90.1428,-1.0237,-1.12%,60565
08/21/2023,92.4189,92.9159,90.2223,91.1665,-0.6561,-0.71%,47385
08/18/2023,89.4271,92.0711,89.1587,91.8226,1.3618,+1.51%,77064
08/17/2023,92.2997,92.6078,90.3515,90.4608,-0.4672,-0.51%,89238
08/16/2023,91.1268,92.7072,90.8187,90.928,-0.3876,-0.42%,119823
08/15/2023,92.1406,92.1406,90.8647,91.3156,-1.65,-1.77%,75958
08/14/2023,93.5421,93.5421,92.3792,92.9656,-1.1033,-1.17%,94268
08/11/2023,93.1644,94.715,93.1644,94.0689,0.8548,+0.92%,102921
08/10/2023,93.9099,94.9436,92.5084,93.2141,-0.666,-0.71%,242463
08/09/2023,93.5521,95.7984,93.5521,93.8801,0.994,+1.07%,136322
08/08/2023,90.1825,92.8861,89.3178,92.8861,0.5169,+0.56%,75857
08/07/2023,93.6117,93.721,91.6039,92.3692,-0.9642,-1.03%,103524
08/04/2023,93.8801,94.5361,93.1147,93.3334,-0.328,-0.35%,101814
08/03/2023,92.3394,94.4665,92.3394,93.6614,1.2027,+1.30%,201012
08/02/2023,92.6674,92.9557,91.0275,92.4587,-1.0337,-1.11%,142057
08/01/2023,93.1147,93.4924,91.7927,93.4924,-0.3082,-0.33%,166504
07/31/2023,92.7171,94.1286,92.7171,93.8006,1.8687,+2.03%,112378
07/28/2023,90.8783,92.0412,90.1726,91.9319,1.4413,+1.59%,140849
07/27/2023,92.3096,92.8066,90.1607,90.4906,-1.5606,-1.70%,81189
07/26/2023,91.256,92.4388,90.4509,92.0512,0.2386,+0.26%,76964
07/25/2023,91.0671,92.3788,90.4509,91.8126,0.6262,+0.69%,86823
07/24/2023,89.2184,91.6337,89.2184,91.1864,2.0873,+2.34%,159764
07/21/2023,88.8307,89.2233,87.956,89.0991,0.159,+0.18%,55032
07/20/2023,89.8943,90.1358,88.1846,88.9401,-0.7256,-0.81%,45977
07/19/2023,89.3675,90.5093,88.9699,89.6657,-0.0099,-0.01%,138837
07/18/2023,87.5187,90.5205,87.5187,89.6756,2.4352,+2.79%,148797
07/17/2023,85.3618,87.7175,85.3549,87.2404,1.0834,+1.26%,72839
07/14/2023,87.3994,87.3994,85.829,86.157,-1.5804,-1.80%,80485
07/13/2023,87.141,88.2741,86.7707,87.7374,0.666,+0.76%,84912
07/12/2023,87.5982,87.7672,86.5247,87.0714,0.5964,+0.69%,119118
07/11/2023,84.3281,86.7633,84.0199,86.475,2.4551,+2.92%,87628
07/10/2023,82.8272,84.1889,82.5787,84.0199,0.9244,+1.11%,79177
07/07/2023,77.3703,83.6124,77.3703,83.0955,5.4171,+6.97%,147993
07/06/2023,77.6983,78.4935,75.7899,77.6784,-0.8151,-1.04%,69318
07/05/2023,79.2091,79.2091,78.0263,78.4935,-0.0397,-0.05%,194272
07/03/2023,77.8176,78.9308,77.758,78.5332,0.8349,+1.07%,108856
06/30/2023,76.6547,78.404,76.3565,77.6983,1.6897,+2.22%,118112
06/29/2023,74.5773,76.0672,74.5773,76.0086,1.6599,+2.23%,97488
06/28/2023,74.1598,74.6667,72.8726,74.3487,-0.1391,-0.19%,98896
