Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,103.54,104.68,101.67,102.63,-0.99,-0.96%,2592700
04/23/2024,101.46,103.8,100.9,103.62,2.69,+2.67%,3668300
04/22/2024,100.72,101.795,100.08,100.93,0.77,+0.77%,2158400
04/19/2024,100.42,101.57,99.58,100.16,-0.54,-0.54%,2979300
04/18/2024,102.13,102.82,100.55,100.7,-0.08,-0.08%,3790600
04/17/2024,102.44,102.51,100.46,100.78,-0.78,-0.77%,2926400
04/16/2024,102.16,102.16,100.35,101.56,-1.32,-1.28%,3971600
04/15/2024,104.94,105.47,102.56,102.88,-1.36,-1.30%,2885000
04/12/2024,104.17,104.54,103.55,104.24,-0.56,-0.53%,2655300
04/11/2024,104.78,105.29,104.2,104.8,0.42,+0.40%,3005900
04/10/2024,105.16,106.02,104.11,104.38,-4.02,-3.71%,6049900
04/09/2024,108.96,109.09,106.78,108.4,-0.11,-0.10%,2074500
04/08/2024,108.93,109.31,108.12,108.51,-0.08,-0.07%,1488300
04/05/2024,107.21,108.86,107.21,108.59,1.5,+1.40%,2684000
04/04/2024,109.81,110.39,106.775,107.09,-1.54,-1.42%,2189700
04/03/2024,107.44,109.03,107.3,108.63,0.77,+0.71%,2129700
04/02/2024,108.89,108.9,107.1,107.86,-2.28,-2.07%,4372900
04/01/2024,111.72,111.74,109.95,110.14,-1.45,-1.30%,2593700
03/28/2024,111.16,111.96,110.68,111.59,0.94,+0.85%,1984600
03/27/2024,110.12,110.685,109.74,110.65,1.32,+1.21%,1854200
03/26/2024,109.91,110.15,109.22,109.33,-0.21,-0.19%,1105600
03/25/2024,110.46,110.67,109.525,109.54,-0.7,-0.63%,1518300
03/22/2024,111.03,111.21,110.02,110.24,-0.81,-0.73%,1743600
03/21/2024,109.28,111.37,109.27,111.05,2.61,+2.41%,3335600
03/20/2024,106.61,108.72,106.29,108.44,1.92,+1.80%,2832500
03/19/2024,104.69,106.58,104.59,106.52,1.85,+1.77%,2589600
03/18/2024,105.7,106.07,104.49,104.67,-0.352,-0.34%,1643800
03/15/2024,104.2832,105.5412,103.8539,105.022,0.2995,+0.29%,2763413
03/14/2024,106.4697,106.9889,103.8239,104.7225,-1.9768,-1.85%,4847340
03/13/2024,105.6111,107.3882,105.6111,106.6993,1.5775,+1.50%,2532745
03/12/2024,103.6941,105.3715,103.1849,105.1218,1.4676,+1.42%,2196108
03/11/2024,104.4529,104.4529,102.5859,103.6542,-0.9385,-0.90%,2312292
03/08/2024,106.2001,106.7393,104.4629,104.5927,-1.2779,-1.21%,2932082
03/07/2024,105.002,106.27,105.002,105.8706,1.6573,+1.59%,2759308
03/06/2024,104.2133,104.5777,103.6143,104.2133,0.9385,+0.91%,1840439
03/05/2024,103.8738,104.9821,102.7856,103.2748,-1.1182,-1.07%,1995787
03/04/2024,104.5627,105.3115,104.2532,104.393,0.1697,+0.16%,2468041
03/01/2024,102.8754,104.3231,102.3962,104.2233,1.3179,+1.28%,2108366
02/29/2024,102.516,103.16,102.1816,102.9054,0.8087,+0.79%,2169164
02/28/2024,101.6773,102.6957,101.5076,102.0967,-0.0998,-0.10%,1205725
02/27/2024,102.3363,102.5809,101.5875,102.1965,0.8087,+0.80%,1869185
02/26/2024,101.0184,101.8271,101.0184,101.3878,0.0599,+0.06%,1494787
02/23/2024,100.8187,101.7323,100.669,101.3279,0.9185,+0.91%,2793962
02/22/2024,99.8004,100.619,99.4909,100.4094,1.6773,+1.70%,2323710
02/21/2024,98.8619,99.3511,97.9034,98.7321,0.3295,+0.33%,2806080
02/20/2024,97.2444,98.5024,96.9649,98.4026,0.02,+0.02%,1810691
02/16/2024,98.4325,99.406,98.3527,98.3826,-1.1981,-1.20%,2270927
02/15/2024,99.6805,99.7504,98.7321,99.5807,0.5691,+0.57%,1936893
02/14/2024,98.3926,99.2213,97.6338,99.0116,1.7871,+1.84%,2758906
