Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,87.92,88.415,87.66,88.34,0.06,+0.07%,4776800
04/23/2024,87.94,88.7075,87.77,88.28,-0.77,-0.86%,5735000
04/22/2024,88.47,89.52,88.13,89.05,0.09,+0.10%,4142300
04/19/2024,89.26,89.635,88.63,88.96,-0.07,-0.08%,5054500
04/18/2024,89.72,89.785,88.615,89.03,0.03,+0.03%,3748900
04/17/2024,89.4,89.8,88.735,89,0.2,+0.23%,4578300
04/16/2024,89,89.28,88.49,88.8,-0.69,-0.77%,6777800
04/15/2024,90.88,91.215,89.18,89.49,-0.43,-0.48%,5753200
04/12/2024,91.27,91.45,89.515,89.92,-1.62,-1.77%,6056500
04/11/2024,91.7,91.93,91.065,91.54,-0.07,-0.08%,4950200
04/10/2024,91.63,92.16,91.275,91.61,-1.45,-1.56%,7056700
04/09/2024,93.56,93.59,92.105,93.06,0.22,+0.24%,5675300
04/08/2024,93.07,93.17,92.59,92.84,0.07,+0.08%,3260900
04/05/2024,91.93,92.89,91.845,92.77,0.83,+0.90%,4902200
04/04/2024,93.39,93.715,91.73,91.94,-0.94,-1.01%,6329500
04/03/2024,92.43,93,92.35,92.88,0.55,+0.60%,5011400
04/02/2024,92.58,92.66,91.925,92.33,-0.34,-0.37%,4785300
04/01/2024,93.33,93.33,92.5014,92.67,-0.22,-0.24%,3823400
03/28/2024,92.65,93.205,92.47,92.89,0.25,+0.27%,4512600
03/27/2024,91.56,92.665,91.48,92.64,1.31,+1.43%,4222200
03/26/2024,91.55,91.719,91.27,91.33,-0.07,-0.08%,2717300
03/25/2024,91.32,91.77,91.24,91.4,0.03,+0.03%,2831300
03/22/2024,91.74,91.96,91.315,91.37,-0.57,-0.62%,2937300
03/21/2024,91.8,92.082,91.44,91.94,0.38,+0.42%,4692000
03/20/2024,90.58,91.8901,90.4,91.56,0.91,+1.00%,6626100
03/19/2024,90.53,90.805,90.26,90.65,0.01,+0.01%,5416400
03/18/2024,90.76,91.36,90.6,90.64,0.165,+0.18%,7621100
03/15/2024,89.8473,90.8736,89.7875,90.475,0.0399,+0.04%,9384791
03/14/2024,90.6643,90.8686,90.0316,90.4351,-0.4783,-0.53%,9760841
03/13/2024,90.3056,91.3269,90.3056,90.9134,0.8868,+0.99%,7290798
03/12/2024,90.0266,90.1412,89.5832,90.0266,-0.01,-0.01%,5092829
03/11/2024,89.4487,90.4152,89.1298,90.0366,1.0064,+1.13%,11677192
03/08/2024,89.8273,89.8771,89.0103,89.0302,-0.5181,-0.58%,5174018
03/07/2024,89.1597,89.9668,89.1498,89.5483,1.0861,+1.23%,3985365
03/06/2024,88.2928,88.7711,88.1633,88.4622,0.6476,+0.74%,5130365
03/05/2024,87.984,88.5519,87.5156,87.8146,-0.4683,-0.53%,4262153
03/04/2024,87.7448,88.4323,87.6452,88.2829,0.6377,+0.73%,4691390
03/01/2024,87.2466,87.8644,87.1768,87.6452,0.3986,+0.46%,5219479
02/29/2024,87.1171,87.4857,86.8181,87.2466,0.6576,+0.76%,6145797
02/28/2024,86.0708,86.9078,85.8416,86.589,0.2691,+0.31%,4513152
02/27/2024,86.3199,86.5391,86.0708,86.3199,0.3188,+0.37%,4142026
02/26/2024,86.2402,86.3598,85.9014,86.0011,-0.5181,-0.60%,3338648
02/23/2024,86.1904,86.6438,85.9815,86.5192,0.5082,+0.59%,3552315
02/22/2024,85.3135,86.1406,85.2039,86.011,0.8569,+1.01%,4741272
02/21/2024,84.6659,85.2039,84.347,85.1541,0.4683,+0.55%,4075688
02/20/2024,84.8153,84.9548,84.4367,84.6858,-0.1794,-0.21%,4525698
02/16/2024,84.7755,85.4381,84.6858,84.8652,0.4484,+0.53%,4673324
02/15/2024,83.3107,84.5463,83.3107,84.4168,1.5644,+1.89%,6013621
02/14/2024,82.7428,83.0118,82.3243,82.8524,0.5281,+0.64%,4396736
02/13/2024,82.7029,82.9421,81.7264,82.3243,-1.1758,-1.41%,6455404
02/12/2024,83.0417,83.8837,82.9719,83.5001,0.6577,+0.79%,3410405
02/09/2024,82.4737,82.8773,82.2346,82.8424,0.1793,+0.22%,3831414
02/08/2024,82.8922,82.8972,82.0752,82.6631,-0.1096,-0.13%,3411408
02/07/2024,82.5833,82.9969,82.5435,82.7727,0.6577,+0.80%,5429632
02/06/2024,81.3478,82.2944,81.3478,82.115,1.4248,+1.77%,9560724
02/05/2024,81.009,81.1983,80.446,80.6902,-2.1024,-2.54%,12488090
02/02/2024,82.673,83.1912,81.8859,82.7926,-0.4882,-0.59%,11501264
02/01/2024,83.1712,83.4104,82.1698,83.2808,1.3651,+1.67%,9932356
01/31/2024,83.1314,83.236,81.836,81.9157,-1.0861,-1.31%,6763311
