Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,81.05,81.23,80.12,80.84,0.05,+0.06%,6196600
04/23/2024,80.07,81.075,79.98,80.79,1.21,+1.52%,5068000
04/22/2024,80.02,80.22,78.95,79.58,0.11,+0.14%,5458300
04/19/2024,80.17,80.2,78.89,79.47,-0.88,-1.10%,6854600
04/18/2024,80.24,81.01,80.13,80.35,0.39,+0.49%,4539400
04/17/2024,80.58,80.64,79.52,79.96,-0.07,-0.09%,4862300
04/16/2024,80.07,80.48,79.825,80.03,-0.27,-0.34%,7501000
04/15/2024,81.99,82.09,80.09,80.3,-1.03,-1.27%,6494600
04/12/2024,82.15,82.32,81.2,81.33,-1.36,-1.64%,5997200
04/11/2024,82.3,82.935,81.8,82.69,0.72,+0.88%,4073100
04/10/2024,81.83,82.12,81.58,81.97,-0.65,-0.79%,6845300
04/09/2024,82.74,83.19,82.12,82.62,0.09,+0.11%,4733000
04/08/2024,82.65,82.98,82.45,82.53,0.01,+0.01%,3503000
04/05/2024,81.85,82.91,81.69,82.52,0.83,+1.02%,6619500
04/04/2024,83.19,83.585,81.66,81.69,-1.12,-1.35%,8000400
04/03/2024,82.1,82.88,82.03,82.81,0.65,+0.79%,5158000
04/02/2024,81.58,82.22,81.4,82.16,-0.13,-0.16%,5271100
04/01/2024,81.55,82.3199,81.36,82.29,0.63,+0.77%,5290800
03/28/2024,81.77,81.9,81.51,81.66,-0.13,-0.16%,5294700
03/27/2024,81.75,81.86,81.13,81.79,0.42,+0.52%,4177700
03/26/2024,81.69,82.015,81.27,81.37,-0.17,-0.21%,5441600
03/25/2024,81.59,81.64,81.11,81.54,-0.28,-0.34%,3732400
03/22/2024,81.86,82.16,81.67,81.82,0.17,+0.21%,3214300
03/21/2024,82.25,82.25,81.59,81.65,0.03,+0.04%,5377200
03/20/2024,80.81,81.78,80.55,81.62,0.95,+1.18%,4432600
03/19/2024,80.39,80.74,79.97,80.67,-0.03,-0.04%,4777100
03/18/2024,80.56,81.0087,80.45,80.7,1.624,+2.05%,5360600
03/15/2024,79.5348,79.9237,78.9164,79.076,-0.7978,-1.00%,8188300
03/14/2024,80.3226,80.3825,79.4151,79.8738,-0.1895,-0.24%,7229816
03/13/2024,79.8938,80.4523,79.8539,80.0633,0.1396,+0.17%,5511476
03/12/2024,79.6146,80.203,79.1857,79.9237,0.6981,+0.88%,7425141
03/11/2024,79.076,79.5946,78.6123,79.2256,-0.1496,-0.19%,6952965
03/08/2024,79.6146,80.5171,78.9763,79.3752,-0.1197,-0.15%,8733570
03/07/2024,78.8367,79.7143,78.6671,79.4949,1.2666,+1.62%,6477880
03/06/2024,78.7469,78.8566,77.974,78.2283,0.1097,+0.14%,6851691
03/05/2024,78.2283,78.4776,77.8593,78.1186,-0.6383,-0.81%,7623274
03/04/2024,79.6245,79.6744,78.6521,78.7569,-1.0471,-1.31%,7185189
03/01/2024,79.2057,80.0783,79.2007,79.804,0.6582,+0.83%,5844676
02/29/2024,78.9563,79.3951,78.4477,79.1458,0.6981,+0.89%,6792533
