Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,95.52,96.3,95.06,96.19,0.07,+0.07%,10651800
04/23/2024,95.15,96.12,94.69,96.12,0.53,+0.55%,14328700
04/22/2024,94.47,96.24,93.72,95.59,0.62,+0.65%,15122100
04/19/2024,94.02,95.61,93.88,94.97,1.13,+1.20%,17725700
04/18/2024,94.45,94.72,93.51,93.84,-0.29,-0.31%,12777800
04/17/2024,94.2,95.14,93.46,94.13,-0.27,-0.29%,13710400
04/16/2024,95.05,95.49,93.73,94.4,-0.83,-0.87%,18248800
04/15/2024,96.59,97.05,95.11,95.23,-0.9,-0.94%,24345300
04/12/2024,98.34,98.97,95.67,96.13,-1.59,-1.63%,23286200
04/11/2024,98.1,98.14,96.335,97.72,-0.07,-0.07%,19602300
04/10/2024,97.22,98.15,96.8,97.79,0.3,+0.31%,19599800
04/09/2024,97.88,98.14,96.78,97.49,0.03,+0.03%,17666500
04/08/2024,98.13,98.41,97.285,97.46,-0.62,-0.63%,17017200
04/05/2024,97.44,98.4667,96.85,98.08,1.04,+1.07%,15597200
04/04/2024,97.25,97.595,96.66,97.04,-0.06,-0.06%,18470600
04/03/2024,96.8,97.2302,96.4849,97.1,0.66,+0.68%,14574400
04/02/2024,95.52,96.54,95.1,96.44,1.33,+1.40%,19335600
04/01/2024,94.69,95.39,93.7563,95.11,0.7,+0.74%,21449500
03/28/2024,93.95,94.58,93.4957,94.41,1.01,+1.08%,17307500
03/27/2024,92.34,93.42,92.18,93.4,0.86,+0.93%,16980000
03/26/2024,93.35,93.56,92.36,92.54,-0.72,-0.77%,17686900
03/25/2024,92.72,93.88,92.7,93.26,0.86,+0.93%,17537100
03/22/2024,92.64,92.87,92.1735,92.4,-0.2,-0.22%,8974400
03/21/2024,92.21,92.79,91.92,92.6,0.55,+0.60%,11667000
03/20/2024,91.65,92.38,91.51,92.05,-0.13,-0.14%,16329600
03/19/2024,91.13,92.2496,91.07,92.18,1.04,+1.14%,14272800
03/18/2024,91.19,91.46,90.43,91.14,0.314,+0.35%,15248300
03/15/2024,90.4887,91.4807,90.2804,90.826,0.2678,+0.30%,19029149
