Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,41.02,41.175,40.91,41.12,-0.01,-0.02%,33957400
04/23/2024,41.06,41.23,40.95,41.13,0.26,+0.64%,36488500
04/22/2024,40.6,41.1,40.43,40.87,0.49,+1.21%,50701100
04/19/2024,40.05,40.455,39.97,40.38,0.55,+1.38%,55513600
04/18/2024,39.87,40.18,39.735,39.83,0.14,+0.35%,48893400
04/17/2024,39.77,39.945,39.5322,39.69,0.1,+0.25%,41561900
04/16/2024,39.89,39.98,39.53,39.59,-0.27,-0.68%,66751300
04/15/2024,40.58,40.74,39.745,39.86,-0.2,-0.50%,71800500
04/12/2024,40.33,40.4998,39.905,40.06,-0.54,-1.33%,81234700
04/11/2024,40.87,40.93,40.355,40.6,-0.29,-0.71%,56870800
04/10/2024,41.11,41.27,40.76,40.89,-0.62,-1.49%,59492700
04/09/2024,41.77,41.875,41.175,41.51,-0.24,-0.57%,51971400
04/08/2024,41.58,41.82,41.56,41.75,0.18,+0.43%,35165600
04/05/2024,41.34,41.675,41.2,41.57,0.39,+0.95%,47540200
04/04/2024,42,42.08,41.13,41.18,-0.47,-1.13%,52657500
04/03/2024,41.68,41.96,41.535,41.65,-0.02,-0.05%,39715800
04/02/2024,41.76,41.815,41.6,41.67,-0.22,-0.53%,36359800
04/01/2024,42.16,42.195,41.81,41.89,-0.23,-0.55%,37537600
03/28/2024,41.94,42.22,41.865,42.12,0.23,+0.55%,41490100
03/27/2024,41.6,41.9,41.494,41.89,0.49,+1.18%,36670200
03/26/2024,41.41,41.526,41.27,41.4,0.14,+0.34%,30135400
03/25/2024,41.39,41.46,41.26,41.26,-0.16,-0.39%,31784000
03/22/2024,41.95,42.035,41.39,41.42,-0.48,-1.15%,32032900
03/21/2024,41.66,42,41.61,41.9,0.34,+0.82%,49209100
03/20/2024,41.02,41.59,40.95,41.56,0.49,+1.19%,52255300
03/19/2024,40.9,41.09,40.875,41.07,0.2,+0.49%,36748300
03/18/2024,40.78,40.92,40.575,40.87,0.233,+0.57%,39140600
03/15/2024,40.4477,40.8263,40.368,40.637,-0.0399,-0.10%,67822396
03/14/2024,41.0156,41.0953,40.4577,40.6769,-0.3287,-0.80%,65810175
03/13/2024,40.7864,41.0156,40.7566,41.0056,0.2989,+0.73%,43634984
03/12/2024,40.627,40.8263,40.4876,40.7067,0.1693,+0.42%,53399546
03/11/2024,40.3182,40.5772,40.2485,40.5374,0.0698,+0.17%,36369396
03/08/2024,40.4577,40.6769,40.4128,40.4676,0.0697,+0.17%,47446250
03/07/2024,40.6071,40.6818,40.2485,40.3979,-0.0598,-0.15%,35638779
03/06/2024,40.3082,40.5772,40.1239,40.4577,0.2092,+0.52%,58679568
03/05/2024,40.099,40.4776,40.099,40.2485,0.01,+0.02%,50961204
03/04/2024,40.0691,40.3481,40.0592,40.2385,0.0996,+0.25%,53614304
03/01/2024,40.1787,40.2685,40.0044,40.1389,-0.0498,-0.12%,40948369
02/29/2024,40.3082,40.3979,40.0193,40.1887,-0.0199,-0.05%,37771364
02/28/2024,39.9795,40.3481,39.9645,40.2086,0.1494,+0.37%,40191569
02/27/2024,39.9894,40.0691,39.7852,40.0592,0.1096,+0.27%,42759761
02/26/2024,40.109,40.378,39.8799,39.9496,-0.1992,-0.50%,38514351
02/23/2024,40.099,40.3132,40.0731,40.1488,0.1992,+0.50%,42349388
02/22/2024,39.7105,40.094,39.6408,39.9496,0.4583,+1.16%,55395865
02/21/2024,39.322,39.4913,39.1825,39.4913,0.1195,+0.30%,40410591
02/20/2024,39.2024,39.5112,39.1675,39.3718,-0.1096,-0.28%,40102586
02/16/2024,39.581,39.6607,39.4022,39.4814,-0.1394,-0.35%,38042650
02/15/2024,39.0729,39.7005,39.0629,39.6208,0.6675,+1.71%,58326619
02/14/2024,38.8139,38.9832,38.6644,38.9533,0.3686,+0.96%,58943550
02/13/2024,38.8139,38.9085,38.2759,38.5847,-0.528,-1.35%,63185342
02/12/2024,38.9334,39.2821,38.8438,39.1127,0.1793,+0.46%,40103161
02/09/2024,38.774,38.9484,38.6744,38.9334,0.1096,+0.28%,50871234
02/08/2024,38.7939,38.9384,38.5748,38.8238,-0.1495,-0.38%,47509639
02/07/2024,38.8936,39.0181,38.6246,38.9733,0.2889,+0.75%,39165569
02/06/2024,38.5548,38.7391,38.5,38.6844,0.0797,+0.21%,41210228
02/05/2024,38.6146,38.7342,38.4303,38.6047,-0.2291,-0.59%,37491882
02/02/2024,38.5449,39.0108,38.52,38.8338,0.1594,+0.41%,62010875
02/01/2024,38.5449,38.6993,38.1065,38.6744,0.0598,+0.15%,63684454
01/31/2024,39.0131,39.302,38.5947,38.6146,-0.4782,-1.22%,66028488
01/30/2024,38.6445,39.1327,38.6246,39.0928,0.4881,+1.26%,43391976
01/29/2024,38.3855,38.6345,38.2859,38.6047,0.0997,+0.26%,44341870
01/26/2024,38.3058,38.5727,38.2659,38.505,0.1394,+0.36%,38765532
01/25/2024,38.3257,38.4054,38.1265,38.3656,0.1893,+0.50%,50884596
01/24/2024,38.1862,38.3855,38.1464,38.1763,0.1495,+0.39%,44140927
01/23/2024,37.9471,38.0566,37.8674,38.0268,0.0597,+0.16%,46429687
01/22/2024,37.9471,38.1563,37.8821,37.9671,0.1794,+0.47%,52023876
01/19/2024,37.3295,37.8375,37.2099,37.7877,0.5977,+1.61%,59641453
01/18/2024,37.0804,37.2249,36.8114,37.19,0.0598,+0.16%,42223253
01/17/2024,36.8811,37.2796,36.8612,37.1302,-0.0697,-0.19%,38861670
01/16/2024,37.1402,37.2697,36.9915,37.1999,-0.2591,-0.69%,44207865
01/12/2024,37.708,37.8475,37.3045,37.459,-0.0697,-0.19%,41489383
01/11/2024,37.6184,37.6682,37.2298,37.5287,-0.1395,-0.37%,49228050
01/10/2024,37.5486,37.6981,37.4291,37.6682,0.0598,+0.16%,37235044
01/09/2024,37.6483,37.6532,37.4928,37.6084,-0.2391,-0.63%,36474817
01/08/2024,37.6184,37.8674,37.4191,37.8475,0.2391,+0.64%,39245512
01/05/2024,37.449,37.8077,37.4291,37.6084,0.1594,+0.43%,45021174
01/04/2024,37.4291,37.7479,37.3793,37.449,0.1494,+0.40%,37043046
01/03/2024,37.449,37.5088,37.2398,37.2996,-0.3188,-0.85%,47085471
01/02/2024,37.3593,37.6383,37.2896,37.6184,0.1594,+0.43%,31469811
12/29/2023,37.5686,37.6283,37.3495,37.459,-0.1195,-0.32%,30332043
12/28/2023,37.4092,37.6582,37.3992,37.5785,0.1096,+0.29%,25403297
12/27/2023,37.2697,37.4689,37.2149,37.4689,0.1195,+0.32%,32763620
12/26/2023,37.2298,37.4191,37.1701,37.3494,0.1495,+0.40%,17904650
12/22/2023,37.2298,37.3494,37.0605,37.1999,0.0797,+0.21%,30445630
12/21/2023,36.921,37.1302,36.7855,37.1202,0.3586,+0.98%,27625850
12/20/2023,37.3295,37.4185,36.7616,36.7616,-0.6675,-1.78%,53185180
12/19/2023,37.1302,37.439,37.0306,37.4291,0.279,+0.75%,32631277
12/18/2023,37.2099,37.2796,37.1103,37.1501,0.1235,+0.33%,43597563
12/15/2023,36.9374,37.1117,36.868,37.0266,-0.2181,-0.59%,69851011
12/14/2023,37.1753,37.3835,37.0464,37.2447,0.3668,+0.99%,67449712
12/13/2023,36.3029,36.9225,36.2335,36.8779,0.5849,+1.61%,57486655
12/12/2023,36.1245,36.3029,35.9758,36.293,0.2577,+0.72%,37570922
12/11/2023,35.8271,36.1046,35.8271,36.0353,0.2181,+0.61%,31437869
12/08/2023,35.5892,35.8766,35.5495,35.8172,0.1884,+0.53%,33503056
12/07/2023,35.5495,35.6486,35.4603,35.6288,0.1685,+0.48%,26278340
12/06/2023,35.837,35.9708,35.4108,35.4603,-0.1784,-0.50%,35927162
12/05/2023,35.7081,35.718,35.4801,35.6387,-0.1785,-0.50%,39855925
12/04/2023,35.6486,35.9559,35.609,35.8172,-0.0396,-0.11%,41727867
12/01/2023,35.5297,35.8965,35.4702,35.8568,0.2676,+0.75%,51715304
11/30/2023,35.2719,35.5892,35.1579,35.5892,0.3966,+1.13%,37660544
11/29/2023,35.0439,35.4008,35.0439,35.1926,0.2478,+0.71%,36971441
11/28/2023,34.915,35.0637,34.8556,34.9448,-0.0099,-0.03%,39672690
11/27/2023,34.9448,35.012,34.8754,34.9547,-0.119,-0.34%,35322740
11/24/2023,34.9646,35.1282,34.9497,35.0737,0.1091,+0.31%,13283400
11/22/2023,34.9051,35.034,34.8456,34.9646,0.1388,+0.40%,33009727
11/21/2023,34.7961,34.915,34.7663,34.8258,-0.0198,-0.06%,27524037
11/20/2023,34.6573,34.925,34.5829,34.8456,0.1387,+0.40%,37726818
11/17/2023,34.6573,34.7168,34.5681,34.7069,0.1785,+0.52%,31615104
11/16/2023,34.4888,34.5631,34.3797,34.5284,0.1388,+0.40%,33512593
11/15/2023,34.2608,34.4888,34.2509,34.3896,0.1883,+0.55%,35305834
11/14/2023,33.9336,34.3896,33.9039,34.2013,0.6345,+1.89%,54770399
11/13/2023,33.4974,33.656,33.4479,33.5668,-0.0496,-0.15%,28574635
11/10/2023,33.3983,33.6461,33.205,33.6164,0.3767,+1.13%,35460423
11/09/2023,33.4875,33.5371,33.1752,33.2397,-0.1388,-0.42%,34636376
11/08/2023,33.3289,33.4082,33.1703,33.3785,0.0397,+0.12%,30320396
11/07/2023,33.2892,33.4181,33.2298,33.3388,-0.0496,-0.15%,27681594
11/06/2023,33.5767,33.6213,33.2099,33.3884,-0.0991,-0.30%,40954278
11/03/2023,33.3685,33.6461,33.3586,33.4875,0.4362,+1.32%,59314905
11/02/2023,32.5854,33.0711,32.5259,33.0513,0.7633,+2.36%,47831083
11/01/2023,32.1393,32.4169,32.0649,32.288,0.2082,+0.65%,52216102
