Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,40.99,41.02,40.6,40.77,-0.04,-0.10%,981500
04/23/2024,40.5,40.815,40.4076,40.81,0.55,+1.37%,1033200
04/22/2024,40.07,40.4795,39.85,40.26,0.42,+1.05%,2249700
04/19/2024,40.46,40.49,39.7499,39.84,-0.7,-1.73%,1837000
04/18/2024,40.7,40.925,40.475,40.54,-0.1,-0.25%,1035400
04/17/2024,41.18,41.19,40.52,40.64,-0.29,-0.71%,1108400
04/16/2024,41,41.18,40.81,40.93,-0.01,-0.02%,1184700
04/15/2024,41.88,41.92,40.93,40.94,-0.62,-1.49%,1617200
04/12/2024,41.85,41.975,41.46,41.56,-0.63,-1.49%,1168100
04/11/2024,41.79,42.255,41.52,42.19,0.55,+1.32%,1111300
04/10/2024,41.48,41.71,41.42,41.64,-0.23,-0.55%,1457400
04/09/2024,41.99,41.99,41.44,41.87,0.04,+0.10%,1297100
04/08/2024,41.92,41.99,41.74,41.83,-0.02,-0.05%,862700
04/05/2024,41.54,42.03,41.4599,41.85,0.49,+1.18%,1631400
04/04/2024,42.2,42.31,41.34,41.36,-0.54,-1.29%,1726500
04/03/2024,41.81,42.095,41.78,41.9,-0.02,-0.05%,861400
04/02/2024,41.75,41.935,41.64,41.92,-0.24,-0.57%,1111300
04/01/2024,42.22,42.36,41.99,42.16,0.03,+0.07%,1402900
03/28/2024,42.13,42.235,42.05,42.13,-0.06,-0.14%,979100
03/27/2024,42.24,42.24,41.89,42.19,0.18,+0.43%,943400
03/26/2024,42.3,42.3,41.97,42.01,-0.13,-0.31%,728400
03/25/2024,42.1,42.23,42,42.14,-0.15,-0.35%,1212800
03/22/2024,42.22,42.4,42.1337,42.29,0.08,+0.19%,822700
03/21/2024,42.53,42.53,42.185,42.21,-0.05,-0.12%,967200
03/20/2024,41.87,42.26,41.77,42.26,0.4,+0.96%,1155700
03/19/2024,41.54,41.88,41.35,41.86,0.24,+0.58%,888200
03/18/2024,41.73,41.945,41.59,41.62,0.36,+0.87%,798100
03/15/2024,41.3398,41.4297,41.1303,41.26,-0.449,-1.08%,1354247
03/14/2024,41.8288,41.8537,41.4795,41.709,0.0399,+0.10%,1568514
03/13/2024,41.8088,41.8088,41.5494,41.6691,-0.1597,-0.38%,2021700
03/12/2024,41.4396,41.8376,41.1403,41.8288,0.6885,+1.67%,1480220
03/11/2024,41.1004,41.2151,40.9507,41.1403,-0.0399,-0.10%,1052990
03/08/2024,41.6691,41.9659,41.1403,41.1802,-0.439,-1.05%,1874789
