Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,122.96,123.18,121.065,122.09,-0.98,-0.80%,11063900
04/23/2024,122.24,123.235,122.06,123.07,1.69,+1.39%,9869900
04/22/2024,121.2,122.185,120.63,121.38,0.91,+0.76%,10484800
04/19/2024,120.95,121.62,120.17,120.47,-0.22,-0.18%,10832100
04/18/2024,121.69,122.185,120.505,120.69,-0.42,-0.35%,9195700
04/17/2024,122.42,122.45,120.36,121.11,-0.63,-0.52%,11084100
04/16/2024,121.98,122.32,121.12,121.74,-0.28,-0.23%,11046100
04/15/2024,124.58,124.76,121.65,122.02,-0.88,-0.72%,10374500
04/12/2024,123.45,123.89,122.38,122.9,-1.33,-1.07%,11604200
04/11/2024,124.15,124.735,123.2036,124.23,0.14,+0.11%,8228800
04/10/2024,123.61,124.47,123.18,124.09,-1.07,-0.85%,14119500
04/09/2024,125.62,125.96,123.725,125.16,-0.29,-0.23%,9042200
04/08/2024,125.85,126.06,125.36,125.45,-0.22,-0.18%,6096100
04/05/2024,124.35,125.995,124.29,125.67,1.72,+1.39%,10718600
04/04/2024,125.87,126.39,123.58,123.95,-1.1,-0.88%,10659800
04/03/2024,124.32,125.395,124.32,125.05,0.64,+0.51%,7589900
04/02/2024,124.49,124.9,124.15,124.41,-0.58,-0.46%,11049400
04/01/2024,126.09,126.16,124.91,124.99,-0.97,-0.77%,6905400
03/28/2024,126.1,126.29,125.72,125.96,0.02,+0.02%,7287000
03/27/2024,124.75,125.95,124.68,125.94,1.99,+1.61%,7162900
03/26/2024,124.4,124.73,123.895,123.95,-0.45,-0.36%,7292800
03/25/2024,125.18,125.27,124.32,124.4,-0.81,-0.65%,7658100
03/22/2024,126,126.095,125.175,125.21,-0.43,-0.34%,6771100
03/21/2024,124.99,125.94,124.7854,125.64,1.23,+0.99%,9965000
03/20/2024,122.77,124.59,122.64,124.41,1.48,+1.20%,10400900
03/19/2024,121.93,122.94,121.86,122.93,1.05,+0.86%,8842300
03/18/2024,122.1,122.38,121.74,121.88,0.216,+0.18%,7178800
03/15/2024,121.1556,122.1525,121.0958,121.664,0.0199,+0.02%,10773090
03/14/2024,122.3519,122.4815,120.8415,121.6441,-0.5184,-0.42%,9714727
03/13/2024,121.6441,122.4366,121.6441,122.1625,0.329,+0.27%,8033949
03/12/2024,121.2852,121.9506,120.7269,121.8335,0.5384,+0.44%,9153599
03/11/2024,121.5444,121.8036,120.4428,121.2951,-0.6281,-0.52%,9207571
03/08/2024,122.4815,123.1195,121.5793,121.9232,-0.2692,-0.22%,10188535
03/07/2024,121.993,122.3519,121.6889,122.1924,0.977,+0.81%,7961226
03/06/2024,121.0659,121.8934,120.9313,121.2154,0.6281,+0.52%,8671515
03/05/2024,121.3151,121.6441,120.0789,120.5873,-0.997,-0.82%,12036085
03/04/2024,121.1456,121.9282,121.1456,121.5843,0.4387,+0.36%,11923230
03/01/2024,120.5873,121.2154,120.2384,121.1456,0.5184,+0.43%,10815723
02/29/2024,120.6272,120.8964,120.039,120.6272,0.3689,+0.31%,9691961
02/28/2024,119.73,120.5674,119.6253,120.2583,0.4087,+0.34%,8349727
02/27/2024,119.9294,119.9692,119.3462,119.8496,0.1794,+0.15%,6294894
02/26/2024,119.8396,120.1088,119.5406,119.6702,-0.1794,-0.15%,7975870
02/23/2024,119.4907,120.1088,119.391,119.8496,0.6281,+0.53%,8784465
02/22/2024,118.4539,119.4409,118.3742,119.2215,1.4554,+1.24%,10637076
02/21/2024,117.3174,117.8159,116.9835,117.7661,0.4686,+0.40%,8900517
02/20/2024,117.2576,117.6763,117.0184,117.2975,-0.3689,-0.31%,7414844
02/16/2024,118.105,118.4938,117.5368,117.6664,-0.7078,-0.60%,8767910
02/15/2024,117.6365,118.439,117.467,118.3742,0.8773,+0.75%,11680282
02/14/2024,116.4501,117.5417,116.3155,117.4969,1.934,+1.67%,11926242
02/13/2024,115.7523,115.7822,114.7354,115.5629,-1.1963,-1.02%,13933623
02/12/2024,116.5199,117.0732,116.4102,116.7592,0.1695,+0.15%,8409105
02/09/2024,116.5697,116.5997,115.9367,116.5897,0.1795,+0.15%,10137230
02/08/2024,116.6694,116.7342,115.9317,116.4102,0.0199,+0.02%,8558671
02/07/2024,116.0115,116.7392,115.9566,116.3903,0.7676,+0.66%,7580354
02/06/2024,114.7354,115.6825,114.4662,115.6227,1.0269,+0.90%,8749855
02/05/2024,114.7653,115.0046,113.9479,114.5958,-0.6281,-0.55%,9566076
02/02/2024,114.217,115.7224,113.7784,115.2239,0.7676,+0.67%,12869752
02/01/2024,113.25,114.4812,112.6319,114.4563,1.9141,+1.70%,13989197
01/31/2024,113.7784,113.9877,112.5173,112.5422,-1.3159,-1.16%,14506994
01/30/2024,113.0107,114.0176,113.0107,113.8581,0.0398,+0.03%,8325652
01/29/2024,112.9709,113.8282,112.8213,113.8183,0.7378,+0.65%,5867976
01/26/2024,113.3796,113.7584,112.7615,113.0805,-0.1795,-0.16%,7052831
01/25/2024,112.7416,113.2799,112.4525,113.26,1.0767,+0.96%,9929590
01/24/2024,113.3397,113.3597,112.1235,112.1833,-0.6979,-0.62%,9668488
01/23/2024,113.0008,113.3647,112.3927,112.8812,-0.0897,-0.08%,10306950
01/22/2024,112.4923,113.26,112.4923,112.9709,0.8673,+0.77%,9943732
01/19/2024,111.635,112.3927,110.758,112.1036,0.7278,+0.65%,10387598
01/18/2024,110.2991,111.5503,110.1546,111.3758,1.4854,+1.35%,9088500
01/17/2024,109.8505,110.5982,109.6113,109.8904,-0.7477,-0.68%,7628201
01/16/2024,111.2063,111.296,110.2642,110.6381,-1.1265,-1.01%,10867581
01/12/2024,112.1534,112.3976,111.326,111.7646,-0.01,-0.01%,6651392
01/11/2024,112.0637,112.2232,110.8574,111.7746,-0.2592,-0.23%,9109764
01/10/2024,111.4855,112.1733,111.3808,112.0338,0.5683,+0.51%,9137348
01/09/2024,111.0568,111.5951,110.648,111.4655,-0.349,-0.31%,8478322
01/08/2024,110.7876,111.8145,110.2941,111.8145,0.7278,+0.66%,10889544
01/05/2024,110.8773,111.5951,110.6879,111.0867,0.1296,+0.12%,7912477
01/04/2024,111.0169,111.8892,110.8873,110.9571,0.1396,+0.13%,10749116
01/03/2024,111.8743,112.0736,110.7477,110.8175,-1.6748,-1.49%,18688783
01/02/2024,112.8812,113.589,112.1434,112.4923,-1.1465,-1.01%,8585253
12/29/2023,113.6288,114.0475,113.1603,113.6388,-0.1396,-0.12%,7960927
12/28/2023,113.6189,114.0176,113.4693,113.7784,0.0299,+0.03%,8266165
12/27/2023,113.5591,114.0176,113.3647,113.7485,0.1695,+0.15%,5912313
12/26/2023,112.8712,113.8432,112.7017,113.579,0.7975,+0.71%,5197512
12/22/2023,112.4724,113.1752,112.3328,112.7815,0.5384,+0.48%,5517195
12/21/2023,111.8842,112.288,111.3758,112.2431,1.1464,+1.03%,6983616
12/20/2023,112.1135,113.0357,111.0269,111.0967,-1.8243,-1.62%,8355439
12/19/2023,112.3727,113.0407,112.3029,112.921,0.8673,+0.77%,5265624
12/18/2023,112.3328,112.4076,111.9291,112.0537,-0.005,0.00%,6998762
12/15/2023,111.9397,112.4156,111.5148,112.0587,-0.1487,-0.13%,13919391
12/14/2023,111.5431,112.4751,111.3894,112.2074,1.4277,+1.29%,15606646
12/13/2023,109.5601,110.9829,108.9851,110.7797,1.2196,+1.11%,13088118
12/12/2023,109.223,109.7832,108.8661,109.5601,0.4957,+0.45%,6580472
12/11/2023,108.3108,109.1933,108.2514,109.0644,1.0312,+0.95%,9460667
12/08/2023,107.7358,108.5587,107.6961,108.0332,0.3371,+0.31%,7211338
12/07/2023,107.8349,108.0084,107.3888,107.6961,0.0991,+0.09%,8530055
12/06/2023,107.6069,108.2414,107.4284,107.597,0.4759,+0.44%,8407710
12/05/2023,107.5375,107.706,106.9773,107.1211,-0.8725,-0.81%,10142564
12/04/2023,106.9723,108.0431,106.9723,107.9936,0.1785,+0.17%,11105253
12/01/2023,106.2386,107.8845,106.1593,107.8151,1.6756,+1.58%,13393721
11/30/2023,105.1876,106.199,104.8604,106.1395,1.1502,+1.10%,14222466
11/29/2023,105.1777,105.5099,104.7811,104.9893,0.3966,+0.38%,9179379
11/28/2023,104.9893,105.4702,104.444,104.5927,-0.2479,-0.24%,8044325
11/27/2023,105.0984,105.1876,104.682,104.8406,-0.5949,-0.56%,9236463
11/24/2023,105.2174,105.6338,105.1678,105.4355,0.2578,+0.25%,4477282
11/22/2023,104.9199,105.5,104.7117,105.1777,0.228,+0.22%,9137421
11/21/2023,104.8604,105.143,104.5134,104.9497,-0.0793,-0.08%,7742351
11/20/2023,104.6026,105.3066,104.1664,105.029,0.3173,+0.30%,7402058
11/17/2023,104.5729,104.7514,104.2457,104.7117,0.6643,+0.64%,8103729
11/16/2023,104.1366,104.6225,103.626,104.0474,0.0198,+0.02%,8684871
11/15/2023,104.097,104.8208,103.9483,104.0276,0.2181,+0.21%,8589356
11/14/2023,103.0063,104.2209,103.0063,103.8095,2.0425,+2.01%,12983326
11/13/2023,101.4398,101.995,101.2613,101.767,0.0893,+0.09%,6654701
11/10/2023,100.7854,101.7818,100.4285,101.6777,1.4475,+1.44%,9658355
11/09/2023,101.0828,101.2464,100.0418,100.2302,-0.2181,-0.22%,12337735
11/08/2023,100.4384,100.7656,100.0418,100.4483,0.2281,+0.23%,7558488
11/07/2023,99.784,100.3739,99.5411,100.2202,-0.2479,-0.25%,7306651
11/06/2023,100.8151,100.8647,99.9922,100.4681,-0.2677,-0.27%,6958488
11/03/2023,100.7656,101.2811,100.6863,100.7358,0.8824,+0.88%,10086998
11/02/2023,98.9214,99.9525,98.7033,99.8534,2.0127,+2.06%,10831830
11/01/2023,97.6225,98.034,96.9582,97.8407,0.3173,+0.33%,14841532
10/31/2023,96.5914,97.6316,96.4427,97.5234,0.7139,+0.74%,10630618
10/30/2023,96.2543,97.1339,95.8874,96.8095,1.1898,+1.24%,11339247
10/27/2023,96.522,96.6806,95.2975,95.6197,-0.8527,-0.88%,13174056
10/26/2023,96.9384,97.6225,96.413,96.4724,-0.4065,-0.42%,15519303
10/25/2023,97.9894,98.0786,96.8343,96.8789,-1.2592,-1.28%,11090332
10/24/2023,98.6438,98.8074,97.6919,98.1381,0.7337,+0.75%,9404391
10/23/2023,97.7118,98.7727,97.3548,97.4044,-0.4561,-0.47%,12180503
10/20/2023,98.9908,99.1891,97.8208,97.8605,-1.0212,-1.03%,13758020
10/19/2023,100.0021,100.5871,98.6735,98.8817,-0.9221,-0.92%,12642638
10/18/2023,101.5984,101.648,99.6353,99.8038,-2.4688,-2.41%,13699123
10/17/2023,101.4993,102.9369,101.4596,102.2726,0.3172,+0.31%,10799058
10/16/2023,101.7967,102.5156,101.41,101.9554,1.0709,+1.06%,8415576
10/13/2023,101.8959,102.2726,100.4384,100.8845,-0.9023,-0.89%,9687805
10/12/2023,103.0361,103.0361,101.0085,101.7868,-0.932,-0.91%,8171606
10/11/2023,102.3718,102.7684,101.9157,102.7188,0.6147,+0.60%,7873469
10/10/2023,101.8959,102.7039,101.4894,102.1041,0.6147,+0.61%,9741052
10/09/2023,100.3095,101.6083,100.1211,101.4894,1.5666,+1.57%,11154572
10/06/2023,98.1976,100.4979,97.8506,99.9228,1.3484,+1.37%,13961349
10/05/2023,99.0205,99.2783,98.1679,98.5744,-0.585,-0.59%,10424967
10/04/2023,98.8123,99.3378,98.0687,99.1594,0.3173,+0.32%,11492142
10/03/2023,99.1891,99.9228,98.4306,98.8421,-0.694,-0.70%,12158916
