Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,74.84,76.02,74.49,75.93,0.57,+0.76%,15010900
04/23/2024,75.27,75.43,75.0224,75.36,0.21,+0.28%,12821000
04/22/2024,74.59,75.345,74.255,75.15,0.71,+0.95%,12181800
04/19/2024,73.69,74.48,73.56,74.44,0.72,+0.98%,15843100
04/18/2024,73.62,73.89,73.465,73.72,0.34,+0.46%,11964100
04/17/2024,73.54,73.64,73.03,73.38,0.27,+0.37%,12731500
04/16/2024,73.23,73.325,72.93,73.11,0.03,+0.04%,12737500
04/15/2024,73.83,74.02,72.975,73.08,-0.3,-0.41%,12119700
04/12/2024,73.83,74.02,73.295,73.38,-0.75,-1.01%,14605800
04/11/2024,74.67,74.694,73.9,74.13,-0.18,-0.24%,10551900
04/10/2024,74,74.425,73.772,74.31,-0.27,-0.36%,15018400
04/09/2024,74.44,74.6,74.015,74.58,0.36,+0.49%,12633200
04/08/2024,74.2,74.49,74.15,74.22,-0.11,-0.15%,10040700
04/05/2024,74.15,74.56,73.9918,74.33,0.12,+0.16%,11149000
04/04/2024,74.86,74.99,74.1144,74.21,-0.32,-0.43%,18289500
04/03/2024,75.33,75.33,74.405,74.53,-0.83,-1.10%,16094700
04/02/2024,75.75,75.86,75.235,75.36,-0.39,-0.51%,16269100
04/01/2024,76.35,76.46,75.75,75.75,-0.61,-0.80%,13205100
03/28/2024,76.49,76.605,76.26,76.36,0.1,+0.13%,9172700
03/27/2024,75.85,76.26,75.85,76.26,0.79,+1.05%,9848000
03/26/2024,75.52,75.685,75.41,75.47,0.04,+0.05%,7964400
03/25/2024,75.64,75.82,75.265,75.43,-0.21,-0.28%,11003700
03/22/2024,76.01,76.13,75.62,75.64,-0.37,-0.49%,10942300
03/21/2024,76.01,76.265,75.69,76.01,0.04,+0.05%,8936100
03/20/2024,75.85,76,75.57,75.97,0.23,+0.30%,10986100
03/19/2024,75.56,75.78,75.515,75.74,0.28,+0.37%,10245800
03/18/2024,74.89,75.68,74.89,75.46,0.482,+0.64%,10228900
03/15/2024,74.6504,75.0525,74.5313,74.978,-0.0298,-0.04%,14353097
03/14/2024,75.5438,75.7225,74.7596,75.0078,-0.5857,-0.77%,14189900
03/13/2024,75.3949,75.6431,75.2808,75.5935,0.1886,+0.25%,9811099
03/12/2024,75.1865,75.6381,75.0872,75.4049,0.3872,+0.52%,10531764
03/11/2024,74.7795,75.1269,74.5611,75.0177,0.407,+0.55%,9385090
03/08/2024,74.7,74.8398,74.3427,74.6107,-0.5956,-0.79%,13399690
03/07/2024,75.0872,75.2758,74.9085,75.2063,0.4268,+0.57%,9242449
03/06/2024,74.5015,74.9085,74.432,74.7795,0.6254,+0.84%,11903287
03/05/2024,74.293,74.6653,74.0052,74.1541,0.1787,+0.24%,15824040
03/04/2024,73.6279,74.0399,73.6081,73.9754,0.0596,+0.08%,16029847
03/01/2024,73.7074,73.9952,73.3996,73.9158,0.0099,+0.01%,15626608
02/29/2024,74.2533,74.3576,73.762,73.9059,-0.1191,-0.16%,14187082
02/28/2024,73.896,74.0945,73.7024,74.025,0.0794,+0.11%,6818533
02/27/2024,73.8662,73.9853,73.7322,73.9456,0.0099,+0.01%,8355262
02/26/2024,74.2533,74.2732,73.8265,73.9357,-0.2978,-0.40%,11892813
02/23/2024,74.0449,74.6107,73.9158,74.2335,0.2283,+0.31%,12640679
02/22/2024,73.4493,74.0845,73.1564,74.0052,0.2284,+0.31%,11831361
02/21/2024,73.6478,73.9009,73.4244,73.7768,0.268,+0.36%,13878134
02/20/2024,73.2606,73.9208,73.1415,73.5088,0.7644,+1.05%,15501999
02/16/2024,72.5658,73.082,72.258,72.7444,0.1092,+0.15%,15682824
02/15/2024,72.4566,72.7345,72.3772,72.6352,0.4665,+0.65%,14340413
02/14/2024,72.2481,72.2878,71.8262,72.1687,-0.139,-0.19%,15303135
02/13/2024,73.0423,73.2458,71.8709,72.3077,-0.7842,-1.07%,21799907
02/12/2024,72.6551,73.0969,72.268,73.0919,0.5162,+0.71%,13521616
02/09/2024,73.0621,73.0621,72.4665,72.5757,-0.675,-0.92%,20851082
02/08/2024,73.1515,73.5386,72.938,73.2507,-0.0199,-0.03%,16407616
02/07/2024,73.6478,73.6875,73.2011,73.2706,-0.0695,-0.09%,7599536
02/06/2024,73.1713,73.3798,72.9281,73.3401,0.1688,+0.23%,11306927
02/05/2024,73.6478,73.6974,73.1465,73.1713,-0.4566,-0.62%,14671826
