Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,36.33,36.71,36.15,36.64,0.14,+0.38%,10758600
04/23/2024,36.26,36.6158,36.17,36.5,0.33,+0.91%,10804800
04/22/2024,36.03,36.26,35.79,36.17,0.29,+0.81%,7762900
04/19/2024,35.9,36.05,35.74,35.88,0.14,+0.39%,10629100
04/18/2024,35.89,35.9488,35.5699,35.74,0.01,+0.03%,10327600
04/17/2024,35.93,36.1,35.725,35.73,-0.3,-0.83%,11722700
04/16/2024,36.46,36.51,35.915,36.03,-0.56,-1.53%,11776100
04/15/2024,37.47,37.53,36.345,36.59,-0.65,-1.75%,7757100
04/12/2024,37.49,37.5,37.09,37.24,-0.39,-1.04%,9246100
04/11/2024,37.84,37.905,37.305,37.63,0.04,+0.11%,9441700
04/10/2024,38.18,38.18,37.345,37.59,-1.61,-4.11%,14873300
04/09/2024,38.9,39.21,38.775,39.2,0.49,+1.27%,7566000
04/08/2024,38.49,38.74,38.41,38.71,0.33,+0.86%,5588500
04/05/2024,38.03,38.471,37.95,38.38,0.25,+0.66%,6055700
04/04/2024,38.81,38.96,38.02,38.13,-0.3,-0.78%,6667700
04/03/2024,38.37,38.51,38.175,38.43,0.02,+0.05%,5392200
04/02/2024,38.6,38.6,38.28,38.41,-0.43,-1.11%,7393500
04/01/2024,39.61,39.62,38.79,38.84,-0.69,-1.75%,8064300
03/28/2024,39.37,39.62,39.37,39.53,0.25,+0.64%,5695500
03/27/2024,38.73,39.28,38.6201,39.28,0.97,+2.53%,6710900
03/26/2024,38.5,38.565,38.28,38.31,-0.16,-0.42%,6160300
03/25/2024,38.67,38.79,38.44,38.47,-0.15,-0.39%,5661500
03/22/2024,39.08,39.17,38.58,38.62,-0.46,-1.18%,4402500
03/21/2024,39.1,39.3,38.845,39.08,0.15,+0.39%,6263500
03/20/2024,38.44,39.0215,38.31,38.93,0.16,+0.41%,8678300
03/19/2024,38.79,38.91,38.51,38.77,0,0.00%,5255100
03/18/2024,38.84,39.01,38.71,38.77,-0.006,-0.02%,4970900
03/15/2024,38.4184,38.8634,38.4184,38.776,-0.0199,-0.05%,9705128
03/14/2024,39.1634,39.2726,38.4284,38.7959,-0.5562,-1.41%,10513989
03/13/2024,39.5309,39.7444,39.223,39.3521,-0.2483,-0.63%,6287715
03/12/2024,39.6004,39.7494,39.2529,39.6004,-0.0993,-0.25%,5707494
03/11/2024,39.7593,40.0573,39.511,39.6997,-0.1987,-0.50%,4625882
03/08/2024,39.7196,39.9927,39.6601,39.8984,0.4669,+1.18%,7602602
03/07/2024,39.65,39.7345,39.2131,39.4315,0,0.00%,5111470
03/06/2024,39.4713,39.5706,39.223,39.4315,0.2185,+0.56%,5520838
03/05/2024,39.5607,39.8239,39.0491,39.213,-0.5066,-1.28%,6960774
03/04/2024,39.1832,39.7482,38.9151,39.7196,0.447,+1.14%,8756810
03/01/2024,38.7462,39.3123,38.3489,39.2726,0.4271,+1.10%,9721242
02/29/2024,38.7859,39.0541,38.6866,38.8455,0.3079,+0.80%,12948268
02/28/2024,37.8722,38.6965,37.8126,38.5376,0.4867,+1.28%,7548750
02/27/2024,38.2496,38.3986,37.9317,38.0509,0.0298,+0.08%,9530557
02/26/2024,38.3787,38.5625,37.9615,38.0211,-0.4371,-1.14%,6471569
02/23/2024,38.478,38.6591,38.339,38.4582,0.0497,+0.13%,5299330
02/22/2024,38.4284,38.6171,38.3042,38.4085,0.0993,+0.26%,6186233
02/21/2024,38.19,38.3564,38.0211,38.3092,0.2781,+0.73%,5691584
