Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,65.74,66.96,65.41,66.74,0.4,+0.60%,13063500
04/23/2024,66,66.76,65.84,66.34,0.31,+0.47%,11169000
04/22/2024,65.47,66.21,65.02,66.03,0.6,+0.92%,11729200
04/19/2024,64.61,65.565,64.535,65.43,0.99,+1.54%,18502200
04/18/2024,64.3,64.66,63.825,64.44,0.36,+0.56%,11144300
04/17/2024,63.18,64.24,63.06,64.08,1.31,+2.09%,14076300
04/16/2024,63.41,63.48,62.55,62.77,-0.84,-1.32%,16453700
04/15/2024,64.64,64.91,63.365,63.61,-0.59,-0.92%,14703900
04/12/2024,64.81,65,63.89,64.2,-0.49,-0.76%,19922500
04/11/2024,65.19,65.27,64.25,64.69,-0.13,-0.20%,12810700
04/10/2024,64.63,65.065,64.25,64.82,-1.13,-1.71%,19140500
04/09/2024,65.73,66.08,65.535,65.95,0.36,+0.55%,12012500
04/08/2024,65.17,65.7,65.08,65.59,0.43,+0.66%,10071200
04/05/2024,64.55,65.335,64.235,65.16,0.19,+0.29%,16161100
04/04/2024,65.61,65.8,64.525,64.97,-0.13,-0.20%,14678300
04/03/2024,65.35,65.525,64.865,65.1,-0.26,-0.40%,13287000
04/02/2024,65.1,65.74,65.07,65.36,0.11,+0.17%,15106100
04/01/2024,65.66,65.73,64.83,65.25,-0.4,-0.61%,11351400
03/28/2024,65.19,65.7551,65.02,65.65,0.45,+0.69%,13746100
03/27/2024,63.9,65.2,63.83,65.2,1.77,+2.79%,17300200
03/26/2024,64.23,64.42,63.38,63.43,-0.73,-1.14%,14915100
03/25/2024,64.04,64.2,63.765,64.16,0.3,+0.47%,11597000
03/22/2024,64.17,64.29,63.78,63.86,0.09,+0.14%,10529700
03/21/2024,64.04,64.475,63.74,63.77,-0.1,-0.16%,20163900
03/20/2024,63.68,64.2,63.505,63.87,0.08,+0.13%,16310400
03/19/2024,63.38,63.85,63.2,63.79,0.56,+0.89%,9992700
03/18/2024,63.02,63.63,62.65,63.23,0.29,+0.46%,13421900
03/15/2024,62.6524,63.2723,62.5929,62.94,0.0893,+0.14%,17868920
03/14/2024,63.2177,63.4607,62.4044,62.8507,-0.5059,-0.80%,16066460
03/13/2024,63.426,63.9219,63.2177,63.3566,0.4265,+0.68%,13045689
03/12/2024,63.4161,63.4458,62.5334,62.9301,-0.6149,-0.97%,14866211
03/11/2024,63.1384,63.6789,62.8967,63.545,0.3174,+0.50%,10570718
03/08/2024,63.2475,63.4111,62.702,63.2276,0.1587,+0.25%,13869459
03/07/2024,63.178,63.3367,62.9499,63.0689,0.4066,+0.65%,10780340
03/06/2024,62.5135,62.9797,62.3697,62.6623,0.5951,+0.96%,16460982
03/05/2024,62.4342,63.4458,61.8093,62.0672,-0.1785,-0.29%,25006411
03/04/2024,60.9266,62.335,60.9266,62.2457,1.0314,+1.68%,16646714
03/01/2024,61.4027,61.4126,60.4605,61.2143,-0.3768,-0.61%,21430994
02/29/2024,61.8093,62.1069,61.3035,61.5911,0.0198,+0.03%,15464428
02/28/2024,61.3134,61.6606,61.1746,61.5713,0.1884,+0.31%,11586744
02/27/2024,60.5993,61.4027,60.3514,61.3829,1.1406,+1.89%,13857239
02/26/2024,61.1548,61.1944,60.1282,60.2423,-1.21,-1.97%,12899095
02/23/2024,61.1448,61.7399,60.9911,61.4523,0.4364,+0.72%,12387906
02/22/2024,61.006,61.2688,60.5498,61.0159,-0.4761,-0.77%,16052233
02/21/2024,61.0853,61.5713,60.7878,61.492,0.8034,+1.32%,15915806
02/20/2024,60.6192,61.3829,60.5597,60.6886,-0.0397,-0.07%,11476136
02/16/2024,60.5002,61.0109,60.1332,60.7283,-0.0694,-0.11%,15080666
02/15/2024,59.9844,60.8423,59.9844,60.7977,1.0017,+1.68%,17483663
02/14/2024,59.6869,59.9348,59.3497,59.796,0.3273,+0.55%,17579945
02/13/2024,60.1332,60.4407,58.6554,59.4687,-1.0017,-1.66%,22888544
02/12/2024,59.7761,60.52,59.6274,60.4704,0.6943,+1.16%,12713778
02/09/2024,59.3794,59.8357,59.2604,59.7761,0.2281,+0.38%,14946382
02/08/2024,59.7067,59.8357,59.0273,59.548,-0.4265,-0.71%,21050095
02/07/2024,60.1729,60.3018,59.6571,59.9745,0.0397,+0.07%,11972303
02/06/2024,59.6869,60.1291,59.4984,59.9348,0.2182,+0.37%,13892342
02/05/2024,60.3911,60.4258,59.6869,59.7166,-1.2695,-2.08%,20112313
02/02/2024,61.4027,61.5812,60.5597,60.9861,-1.1208,-1.80%,26133863
02/01/2024,60.6886,62.1069,60.4109,62.1069,1.1604,+1.90%,25966466
01/31/2024,61.5812,61.849,60.5944,60.9465,-0.1289,-0.21%,30067564
01/30/2024,60.9465,61.4424,60.5499,61.0754,-0.0198,-0.03%,18203563
01/29/2024,60.7481,61.3283,60.3861,61.0952,0.3868,+0.64%,13134735
01/26/2024,60.6886,60.9316,60.5101,60.7084,0.1785,+0.29%,18478223
01/25/2024,60.2522,60.5398,59.6913,60.5299,1.0711,+1.80%,25466983
01/24/2024,60.6985,60.7977,59.3695,59.4588,-0.8232,-1.37%,25649155
01/23/2024,60.1927,60.4704,59.92,60.282,0.1091,+0.18%,20719866
01/22/2024,60.4605,60.9068,59.91,60.1729,-0.3074,-0.51%,21010447
01/19/2024,60.6192,60.7184,60.0935,60.4803,-0.0794,-0.13%,14245433
01/18/2024,60.9068,60.9663,60.2125,60.5597,-0.6546,-1.07%,19895012
01/17/2024,61.7598,62.3251,60.7481,61.2143,-0.9025,-1.45%,19746290
01/16/2024,62.4937,62.6573,61.968,62.1168,-0.6844,-1.09%,15352702
01/12/2024,62.8607,63.059,62.5482,62.8012,0.3571,+0.57%,9849499
01/11/2024,63.7235,63.732,62.2408,62.4441,-1.4877,-2.33%,22360019
01/10/2024,63.9417,64.2294,63.7037,63.9318,-0.0099,-0.02%,11017278
01/09/2024,64.1302,64.2294,63.8029,63.9417,-0.5257,-0.82%,14521799
01/08/2024,63.8624,64.4872,63.6643,64.4674,0.4662,+0.73%,11814001
01/05/2024,63.6739,64.3043,63.3863,64.0012,0.238,+0.37%,13707427
01/04/2024,64.031,64.3652,63.6839,63.7632,-0.1984,-0.31%,13421074
01/03/2024,63.7037,64.0756,63.2673,63.9616,0.2381,+0.37%,16568855
01/02/2024,62.5433,63.8673,62.4143,63.7235,0.9124,+1.45%,15506367
