Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,175.12,175.63,172.94,174.19,1.65,+0.96%,4474300
04/23/2024,171.48,173.04,170.63,172.54,2.03,+1.19%,3944700
04/22/2024,170.12,171.37,168.9,170.51,0.75,+0.44%,4475200
04/19/2024,171.26,171.65,169.085,169.76,-1.5,-0.88%,6790300
04/18/2024,172.65,173.3633,170.79,171.26,-1.07,-0.62%,4705900
04/17/2024,174.01,174.185,171.62,172.33,-0.84,-0.49%,6208400
04/16/2024,173.26,174.14,172.35,173.17,-0.99,-0.57%,6435400
04/15/2024,178.4,178.53,173.995,174.16,-2.95,-1.67%,5568300
04/12/2024,178.63,178.75,176.53,177.11,-2.92,-1.62%,5364600
04/11/2024,179.2,180.675,177.7,180.03,1.44,+0.81%,4216700
04/10/2024,178.44,179.32,177.76,178.59,-2.8,-1.54%,5402900
04/09/2024,181.43,181.49,179.88,181.39,0.85,+0.47%,4281100
04/08/2024,179.9,181.13,179.76,180.54,1.7,+0.95%,4147800
04/05/2024,178.44,180,178.07,178.84,0.99,+0.56%,5040900
04/04/2024,181.32,181.995,177.825,177.85,-2.11,-1.17%,4825200
04/03/2024,178.82,180.59,178.82,179.96,0.13,+0.07%,5082600
04/02/2024,179.58,179.92,179.02,179.83,-2.69,-1.47%,6135300
04/01/2024,184.09,184.29,181.85,182.52,-1.37,-0.75%,4970800
03/28/2024,184.23,184.77,183.83,183.89,-0.57,-0.31%,2979000
03/27/2024,183.77,184.48,182.87,184.46,2.11,+1.16%,2905900
03/26/2024,183.29,184.05,182.225,182.35,0.23,+0.13%,2693900
03/25/2024,182.01,183.06,182.01,182.12,-0.6,-0.33%,2832300
03/22/2024,182.41,183.205,182.03,182.72,-1.61,-0.87%,2859500
03/21/2024,184.54,185.22,184.24,184.33,1.07,+0.58%,3573100
03/20/2024,180.92,183.29,180.77,183.26,2.69,+1.49%,4248700
03/19/2024,178.98,180.66,178.73,180.57,1.55,+0.87%,3812000
03/18/2024,179.45,179.87,178.2,179.02,1.357,+0.76%,4256400
03/15/2024,178.2418,179.4491,177.1791,177.663,-1.7861,-1.00%,4945148
03/14/2024,180.8062,180.9858,178.4812,179.4491,-1.1475,-0.64%,5416974
03/13/2024,180.5268,181.7341,180.3122,180.5966,-0.3792,-0.21%,2864726
03/12/2024,180.0279,181.6743,178.8205,180.9758,1.5466,+0.86%,3961710
03/11/2024,179.4192,180.1376,178.9801,179.4292,-0.4889,-0.27%,4162246
03/08/2024,181.0057,181.7341,179.3194,179.9181,-0.6685,-0.37%,6245373
03/07/2024,179.7086,181.325,179.6686,180.5866,1.367,+0.76%,3363912
03/06/2024,180.5667,181.0456,178.7107,179.2196,-0.6386,-0.36%,4659928
03/05/2024,180.9558,181.2851,179.2396,179.8582,-2.2651,-1.24%,6484996
03/04/2024,183.7098,184.3285,182.0734,182.1233,-2.4946,-1.35%,5680746
03/01/2024,183.8495,184.8873,182.9116,184.6179,0.6087,+0.33%,5544950
02/29/2024,183.4205,184.4333,182.4825,184.0092,1.2373,+0.68%,4144207
02/28/2024,181.7541,183.64,181.6543,182.7719,0.7185,+0.39%,3712368
02/27/2024,182.273,182.9016,181.3749,182.0534,0.5987,+0.33%,2932474
02/26/2024,181.4248,182.3328,181.1754,181.4547,0.5587,+0.31%,3533480
02/23/2024,181.0057,181.814,180.6066,180.896,-0.8182,-0.45%,3796150
02/22/2024,179.8483,182.0035,179.5289,181.7142,3.4625,+1.94%,4409583
02/21/2024,177.5233,179.0899,177.0843,178.2517,1.3071,+0.74%,4452778
02/20/2024,176.9945,177.6231,175.827,176.9446,-1.6863,-0.94%,4387636
02/16/2024,178.9203,179.6786,177.5333,178.6309,-1.0677,-0.59%,4265370
02/15/2024,178.0023,179.7086,177.5333,179.6986,2.0556,+1.16%,5295308
02/14/2024,176.4556,177.7229,175.4877,177.643,1.8559,+1.06%,5792992
02/13/2024,175.7472,176.7799,174.8491,175.7871,-3.5722,-1.99%,7416820
02/12/2024,179.5689,180.4869,179.0201,179.3593,-0.1497,-0.08%,3026578
02/09/2024,178.0921,179.7984,177.683,179.509,1.2672,+0.71%,4802537
02/08/2024,177.5832,178.3515,177.2439,178.2418,0.7784,+0.44%,4058720
02/07/2024,176.4756,178.122,176.0565,177.4634,1.9657,+1.12%,3906692
02/06/2024,173.6917,175.5326,173.6917,175.4977,1.0577,+0.61%,4696909
02/05/2024,175.1186,175.1186,172.3845,174.44,-2.4946,-1.41%,6687536
02/02/2024,175.0188,177.653,174.1806,176.9346,3.1032,+1.79%,10404513
02/01/2024,171.3468,173.8763,170.7481,173.8314,3.2829,+1.92%,7357088
01/31/2024,172.604,173.532,170.3988,170.5485,-3.1631,-1.82%,6846781
01/30/2024,174.1008,174.5398,173.3823,173.7116,-0.0998,-0.06%,3144134
01/29/2024,171.6561,173.8413,171.3567,173.8114,2.5046,+1.46%,3698638
01/26/2024,171.257,172.175,170.6583,171.3068,0.7783,+0.46%,3496500
01/25/2024,171.0374,171.1771,169.3557,170.5285,-2.1354,-1.24%,5558382
01/24/2024,174.47,174.6496,172.5292,172.6639,-0.6586,-0.38%,4320490
01/23/2024,173.9112,174.4899,172.4444,173.3225,-0.419,-0.24%,3561339
01/22/2024,174.8891,175.388,172.9632,173.7415,-0.7684,-0.44%,5604282
01/19/2024,173.1129,174.8593,172.0752,174.5099,1.6664,+0.96%,4902154
01/18/2024,172.6838,173.053,170.9476,172.8435,0.9779,+0.57%,4973810
01/17/2024,171.5563,171.9255,170.5884,171.8656,-1.5167,-0.87%,3989572
01/16/2024,172.5342,174.0609,172.0253,173.3823,-0.1996,-0.11%,4497776
01/12/2024,174.9689,175.7671,173.2526,173.5819,-2.1154,-1.20%,3730307
01/11/2024,175.7272,176.281,173.8613,175.6973,-0.2295,-0.13%,4305357
01/10/2024,174.7992,176.3509,174.7593,175.9268,1.397,+0.80%,3820503
01/09/2024,173.9012,174.7743,173.4522,174.5298,-0.6486,-0.37%,4174073
01/08/2024,172.5441,175.378,172.4993,175.1784,2.9336,+1.70%,4080168
01/05/2024,171.5364,173.6517,171.4665,172.2448,0.2694,+0.16%,6055561
01/04/2024,172.4943,174.1108,171.9155,171.9754,-1.2174,-0.70%,5970476
01/03/2024,175.5875,175.6773,173.1229,173.1928,-3.5722,-2.02%,7778304
01/02/2024,177.8626,177.9424,176.0814,176.765,-1.6563,-0.93%,7701437
12/29/2023,179.5988,179.8981,177.8127,178.4213,-1.1076,-0.62%,4143306
12/28/2023,180.7263,181.0656,179.3892,179.5289,-0.938,-0.52%,2810509
12/27/2023,180.0777,180.9359,179.988,180.4669,0.6186,+0.34%,3756063
12/26/2023,179.489,180.0777,179.1398,179.8483,0.7584,+0.42%,2746268
12/22/2023,179.6986,180.4669,178.3515,179.0899,-1.3271,-0.74%,4270681
12/21/2023,179.5888,180.4719,178.581,180.417,2.7041,+1.52%,3935954
12/20/2023,180.2075,181.794,177.673,177.7129,-3.3028,-1.82%,4320089
12/19/2023,180.2174,181.4847,180.1775,181.0157,1.4069,+0.78%,3604835
12/18/2023,179.07,180.1775,178.7107,179.6088,1.1076,+0.62%,3868106
12/15/2023,178.1725,178.9394,177.5848,178.5012,0.3686,+0.21%,5651552
12/14/2023,177.3059,178.8398,176.6286,178.1326,2.3606,+1.34%,7674757
12/13/2023,173.4413,175.9638,172.0866,175.772,2.271,+1.31%,5470839
12/12/2023,172.7739,173.6206,172.0866,173.501,0.5378,+0.31%,3720415
12/11/2023,172.3058,173.1773,171.7779,172.9632,0.4582,+0.27%,9483608
12/08/2023,170.8516,172.8337,170.7221,172.505,0.7869,+0.46%,4064375
12/07/2023,171.001,172.0269,170.4531,171.7181,1.4044,+0.82%,3704653
12/06/2023,171.3396,172.1763,170.1842,170.3137,0.249,+0.15%,6138378
12/05/2023,168.8495,171.748,168.7101,170.0647,0.2988,+0.18%,3926731
12/04/2023,169.1782,170.5029,168.7648,169.7659,-0.6474,-0.38%,9275485
12/01/2023,167.3953,170.4631,167.0666,170.4133,2.3009,+1.37%,7507493
11/30/2023,168.3515,168.4212,166.7977,168.1124,-0.2391,-0.14%,6537358
11/29/2023,170.0647,170.9213,168.227,168.3515,-0.4582,-0.27%,3844907
11/28/2023,167.6443,168.8993,166.7279,168.8097,0.9662,+0.58%,6010672
11/27/2023,167.6742,168.72,166.957,167.8435,0.2689,+0.16%,3664292
11/24/2023,167.3056,167.8634,167.0168,167.5746,0.1594,+0.10%,1748415
11/22/2023,167.6244,168.7001,166.7578,167.4152,0.508,+0.30%,4499496
11/21/2023,166.0905,167.0765,165.5526,166.9072,-0.4283,-0.26%,3816897
11/20/2023,166.4391,167.693,165.9311,167.3355,0.8566,+0.51%,4660935
11/17/2023,165.9311,166.9271,164.8952,166.4789,1.1056,+0.67%,4478212
11/16/2023,165.6422,166.7927,164.6462,165.3733,-1.7132,-1.03%,6168096
11/15/2023,167.704,168.481,166.5626,167.0865,0.1992,+0.12%,6219098
11/14/2023,165.4829,167.4003,165.2438,166.8873,5.4384,+3.37%,7659395
11/13/2023,160.0544,161.9967,159.3373,161.4489,0.6873,+0.43%,4959515
11/10/2023,158.3313,160.8214,157.5245,160.7616,2.6295,+1.66%,5176575
11/09/2023,160.921,161.1202,157.5743,158.1321,-3.008,-1.87%,5771425
11/08/2023,161.6182,161.8971,160.1889,161.1401,-0.4283,-0.27%,4183848
11/07/2023,160.0744,161.7676,159.7457,161.5684,1.7829,+1.12%,4404220
11/06/2023,160.1839,160.7218,158.6899,159.7855,0.1992,+0.12%,5662596
11/03/2023,158.6699,160.4429,158.6201,159.5863,2.2112,+1.41%,6890754
11/02/2023,156.0404,157.4647,155.5523,157.3751,4.0041,+2.61%,10074645
11/01/2023,152.3849,153.4706,151.1896,153.371,1.8726,+1.24%,10877922
10/31/2023,150.4326,151.9666,149.835,151.4984,1.1355,+0.76%,5104489
10/30/2023,150.7115,151.3092,149.0481,150.3629,1.3646,+0.92%,6956415
10/27/2023,150.0243,151.2892,148.5103,148.9983,1.5438,+1.05%,7643433
10/26/2023,149.6358,150.4526,147.2453,147.4545,-2.3407,-1.56%,8494294
10/25/2023,151.6876,151.9466,149.6258,149.7952,-3.0877,-2.02%,5622738
10/24/2023,152.4247,153.859,151.7673,152.8829,1.6136,+1.07%,4999976
10/23/2023,150.4824,153.1867,148.8788,151.2693,0.1793,+0.12%,7884686
10/20/2023,153.112,153.1917,151.0103,151.09,-2.3806,-1.55%,6705523
10/19/2023,156.14,156.8571,152.7435,153.4706,-4.024,-2.56%,10609361
10/18/2023,160.0544,160.3034,157.1858,157.4946,-3.785,-2.35%,5227877
10/17/2023,159.4369,162.0764,159.1381,161.2796,0.3785,+0.24%,6736542
10/16/2023,159.1978,161.419,158.7994,160.9011,2.5599,+1.62%,5557580
10/13/2023,160.9409,161.1899,157.903,158.3412,-2.3606,-1.47%,5688701
10/12/2023,162.5047,162.7936,159.6062,160.7018,-1.773,-1.09%,4608830
10/11/2023,162.5545,163.3414,161.0405,162.4748,0.5777,+0.36%,4003033
10/10/2023,160.3931,163.431,160.3184,161.8971,1.753,+1.09%,6756122
10/09/2023,158.0424,160.4628,157.0364,160.1441,0.1693,+0.11%,5268838
10/06/2023,157.1858,160.5873,156.3193,159.9748,1.1156,+0.70%,7662906
10/05/2023,159.4369,159.8652,157.6041,158.8592,-0.7968,-0.50%,6988539
10/04/2023,157.3352,160.0046,157.2954,159.656,3.0877,+1.97%,7700758
10/03/2023,159.2377,159.407,156.0205,156.5683,-3.9045,-2.43%,7336015
10/02/2023,159.3871,161.7776,158.9986,160.4728,0.1295,+0.08%,7360912
09/29/2023,161.8174,162.435,159.4568,160.3433,0.8467,+0.53%,6584542
09/28/2023,157.1559,159.9548,156.7575,159.4966,1.763,+1.12%,5166235
09/27/2023,158.7596,159.2775,156.1201,157.7336,-0.6076,-0.38%,6267190
09/26/2023,159.8154,160.8015,157.9876,158.3412,-2.9384,-1.82%,5856665
09/25/2023,159.6361,161.6182,159.2377,161.2796,0.9861,+0.62%,4762134
09/22/2023,162.8732,163.2119,160.154,160.2935,-1.5937,-0.98%,7132911
09/21/2023,164.3275,164.4171,161.8573,161.8872,-4.5419,-2.73%,6142292
09/20/2023,168.6503,169.6164,166.4142,166.4291,-1.6734,-1.00%,4452109
09/19/2023,168.0726,168.4312,166.5536,168.1025,-0.8466,-0.50%,4179028
09/18/2023,170.3236,170.5228,168.72,168.9491,-1.8576,-1.09%,3735977
09/15/2023,172.9842,173.2228,170.419,170.8067,-2.9729,-1.71%,6025287
09/14/2023,172.6561,174.227,171.8507,173.7796,1.6902,+0.98%,4916641
09/13/2023,171.274,172.5766,170.7073,172.0894,1.3523,+0.79%,4015381
