Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,59.78,60.09,58.745,59.3,-0.2,-0.34%,3322800
04/23/2024,59.12,59.85,58.72,59.5,-0.85,-1.41%,4507500
04/22/2024,60.23,60.84,59.645,60.35,-0.55,-0.90%,2807200
04/19/2024,60.97,61.51,60.53,60.9,-0.07,-0.11%,3062800
04/18/2024,61.7,61.97,60.645,60.97,-0.3,-0.49%,2755900
04/17/2024,62.33,62.79,61.175,61.27,-0.09,-0.15%,4124900
04/16/2024,60.33,61.505,59.82,61.36,0.11,+0.18%,3595300
04/15/2024,62.13,62.4,61.04,61.25,-0.15,-0.24%,3566200
04/12/2024,63.3,63.59,60.99,61.4,-1.03,-1.65%,4212300
04/11/2024,62.31,62.52,61.64,62.43,0.22,+0.35%,2408700
04/10/2024,61.28,62.5,60.965,62.21,-0.65,-1.03%,4434100
04/09/2024,63.03,63.495,62.12,62.86,0.68,+1.09%,2576000
04/08/2024,62.61,62.78,61.81,62.18,0.16,+0.26%,3563100
04/05/2024,61.03,62.135,60.86,62.02,0.87,+1.42%,2277100
04/04/2024,62.36,62.47,60.9,61.15,-1.02,-1.64%,2996900
04/03/2024,60.88,62.26,60.82,62.17,1.33,+2.19%,3636500
04/02/2024,60.84,61.085,60.3,60.84,0.01,+0.02%,3039800
04/01/2024,61,61.05,60.45,60.83,0.55,+0.91%,3083100
03/28/2024,59.8,60.43,59.51,60.28,0.72,+1.21%,4243100
03/27/2024,58.16,59.59,58.02,59.56,1.86,+3.22%,2791300
03/26/2024,58.37,58.385,57.56,57.7,-0.44,-0.76%,1942600
03/25/2024,58.3,59.53,58.09,58.14,0.2,+0.35%,3336100
03/22/2024,58.18,58.73,57.93,57.94,-0.53,-0.91%,1497400
03/21/2024,58.38,58.625,57.955,58.47,0.7,+1.21%,2366100
03/20/2024,56.35,58.17,56.22,57.77,1.36,+2.41%,2573900
03/19/2024,55.91,56.51,55.7,56.41,0.21,+0.37%,1718300
03/18/2024,56.66,56.78,56.12,56.2,-0.217,-0.38%,2413000
03/15/2024,55.7083,56.6516,55.7083,56.417,0.529,+0.95%,3229385
03/14/2024,56.6665,56.6665,55.2591,55.888,-1.088,-1.91%,3526724
03/13/2024,57.0359,57.7047,56.8462,56.976,0.03,+0.05%,3133008
03/12/2024,57.8743,57.8743,56.8063,56.946,-1.0082,-1.74%,2783474
03/11/2024,58.1339,58.3734,57.3054,57.9542,-0.5091,-0.87%,2539327
03/08/2024,59.3516,59.6012,58.1938,58.4633,-0.4192,-0.71%,3380658
03/07/2024,58.054,58.9224,57.8644,58.8825,1.4873,+2.59%,3539049
03/06/2024,57.4052,57.7945,57.1856,57.3952,0.7885,+1.39%,2026293
03/05/2024,57.3154,57.5449,56.3471,56.6067,-0.7985,-1.39%,1884332
03/04/2024,57.5749,58.1738,57.3802,57.4052,0.1397,+0.24%,2202914
03/01/2024,56.7165,57.7546,56.5667,57.2655,0.8784,+1.56%,1935725
02/29/2024,56.0477,56.5767,56.0477,56.3871,0.9283,+1.67%,2940456
02/28/2024,56.3771,56.427,55.3689,55.4588,-1.4673,-2.58%,2941958
02/27/2024,56.6665,57.0558,56.5767,56.9261,0.6089,+1.08%,2267230
02/26/2024,55.8081,56.3521,55.4263,56.3172,0.2995,+0.53%,1719432
02/23/2024,55.898,56.2872,55.3789,56.0177,0.0599,+0.11%,3379460
02/22/2024,55.9079,56.0726,55.319,55.9578,0.0698,+0.12%,2552954
02/21/2024,55.3989,55.9279,55.2491,55.888,0.4692,+0.85%,1602118
02/20/2024,56.0477,56.0477,55.2392,55.4188,-1.1379,-2.01%,2487534
02/16/2024,56.8063,57.3553,56.5368,56.5567,-0.4392,-0.77%,3102656
02/15/2024,55.6684,57.0908,55.6684,56.9959,1.4573,+2.62%,2606351
02/14/2024,54.9297,55.7133,54.6452,55.5386,1.0281,+1.89%,2354290
02/13/2024,55.3689,55.5087,54.1412,54.5105,-2.196,-3.87%,3514102
02/12/2024,56.1475,57.1906,56.1225,56.7065,0.6189,+1.10%,1842957
02/09/2024,56.2473,56.2623,55.6584,56.0876,-0.0399,-0.07%,2418908
02/08/2024,55.5087,56.3521,55.2392,56.1275,0.1497,+0.27%,2549046
02/07/2024,55.7981,56.1155,55.3539,55.9778,0.2895,+0.52%,2946369
02/06/2024,55.6584,55.9878,55.3689,55.6883,0.0798,+0.14%,2966507
02/05/2024,56.407,56.407,55.1793,55.6085,-1.617,-2.83%,4008903
02/02/2024,57.1257,57.5749,56.6216,57.2255,-0.4592,-0.80%,2620476
02/01/2024,57.495,58.0241,56.976,57.6847,0.6089,+1.07%,3864441
01/31/2024,58.0141,58.7328,57.0459,57.0758,-0.9283,-1.60%,3470423
