Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,155.21,156.35,154.12,156.21,0.73,+0.47%,2540100
04/23/2024,154.05,156.08,152.8,155.48,1.08,+0.70%,2543800
04/22/2024,152.79,155.82,151.33,154.4,1.17,+0.76%,3063600
04/19/2024,151.18,154.36,151.18,153.23,1.6,+1.06%,3962000
04/18/2024,153.34,153.9,151.09,151.63,-1.33,-0.87%,3158700
04/17/2024,154.09,155.5,152.22,152.96,-1.18,-0.77%,3607300
04/16/2024,154.44,155.12,152.02,154.14,-1.31,-0.84%,3780300
04/15/2024,158.03,159.09,155.02,155.45,-2.53,-1.60%,3993900
04/12/2024,160.81,162.49,157.07,157.98,-1.89,-1.18%,5908400
04/11/2024,160.88,161.21,157.82,159.87,-0.54,-0.34%,6268600
04/10/2024,158.8,160.75,158.33,160.41,0.54,+0.34%,4178300
04/09/2024,160.06,161.03,158.615,159.87,0.17,+0.11%,2829000
04/08/2024,160.45,161.35,159.18,159.7,-0.89,-0.55%,2803000
04/05/2024,159.76,161.125,158.33,160.59,1.45,+0.91%,3111300
04/04/2024,159.41,160.29,158.46,159.14,0.04,+0.03%,4270900
04/03/2024,157.85,159.33,157.35,159.1,1.97,+1.25%,2920800
04/02/2024,156.63,157.66,155.41,157.13,1.13,+0.72%,3640200
04/01/2024,155.45,156.295,153.79,156,1.07,+0.69%,3099100
03/28/2024,153.45,155.33,153.15,154.93,2.22,+1.45%,3929200
03/27/2024,149.99,152.79,149.67,152.71,2.33,+1.55%,2463500
03/26/2024,152.6,153.17,150.32,150.38,-1.91,-1.25%,3552400
03/25/2024,151.43,153.25,151.32,152.29,1.66,+1.10%,2645500
03/22/2024,151.41,151.92,150.05,150.63,-0.97,-0.64%,2281600
03/21/2024,151.12,152,150.43,151.6,0.76,+0.50%,3120500
03/20/2024,148.83,151.3,148.32,150.84,1.17,+0.78%,2382600
03/19/2024,147.34,149.92,147.34,149.67,1.91,+1.29%,3062900
03/18/2024,148.28,148.5,146.605,147.76,0.04,+0.03%,2129700
03/15/2024,146.3272,148.8144,146.3272,147.72,0.9352,+0.64%,3703456
03/14/2024,146.8843,147.5409,145.7402,146.7848,0.6367,+0.44%,4043999
03/13/2024,144.2777,147.3718,144.2777,146.1481,3.0245,+2.11%,3627969
03/12/2024,143.3127,143.7604,141.9298,143.1236,-0.0398,-0.03%,1809160
03/11/2024,141.6214,143.2629,140.5369,143.1634,0.7959,+0.56%,3049811
03/08/2024,141.9994,143.2729,141.5715,142.3675,0.7461,+0.53%,2885068
03/07/2024,141.1339,143.064,140.7558,141.6214,0.9054,+0.64%,2157442
03/06/2024,142.3078,142.4272,140.0097,140.716,0.0199,+0.01%,3047499
03/05/2024,139.5321,141.9099,139.3232,140.6961,0.5869,+0.42%,5046833
03/04/2024,142.1089,142.7058,140.0296,140.1092,-1.4425,-1.02%,3815729
03/01/2024,140.9548,142.3874,140.6862,141.5517,1.8803,+1.35%,2834408
02/29/2024,138.5969,140.1987,138.2885,139.6714,1.3928,+1.01%,2130203
02/28/2024,139.1043,140.1987,137.5921,138.2786,-0.9551,-0.69%,3724463
02/27/2024,139.0645,140.0097,138.3681,139.2337,0.5174,+0.37%,2299067
02/26/2024,138,139.6416,136.9454,138.7163,0.6367,+0.46%,2357969
02/23/2024,137.1444,138.7263,136.06,138.0796,-0.6467,-0.47%,3243200
02/22/2024,137.7214,139.3531,136.7664,138.7263,-0.4775,-0.34%,3467849
02/21/2024,136.5276,139.95,136.2391,139.2038,3.8999,+2.88%,3409250
02/20/2024,136.8857,137.0748,134.8164,135.3039,-2.0892,-1.52%,3472272
02/16/2024,137.3434,138.7153,136.2988,137.3931,0.1492,+0.11%,2675193
02/15/2024,133.1947,138,133.0306,137.2439,4.7058,+3.55%,4117777
02/14/2024,132.9759,134.0404,131.205,132.5381,0.2985,+0.23%,2736004
02/13/2024,133.2544,133.9011,131.2497,132.2396,-2.0893,-1.56%,2726456
02/12/2024,132.2894,135.2442,132.2894,134.3289,2.1589,+1.63%,2438380
02/09/2024,133.1151,133.8812,131.7124,132.17,-0.9849,-0.74%,2909392
02/08/2024,131.4736,133.6623,131.399,133.1549,1.6117,+1.23%,3315068
02/07/2024,131.0458,131.9213,129.8221,131.5432,1.2635,+0.97%,1856804
02/06/2024,129.8022,131.981,129.0763,130.2797,0.9849,+0.76%,2969399
02/05/2024,129.2252,130.1404,127.4443,129.2948,-0.776,-0.60%,4091040
02/02/2024,131.394,131.4437,129.2382,130.0708,-1.4426,-1.10%,4670104
02/01/2024,133.0356,133.9906,129.8917,131.5134,-0.8257,-0.62%,7862443
01/31/2024,135.6421,136.05,132.2496,132.3391,-3.5319,-2.60%,3290141
01/30/2024,132.3093,136.0121,132.0407,135.871,2.3778,+1.78%,3959767
01/29/2024,133.1052,133.5031,131.3841,133.4932,0.1094,+0.08%,2461398
01/26/2024,132.568,133.4633,131.0657,133.3838,0.8855,+0.67%,3831611
01/25/2024,131.3044,132.5381,129.9415,132.4983,2.2783,+1.75%,4335994
01/24/2024,129.8022,130.7822,128.9466,130.22,1.6614,+1.29%,2731079
01/23/2024,127.9219,129.6729,127.703,128.5586,0.1791,+0.14%,2818727
01/22/2024,127.3846,128.9665,126.6584,128.3795,0.587,+0.46%,3796733
01/19/2024,127.3946,127.8572,126.1211,127.7925,0.2785,+0.22%,4268348
01/18/2024,128.1308,128.1308,125.942,127.514,0.01,+0.01%,3676416
01/17/2024,127.5538,128.7178,126.927,127.504,-1.4724,-1.14%,4469477
01/16/2024,132.2595,132.8565,128.9167,128.9764,-4.089,-3.07%,3127107
01/12/2024,133.8215,134.3588,132.2247,133.0654,1.7311,+1.32%,3868098
01/11/2024,132.1402,132.4685,130.628,131.3343,-0.0995,-0.08%,3856841
01/10/2024,133.1649,133.1649,130.5185,131.4338,-1.751,-1.31%,4309256
01/09/2024,135.1049,135.284,131.9213,133.1848,-1.6515,-1.22%,3722955
01/08/2024,133.2445,134.8363,131.3837,134.8363,-1.0645,-0.78%,5222631
01/05/2024,136.4082,136.5873,134.3588,135.9008,0.5173,+0.38%,3591784
01/04/2024,139.4127,140.0893,135.2243,135.3835,-3.114,-2.25%,4069830
01/03/2024,137.1046,139.3928,136.1495,138.4975,1.2536,+0.91%,4017462
01/02/2024,137.1544,139.2237,136.5674,137.2439,1.0347,+0.76%,3573390
12/29/2023,137.6021,138.0995,136.0799,136.2092,-1.2038,-0.88%,2522914
12/28/2023,139.1043,139.9301,137.3533,137.413,-2.3479,-1.68%,2160659
12/27/2023,140.4275,140.9648,139.2138,139.7609,-0.587,-0.42%,2293942
12/26/2023,139.5222,141.1294,138.8457,140.3479,2.1688,+1.57%,3446340
12/22/2023,138.9849,139.5819,137.7612,138.1791,0.3184,+0.23%,2903059
12/21/2023,136.7365,137.9005,136.0053,137.8607,1.5719,+1.15%,2494167
12/20/2023,138.7263,139.751,136.1694,136.2888,-2.0594,-1.49%,3870612
12/19/2023,136.3087,138.4875,135.8312,138.3482,1.6813,+1.23%,6177620
12/18/2023,137.5225,138.7561,136.6271,136.6669,1.7072,+1.26%,4410172
12/15/2023,135.71,135.8581,133.4984,134.9597,-0.6022,-0.44%,4248986
12/14/2023,133.1528,135.8779,133.0146,135.5619,4.5812,+3.50%,7112335
12/13/2023,128.4728,131.0695,127.4983,130.9807,3.1793,+2.49%,4225388
12/12/2023,128.8381,128.9862,126.7055,127.8014,-2.7942,-2.14%,5291992
12/11/2023,129.9242,131.2818,129.6083,130.5956,-0.0691,-0.05%,4111041
12/08/2023,130.2895,131.2966,129.7169,130.6647,1.5995,+1.24%,4244531
12/07/2023,130.1217,130.6549,128.2164,129.0652,-0.0691,-0.05%,4229643
12/06/2023,131.6224,132.8665,129.085,129.1343,-3.5742,-2.69%,5314477
12/05/2023,136.0358,136.4703,132.6443,132.7085,-2.9818,-2.20%,4297299
12/04/2023,136.0161,137.3391,135.2164,135.6903,-1.6488,-1.20%,4614716
12/01/2023,136.2333,139.3237,135.3941,137.3391,1.086,+0.80%,5362383
11/30/2023,136.6776,139.1953,134.8214,136.2531,0.7603,+0.56%,6851025
11/29/2023,136.9738,137.4478,135.2361,135.4928,-0.5134,-0.38%,5276292
11/28/2023,136.5986,137.7439,135.7989,136.0062,-0.3752,-0.28%,3680998
11/27/2023,136.727,136.8948,135.2164,136.3814,-1.1848,-0.86%,4010975
11/24/2023,136.8751,138.8893,136.8652,137.5662,0.622,+0.45%,2107276
11/22/2023,134.0315,137.2503,132.7974,136.9442,0.0691,+0.05%,4829840
11/21/2023,137.1219,137.7538,135.7157,136.8751,-1.2342,-0.89%,3113817
11/20/2023,139.3039,139.7927,138.0599,138.1093,0.2172,+0.16%,2663415
11/17/2023,135.9865,138.7412,135.9865,137.8921,2.9719,+2.20%,5285000
11/16/2023,137.1417,137.6946,133.0817,134.9202,-4.0086,-2.89%,6794103
11/15/2023,138.4746,141.2885,138.3413,138.9288,0.158,+0.11%,3773365
11/14/2023,137.4379,139.3928,136.885,138.7708,2.261,+1.66%,5106846
11/13/2023,135.9964,136.9195,135.2065,136.5098,1.0762,+0.79%,3036133
11/10/2023,135.4928,135.9075,133.7748,135.4336,1.4909,+1.11%,3998313
11/09/2023,135.8186,136.5197,133.8835,133.9427,-0.9478,-0.70%,4532881
11/08/2023,136.9047,137.9908,134.7424,134.8905,-2.9621,-2.15%,7438667
11/07/2023,139.3731,139.61,136.8652,137.8526,-4.0184,-2.83%,7670497
11/06/2023,146.2153,146.2647,141.0219,141.871,-3.8803,-2.66%,4546656
11/03/2023,146.2845,147.5483,144.2999,145.7513,-1.0762,-0.73%,4993005
11/02/2023,142.9078,146.9361,142.0883,146.8275,3.7124,+2.59%,5071499
11/01/2023,143.9444,145.1589,141.9105,143.1151,-0.2666,-0.19%,4271471
10/31/2023,142.3845,143.5989,140.5085,143.3817,1.797,+1.27%,3857632
10/30/2023,142.0784,143.5396,139.8964,141.5847,-0.4937,-0.35%,5183011
10/27/2023,144.3493,144.6652,140.627,142.0784,-1.9154,-1.33%,5637463
10/26/2023,142.7794,144.8479,141.0614,143.9938,-0.6714,-0.46%,4669308
10/25/2023,144.6356,145.4847,143.6878,144.6652,-0.2271,-0.16%,4497331
10/24/2023,146.7979,147.0447,144.6455,144.8923,-1.1552,-0.79%,4631732
10/23/2023,146.9164,148.0617,145.2774,146.0475,-2.1623,-1.46%,4988042
10/20/2023,150.4609,151.1619,147.9136,148.2098,-2.5374,-1.68%,4841588
10/19/2023,150.2634,152.2381,148.7034,150.7472,-0.2864,-0.19%,5902824
10/18/2023,150.7374,151.7839,149.8191,151.0336,1.1256,+0.75%,5778447
10/17/2023,147.6865,150.4017,147.6865,149.908,1.7476,+1.18%,5149588
10/16/2023,147.5581,148.3628,145.9389,148.1604,1.481,+1.01%,4615021
10/13/2023,146.2351,147.6371,145.2675,146.6794,3.0311,+2.11%,4999184
10/12/2023,144.9614,145.0207,142.4536,143.6483,0.0494,+0.03%,4564885
10/11/2023,142.1278,143.7223,140.9528,143.5989,-0.2369,-0.16%,6144886
10/10/2023,143.6088,145.0305,142.73,143.8358,0.4344,+0.30%,4979537
10/09/2023,141.4959,144.0333,140.8738,143.4014,5.7167,+4.15%,7409700
10/06/2023,136.0655,139.1953,135.1473,137.6847,2.4683,+1.83%,6551435
10/05/2023,133.2812,136.1938,133.2812,135.2164,0.1679,+0.12%,5082031
10/04/2023,138.5931,138.7214,133.607,135.0485,-5.5884,-3.97%,7945786
10/03/2023,140.1037,141.0614,138.7708,140.6369,-0.5331,-0.38%,5724160
10/02/2023,146.087,146.398,139.9852,141.17,-4.8676,-3.33%,6761798
09/29/2023,149.0984,149.0984,145.462,146.0376,-2.5967,-1.75%,5767714
09/28/2023,147.6272,149.6068,147.5581,148.6343,0.7997,+0.54%,5815519
09/27/2023,145.9093,149.0095,145.2576,147.8346,4.2456,+2.96%,6247688
09/26/2023,142.6807,144.8133,142.4832,143.589,-0.622,-0.43%,3846492
09/25/2023,141.5748,144.3394,141.3082,144.211,2.6065,+1.84%,3489980
09/22/2023,143.3718,144.29,141.3724,141.6045,-0.4146,-0.29%,4990978
09/21/2023,144.5566,145.2576,141.6982,142.0191,-1.6687,-1.16%,5766195
09/20/2023,145.0996,146.8176,143.5495,143.6878,-2.2412,-1.54%,4026874
09/19/2023,149.0095,149.3452,145.1885,145.929,-1.6291,-1.10%,4239568
09/18/2023,148.9207,149.1971,146.7485,147.5581,0.0414,+0.03%,3474787
09/15/2023,149.049,149.6776,146.9764,147.5167,-2.5538,-1.70%,5707415
09/14/2023,150.9153,151.8681,149.8053,150.0705,0.7366,+0.49%,4706060
09/13/2023,151.2689,151.5243,148.3319,149.3339,-1.7484,-1.16%,3518497
09/12/2023,148.9508,151.4163,148.715,151.0823,3.5656,+2.42%,3993114
09/11/2023,151.4359,151.9172,147.0746,147.5167,-2.9566,-1.96%,4366943
09/08/2023,149.5696,151.8337,149.5598,150.4733,1.7092,+1.15%,3310611
