Time,Open,High,Low,Last,Change,%Chg,Volume
04/24/2024,72.63,72.97,72.29,72.52,-0.52,-0.71%,5524800
04/23/2024,71.97,73.12,71.85,73.04,1.57,+2.20%,6462600
04/22/2024,71.41,72.03,70.91,71.47,0.3,+0.42%,6264200
04/19/2024,70.49,71.21,70.47,71.17,0.48,+0.68%,6534300
04/18/2024,70.95,71.62,70.44,70.69,0.03,+0.04%,6667500
04/17/2024,71.46,71.66,70.41,70.66,-0.31,-0.44%,8632000
04/16/2024,70.72,71.21,70.22,70.97,0.04,+0.06%,10533400
04/15/2024,72.55,72.87,70.8,70.93,-0.95,-1.32%,8827500
04/12/2024,73.14,73.17,71.69,71.88,-1.69,-2.30%,8320200
04/11/2024,73.48,73.71,72.69,73.57,0.21,+0.29%,4530100
04/10/2024,73.53,73.88,72.83,73.36,-1.51,-2.02%,9230700
04/09/2024,75.11,75.39,74.29,74.87,0.05,+0.07%,6203400
04/08/2024,75.01,75.48,74.74,74.82,0.15,+0.20%,3534400
04/05/2024,74.43,74.97,74.28,74.67,0.23,+0.31%,5745400
04/04/2024,76.25,76.3,74.265,74.44,-1.03,-1.36%,5804800
04/03/2024,76.17,76.21,75.32,75.47,-0.78,-1.02%,5270000
04/02/2024,77.58,77.63,76.02,76.25,-2.21,-2.82%,6433500
04/01/2024,79.05,79.12,78.375,78.46,-0.53,-0.67%,5655500
03/28/2024,78.45,79.11,78.33,78.99,0.63,+0.80%,4638700
03/27/2024,77.24,78.37,77.21,78.36,1.52,+1.98%,4651400
03/26/2024,76.82,77.33,76.65,76.84,0.3,+0.39%,2424900
03/25/2024,77.44,77.94,76.53,76.54,-0.69,-0.89%,3965800
03/22/2024,77.83,78.08,77.2,77.23,-0.91,-1.16%,4033500
03/21/2024,77.07,78.42,77.07,78.14,0.81,+1.05%,6911900
03/20/2024,75.93,77.35,75.81,77.33,1.34,+1.76%,8114300
03/19/2024,75.08,76.06,75.03,75.99,0.57,+0.76%,6171700
03/18/2024,75.66,75.84,74.79,75.42,-0.04,-0.05%,7812200
03/15/2024,74.6816,75.6696,74.6816,75.46,0.3493,+0.47%,4840803
03/14/2024,76.0488,76.2385,74.4919,75.1107,-0.6587,-0.87%,6816522
03/13/2024,75.0109,76.0488,74.7714,75.7694,0.509,+0.68%,4191614
03/12/2024,75.3203,75.7993,74.8812,75.2604,0.1497,+0.20%,4644213
03/11/2024,75.2903,75.6596,74.5768,75.1107,-0.3593,-0.48%,3788615
03/08/2024,75.949,76.4979,74.981,75.47,-0.0698,-0.09%,7130544
03/07/2024,75.7794,76.3882,75.4201,75.5398,0.2095,+0.28%,5864236
03/06/2024,76.5678,76.6776,75.0159,75.3303,-1.2175,-1.59%,9573788
03/05/2024,76.2884,77.1467,76.1486,76.5478,-0.02,-0.03%,5149718
03/04/2024,76.8073,77.4361,76.5478,76.5678,-0.2994,-0.39%,4793409
03/01/2024,76.3782,76.967,75.6895,76.8672,0.5289,+0.69%,7293168
02/29/2024,76.6177,76.8173,75.8043,76.3383,0.529,+0.70%,7942952
02/28/2024,76.0289,76.4231,75.7494,75.8093,-0.6787,-0.89%,7700176
02/27/2024,75.1007,76.6876,75.1007,76.488,1.8464,+2.47%,8578714
02/26/2024,74.462,75.0808,74.3123,74.6416,0.1597,+0.21%,7211709
02/23/2024,73.7534,74.8412,73.6636,74.4819,1.3074,+1.79%,7990355
02/22/2024,72.7753,73.3342,72.466,73.1745,0.6187,+0.85%,4622473
02/21/2024,72.6855,73.1047,72.1516,72.5558,-0.3393,-0.47%,6479451
02/20/2024,72.8951,73.1546,72.6356,72.8951,-0.529,-0.72%,3332310
02/16/2024,72.8851,74.0728,72.8053,73.4241,-0.4091,-0.55%,4332391
02/15/2024,73.0448,73.963,73.0448,73.8332,1.008,+1.38%,7801380
02/14/2024,72.5358,73.0049,71.7384,72.8252,0.968,+1.35%,8253778
02/13/2024,71.9869,72.416,71.2085,71.8572,-2.1557,-2.91%,12524640
02/12/2024,72.6356,74.2125,72.6356,74.0129,1.4571,+2.01%,4563151
02/09/2024,71.5977,72.6306,71.3981,72.5558,0.9681,+1.35%,7062307
02/08/2024,70.5498,71.6476,70.2603,71.5877,1.0579,+1.50%,6975137
02/07/2024,70.5797,70.8092,70.0508,70.5298,0.0898,+0.13%,5681972
02/06/2024,69.442,70.4749,69.1226,70.44,0.8783,+1.26%,3688215
02/05/2024,69.911,69.916,68.8631,69.5617,-1.038,-1.47%,7558898
02/02/2024,69.6715,71.1087,69.2324,70.5997,0.3394,+0.48%,11730364
02/01/2024,69.1326,70.2903,68.5537,70.2603,1.7964,+2.62%,11231988
01/31/2024,69.7813,70.3522,68.3441,68.4639,-1.6567,-2.36%,11789289
01/30/2024,69.9609,70.41,69.7763,70.1206,-0.2595,-0.37%,5042404
01/29/2024,69.7314,70.4699,69.3971,70.3801,0.5789,+0.83%,5064046
01/26/2024,69.8412,70.2204,69.6316,69.8012,0.3493,+0.50%,6281766
01/25/2024,69.0927,69.5468,68.7134,69.4519,0.8982,+1.31%,8750565
01/24/2024,70.0308,70.0308,68.424,68.5537,-0.6687,-0.97%,7026642
01/23/2024,70.2903,70.7893,68.9629,69.2224,-0.5988,-0.86%,6976240
01/22/2024,68.943,69.8861,68.7334,69.8212,1.2774,+1.86%,6733359
01/19/2024,68.3741,68.9829,67.431,68.5438,0.2895,+0.42%,9304852
01/18/2024,68.4739,68.5338,67.4759,68.2543,0.1696,+0.25%,8921200
01/17/2024,67.8751,68.2743,67.6156,68.0847,-0.4091,-0.60%,4771864
01/16/2024,68.2144,68.5737,67.7453,68.4938,-0.1897,-0.28%,6743082
01/12/2024,69.901,70.3601,68.4689,68.6835,-0.8583,-1.23%,6923933
01/11/2024,69.8212,69.9909,68.7633,69.5418,-0.5489,-0.78%,6846178
01/10/2024,69.931,70.2703,69.432,70.0907,0.2096,+0.30%,3917971
01/09/2024,70.0308,70.2603,69.6515,69.8811,-0.5988,-0.85%,5703513
01/08/2024,69.422,70.5398,69.1026,70.4799,1.2176,+1.76%,6749590
01/05/2024,69.1525,70.3352,68.8931,69.2623,-0.1198,-0.17%,4953728
01/04/2024,69.3322,69.7414,68.8631,69.3821,-0.1297,-0.19%,5569747
01/03/2024,71.2184,71.448,69.4719,69.5118,-2.6048,-3.61%,9181216
01/02/2024,71.6576,72.7953,71.3232,72.1166,-0.0599,-0.08%,7262612
12/29/2023,72.8252,73.0847,72.0168,72.1765,-0.7885,-1.08%,7878432
12/28/2023,72.6456,73.0448,72.5658,72.965,-0.0099,-0.01%,4640804
12/27/2023,72.7654,73.1745,72.4959,72.9749,0.4091,+0.56%,5149619
12/26/2023,72.1965,72.7354,71.8771,72.5658,0.6687,+0.93%,3657753
12/22/2023,71.2983,72.4959,71.2983,71.8971,-0.1996,-0.28%,6809306
12/21/2023,71.7274,72.1466,71.3182,72.0967,1.3972,+1.98%,6099198
12/20/2023,71.6975,72.3761,70.6995,70.6995,-1.3573,-1.88%,6814615
12/19/2023,71.0388,72.1541,70.8691,72.0568,1.4372,+2.04%,5096006
12/18/2023,70.7793,71.0687,70.0508,70.6196,0.2355,+0.33%,6506811
12/15/2023,71.1093,71.4173,70.0861,70.3841,-0.5762,-0.81%,6576143
12/14/2023,70.4238,71.3129,70.2748,70.9603,1.669,+2.41%,11349430
12/13/2023,67.2548,69.3211,66.5395,69.2913,2.2054,+3.29%,8390579
12/12/2023,67.4932,67.5528,66.9965,67.0859,-0.6557,-0.97%,3499916
12/11/2023,67.2349,67.9005,67.0561,67.7416,1.1027,+1.65%,6830113
12/08/2023,66.4601,67.1952,66.1769,66.6389,0.01,+0.02%,6471957
12/07/2023,65.8938,66.6985,65.6057,66.6289,0.7152,+1.09%,5920034
12/06/2023,66.172,66.9667,65.7945,65.9137,0.3676,+0.56%,7233163
12/05/2023,66.4203,66.5296,65.4915,65.5461,-1.7981,-2.67%,5868392
12/04/2023,66.2713,67.7714,66.2713,67.3442,0.7351,+1.10%,6828505
12/01/2023,64.2249,66.6289,64.0162,66.6091,2.4339,+3.79%,8906668
11/30/2023,64.3739,64.4931,63.4649,64.1752,0.0596,+0.09%,7342583
11/29/2023,64.1057,65.0494,64.0013,64.1156,0.4272,+0.67%,5646933
11/28/2023,63.003,64.0063,62.5956,63.6884,0.596,+0.94%,6962587
11/27/2023,63.2215,63.5096,62.8539,63.0924,-0.3775,-0.59%,5343635
11/24/2023,63.1122,63.4997,62.9334,63.4699,0.457,+0.73%,2617511
11/22/2023,63.0526,63.6189,62.844,63.0129,-0.0298,-0.05%,7415160
11/21/2023,62.9632,63.1818,62.4367,63.0427,-0.1788,-0.28%,6433706
11/20/2023,62.7447,63.4103,62.4566,63.2215,0.3874,+0.62%,5609488
11/17/2023,62.1387,63.0526,61.9599,62.8341,1.6988,+2.78%,9943685
11/16/2023,62.5956,62.7347,60.887,61.1353,-2.1657,-3.42%,10185280
11/15/2023,62.536,64.1156,62.2877,63.301,1.3511,+2.18%,11775229
11/14/2023,60.6088,62.5559,60.5989,61.9499,2.9206,+4.95%,12566944
11/13/2023,59.069,59.526,58.8504,59.0293,-0.4172,-0.70%,4564110
11/10/2023,59.3372,59.516,58.4034,59.4465,0.4868,+0.83%,6962081
11/09/2023,60.2909,60.5492,58.8057,58.9597,-1.053,-1.75%,6398377
11/08/2023,60.8969,60.9565,59.9233,60.0127,-1.1027,-1.80%,6435927
11/07/2023,60.9565,61.3737,60.7181,61.1154,-0.0298,-0.05%,6067706
11/06/2023,61.5923,61.8009,60.6585,61.1452,-0.5266,-0.85%,9589266
11/03/2023,60.5691,62.0493,60.5691,61.6718,1.7385,+2.90%,9935832
11/02/2023,58.9398,59.9631,58.8504,59.9333,1.7882,+3.08%,9563082
11/01/2023,58.2643,58.4531,57.2113,58.1451,-0.159,-0.27%,10634634
10/31/2023,57.8272,58.463,57.4795,58.3041,0.4371,+0.76%,5971362
10/30/2023,58.0756,58.4034,57.4199,57.867,0.3378,+0.59%,4768855
10/27/2023,58.3438,58.5723,57.4149,57.5292,-0.6854,-1.18%,8282765
10/26/2023,58.1451,58.6418,57.6782,58.2146,0.2086,+0.36%,10292289
10/25/2023,57.9564,58.3537,57.3404,58.006,-0.159,-0.27%,7894517
10/24/2023,58.4133,59.0094,57.9514,58.165,0.0696,+0.12%,7873573
10/23/2023,58.622,59.0839,57.857,58.0954,-0.755,-1.28%,8370045
10/20/2023,59.1981,59.4266,58.7014,58.8504,-0.308,-0.52%,8505739
10/19/2023,60.0127,60.3306,59.0094,59.1584,-0.9835,-1.64%,9756860
10/18/2023,60.4697,60.6386,59.9531,60.1419,-0.7153,-1.18%,8390474
10/17/2023,59.4664,61.334,59.4664,60.8572,1.0332,+1.73%,11190077
10/16/2023,58.761,60.0028,58.612,59.824,1.5795,+2.71%,10130919
10/13/2023,58.6915,58.8703,58.0905,58.2445,-0.3278,-0.56%,7746736
10/12/2023,59.7843,59.8041,58.1401,58.5723,-1.0431,-1.75%,9911373
10/11/2023,60.0724,60.3207,59.1385,59.6154,-0.2483,-0.41%,5952641
10/10/2023,58.9398,60.2909,58.9398,59.8637,1.0629,+1.81%,10437139
10/09/2023,57.9266,59.0491,57.7924,58.8008,0.3676,+0.63%,5513453
10/06/2023,57.7676,58.8604,57.102,58.4332,0.3179,+0.55%,12276127
10/05/2023,58.8405,59.0293,57.9216,58.1153,-0.914,-1.55%,7742716
10/04/2023,58.9995,59.2875,58.5127,59.0293,0.1987,+0.34%,6715052
10/03/2023,59.7843,60.0028,58.622,58.8306,-1.1225,-1.87%,7320636
10/02/2023,60.3207,60.6485,59.7793,59.9531,-0.5067,-0.84%,4811644
09/29/2023,60.7578,61.1353,60.2909,60.4598,0.4173,+0.70%,7943031
09/28/2023,58.9796,60.3008,58.9001,60.0425,1.0927,+1.85%,7403893
09/27/2023,58.7809,59.2875,58.4332,58.9498,0.3477,+0.59%,7173067
09/26/2023,59.1882,59.526,58.5276,58.6021,-0.8841,-1.49%,6108065
09/25/2023,58.8206,59.7346,58.7312,59.4862,0.2881,+0.49%,5029778
09/22/2023,59.7743,59.9531,59.1733,59.1981,-0.2782,-0.47%,4651893
09/21/2023,59.8538,60.0724,59.4465,59.4763,-0.7451,-1.24%,6611778
09/20/2023,60.6585,60.9664,60.1816,60.2214,-0.2881,-0.48%,4652894
09/19/2023,60.5889,60.9267,60.2214,60.5095,-0.1589,-0.26%,7268794
09/18/2023,61.632,61.632,60.6287,60.6684,-0.9825,-1.59%,5771553
09/15/2023,62.3147,62.3147,61.428,61.6509,-0.8025,-1.28%,6149828
09/14/2023,61.4726,62.5029,61.3438,62.4534,1.4266,+2.34%,6599812
09/13/2023,61.6608,61.6608,60.789,61.0268,-0.3071,-0.50%,5286189
09/12/2023,61.5122,62.0521,61.2348,61.3339,-0.0891,-0.15%,3596163
09/11/2023,61.7004,62.0076,61.3834,61.423,0.0198,+0.03%,3030906
09/08/2023,61.7797,61.7797,61.1357,61.4032,-0.327,-0.53%,5201607
09/07/2023,61.9877,62.1958,61.532,61.7302,-0.3962,-0.64%,6159111
09/06/2023,62.4633,62.9784,61.7599,62.1264,-0.4855,-0.78%,5779485
09/05/2023,63.454,63.553,62.5326,62.6119,-1.3969,-2.18%,6666131
09/01/2023,64.1177,64.2762,63.6323,64.0088,0.3369,+0.53%,3762813
08/31/2023,63.3351,64.2366,63.2756,63.6719,0.0891,+0.14%,5112274
08/30/2023,62.9883,63.8205,62.9685,63.5828,0.4161,+0.66%,3286279
08/29/2023,62.2057,63.236,62.1264,63.1667,0.9808,+1.58%,4562252
08/28/2023,61.5816,62.3048,61.5816,62.1859,0.7629,+1.24%,5376530
08/25/2023,61.6608,61.9679,60.8088,61.423,0.2476,+0.40%,7483646
08/24/2023,62.2156,62.5178,61.0961,61.1754,-1.3077,-2.09%,7496961
